Gene	5637	SV-HUC-1	T24	UM-Uc-3
LOXL4	2772.898918	0.5	290.3997834	0.5
SOX2	2044.649488	1	3.607450726	0.5
THSD7B	1021.663901	0.5	0.5	132.5815453
HOXD11	1015.055467	0.5	434.6978125	1.523925808
AEBP1	1790.885621	1	1.803725363	0.5
MMP10	1546.373562	1	9.018626814	0.5
IQGAP2	2930.179648	2	12.62607754	99.05517752
MMP1	4706.526714	4	16.23352827	216.3974647
SLITRK5	577.577134	0.5	5.411176089	53.33740328
PLXDC2	522.0662881	0.5	0.5	1.523925808
LRRN1	2063.153103	2	1.803725363	0.5
TCEAL8	1784.277187	2	1455.606368	4888.753992
ZIC5	407.0795361	0.5	64.93411306	335.2636778
CTHRC1	790.3687096	1	380.5860516	21.33496131
MFAP2	3016.08929	4	339.1003682	1.523925808
SATB1	741.4662978	1	162.3352827	161.5361357
FABP4	734.8578638	1	34.27078189	1.523925808
LINC00340	734.8578638	1	3.607450726	1.523925808
TMSB15A	362.1421847	0.5	0.5	9.143554848
SOX21	348.9253166	0.5	0.5	0.5
GPAT2	687.2771388	1	0.5	0.5
MPPED2	1810.710923	3	0.5	1.523925808
CAND2	524.7096617	1	212.8395928	0.5
TLL1	256.4072402	0.5	1.803725363	32.00244197
CDX2	498.2759256	1	0.5	56.3852549
PCDHB11	496.9542388	1	160.5315573	6.095703232
CPT1C	243.1903722	0.5	30.66333117	7.61962904
GALM	231.2951909	0.5	110.0272471	106.6748066
GALNT13	229.9735041	0.5	0.5	1095.702656
ZIC2	901.3904013	2	1047.964436	70.10058717
DMRTA2	449.3735138	1	0.5	3.047851616
RBP1	17140.95618	40	9.018626814	0.5
MAGEA3	211.4698889	0.5	1691.89439	361.1704165
HNMT	210.1482021	0.5	9.018626814	432.7949295
HOXD10	1202.734993	3	110.0272471	0.5
LINC00162	399.1494152	1	1383.457353	880.8291171
TSHZ2	198.2530208	0.5	0.5	1.523925808
MAGEA12	186.3578396	0.5	696.2379901	1.523925808
PDE3B	185.0361528	0.5	1.803725363	795.4892718
FAM155A	183.714466	0.5	0.5	2180.737831
SNCAIP	181.0710923	0.5	14.4298029	27.43066454
KCND2	179.7494055	0.5	23.44842972	0.5
KYNU	1045.454263	3	227.2693957	275.8305713
EFS	1619.066337	5	0.5	0.5
CNTN1	161.2457903	0.5	0.5	662.9077265
HOXB8	309.2747125	1	342.7078189	214.8735389
TRPA1	154.6373562	0.5	0.5	0.5
PTPRZ1	307.9530257	1	3.607450726	0.5
CSAG1	151.9939826	0.5	449.1276154	1.523925808
C8orf4	1728.766341	6	3.607450726	97.53125171
ROS1	288.1277236	1	5.411176089	0.5
CSF3	1137.972339	4	18731.68789	10.66748066
HOXD13	277.5542291	1	3.607450726	77.72021621
PLCB1	276.2325423	1	165.9427334	2314.843302
TAGLN3	137.4554278	0.5	178.5688109	1.523925808
ANGPT1	133.4903673	0.5	3.607450726	338.3115294
LPHN3	133.4903673	0.5	0.5	74.67236459
ZNF788	261.6939875	1	344.5115443	131.0576195
GPR68	260.3723007	1	126.2607754	0.5
VGLL2	233.9385646	1	0.5	1.523925808
PELI2	457.3036347	2	50.50431016	47.24170005
MMP7	224.6867569	1	0.5	0.5
HMCN1	4003.389334	18	19.84097899	7.61962904
RASIP1	655.5566555	3	18.03725363	6.095703232
RARB	211.4698889	1	10.82235218	0.5
SLC16A9	211.4698889	1	63.1303877	356.5986391
CRISPLD1	207.5048284	1	0.5	53.33740328
CYP27A1	412.3662833	2	12.62607754	4.571777424
IGSF10	103.0915708	0.5	411.2493827	7.61962904
BCL11B	202.2180812	1	5.411176089	21.33496131
LOC643529	202.2180812	1	0.5	0.5
ZNF486	97.8048236	0.5	156.9241066	19.8110355
TP63	6562.174989	36	5.411176089	371.8378972
HOXD4	177.1060319	1	326.4742907	131.0576195
CFH	863.0614839	5	63.1303877	574.5200296
CLEC2B	170.4975979	1	595.2293698	301.73731
CCL20	330.4217014	2	18.03725363	3.047851616
LOC100506334	165.2108507	1	110.0272471	178.2993195
CFI	490.3458048	3	1.803725363	16.76318389
GJA1	2277.266366	14	306.6333117	2206.64457
SPOCK3	159.9241035	1	39.68195798	359.6464907
TRPS1	638.374727	4	625.8927009	2409.326703
KRT23	1100.965109	7	9.018626814	0.5
GJB6	2010.285631	13	0.5	0.5
HOXD3	154.6373562	1	164.139008	54.86132909
NES	905.3554617	6	1093.05757	7.61962904
PTN	596.0807492	4	254.3252762	8375.496241
FAT2	12016.77643	83	9.018626814	12.19140646
DLX5	432.1915854	3	0.5	0.5
IGF2	570.9686999	4	91.98999351	15.23925808
S100A9	33634.28582	237	23.44842972	9.143554848
PCDHB9	140.0988014	1	351.7264458	4.571777424
ZFPM2	68.72771388	0.5	99.20489496	92.95947429
FOSB	14534.5898	107	1459.213819	10751.29658
PCDHB10	269.6241083	2	142.4943037	6.095703232
CNTNAP2	1071.887999	8	0.5	713.1972782
THY1	934.4325714	7	1.803725363	359.6464907
IQCA1	64.76265347	0.5	0.5	0.5
MAGEA6	63.44096666	0.5	1080.431492	2243.218789
SFMBT2	351.5686902	3	64.93411306	246.8759809
GPR158	114.9867521	1	129.8682261	220.9692422
AIM2	113.6650653	1	0.5	0.5
TNNT3	448.051827	4	3.607450726	6.095703232
CYYR1	549.821711	5	10.82235218	0.5
NRG4	108.378318	1	0.5	0.5
SORBS2	1157.797642	11	10.82235218	1.523925808
ANO1	14279.50425	140	5.411176089	1.523925808
HEPHL1	3329.329063	33	36.07450726	1.523925808
AKR1C2	100.4481972	1	95.59744423	25.90673874
FBN2	5309.215897	53	1.803725363	7.61962904
ICAM2	199.5747076	2	129.8682261	0.5
EN1	1468.394041	15	539.3138835	30.47851616
FLRT3	775.8301548	8	7.214901452	0.5
KCNK2	479.7723104	5	5.411176089	268.2109422
CXCL6	729.5711166	8	818.8913148	24.38281293
FOXA2	89.87470277	1	449.1276154	3.047851616
IL1B	4521.490561	51	17925.42266	22.85888712
TRIB2	2038.041054	23	138.8868529	707.1015749
GABRA3	43.61566458	0.5	110.0272471	321.5483455
LINC00460	165.2108507	2	77.5601906	1703.749053
HAS2	576.2554472	7	41.48568335	591.2832135
ODZ2	1796.172369	22	61.32666234	760.4389782
SALL4	917.250643	12	21.64470435	21.33496131
METTL7A	226.0084437	3	16.23352827	97.53125171
TNIP3	37.00723055	0.5	30.66333117	62.48095813
CTTNBP2	144.0638618	2	0.5	0.5
FABP3	35.68554375	0.5	0.5	0.5
SERPINA5	35.68554375	0.5	165.9427334	1.523925808
SLCO1B3	142.742175	2	0.5	917.4033364
ST8SIA4	71.37108749	1	84.77509206	70.10058717
RBM20	134.8120542	2	0.5	294.117681
ROBO2	33.04217014	0.5	48.7005848	2208.168496
TNFSF13	33.04217014	0.5	25.25215508	0.5
ASTN1	194.2879604	3	0.5	0.5
IL31RA	31.72048333	0.5	519.4729045	353.5507875
LAMA1	6418.111127	102	21.64470435	1214.568869
HCLS1	30.39879652	0.5	211.0358675	0.5
PDZD2	2253.476003	38	1094.861295	4.571777424
ALDH3A1	29.07710972	0.5	0.5	0.5
CA8	29.07710972	0.5	7.214901452	467.8452231
ANK2	173.1409715	3	189.3911631	2022.249547
BEX4	796.9771437	14	3.607450726	4.571777424
LAPTM5	2270.657932	40	939.7409141	3.047851616
HOXB5	167.8542243	3	90.18626814	120.3901388
GPR37	26.43373611	0.5	0.5	12.19140646
PDE8B	26.43373611	0.5	0.5	7.61962904
TMEM156	787.725336	15	292.2035088	368.7900455
ANKRD65	524.7096617	10	0.5	0.5
GUCY1A2	261.6939875	5	7.214901452	731.4843879
HSD17B14	51.54578541	1	274.1662552	1284.669456
PCDHGB6	408.4012229	8	45.09313407	1.523925808
CECR6	150.6722958	3	45.09313407	13.71533227
CP	50.22409861	1	348.118995	3.047851616
TMEM200B	449.3735138	9	782.8168075	1.523925808
KCNJ15	4027.179696	81	1.803725363	57.90918071
TNFSF10	1440.638618	29	23.44842972	9.143554848
GPR173	146.7072354	3	283.184882	1.523925808
CXCL5	3513.043529	72	4628.359281	4.571777424
S100A8	716.3542485	15	0.5	0.5
PABPC4L	142.742175	3	55.91548625	0.5
SLC52A3	376.6807395	8	39.68195798	1.523925808
BMP2	1030.915708	22	43.28940871	131.0576195
LAT	374.0373659	8	19.84097899	36.57421939
GNG2	323.8132673	7	126.2607754	7.61962904
PCDHB16	89.87470277	2	79.36391597	9.143554848
CAMK1	713.7108749	16	1253.589127	0.5
LOC284837	261.6939875	6	5.411176089	0.5
S100A7	215.4349493	5	1.803725363	0.5
NRP2	5915.870141	139	1515.129305	655.2880975
COL25A1	21.14698889	0.5	0.5	1.523925808
MAGEA1	21.14698889	0.5	1553.007537	13.71533227
WDR72	21.14698889	0.5	124.45705	146.2968776
LOX	547.1783374	13	1675.660862	1.523925808
NYAP2	249.7988062	6	1.803725363	1.523925808
AGR2	207.5048284	5	0.5	0.5
CHSY3	40.97229097	1	313.8482131	48.76562586
CXCL3	611.9409909	15	739.5273988	137.1533227
KCNS1	199.5747076	5	414.8568335	0.5
IPW	19.82530208	0.5	18.03725363	10.66748066
LOC100132891	39.65060416	1	7.214901452	362.6943423
PHEX	19.82530208	0.5	1332.953043	18.2871097
ROBO1	3210.37725	82	2398.954733	2010.058141
GJB2	4514.882127	116	41.48568335	600.4267684
MMP13	618.5494249	16	1.803725363	0.5
LCN2	121818.5512	3244	3262.939181	25.90673874
LOC654433	187.6795264	5	9.018626814	0.5
TMEM47	37.00723055	1	162.3352827	4.571777424
ZNF506	185.0361528	5	70.34528915	0.5
LHFPL4	4381.39176	120	0.5	0.5
LEF1	144.0638618	4	331.8854668	591.2832135
CNIH3	35.68554375	1	809.8726879	109.7226582
EMILIN2	178.4277187	5	102.8123457	4.571777424
CSTA	280.1976027	8	0.5	100.5791033
PCDHB14	140.0988014	4	133.4756769	50.28955167
C12orf59	482.415684	14	0.5	0.5
CXXC4	17.18192847	0.5	41.48568335	0.5
CD69	67.40602708	2	48.7005848	0.5
GCHFR	66.08434027	2	102.8123457	12.19140646
POU4F1	264.3373611	8	0.5	3.047851616
MXRA5	6700.952103	207	1.803725363	1.523925808
PLCH1	226.0084437	7	50.50431016	12.19140646
C21orf7	15.86024166	0.5	66.73783843	237.7324261
DNAJC22	63.44096666	2	37.87823262	77.72021621
LOC440173	63.44096666	2	16.23352827	198.110355
SNCA	598.7241228	19	191.1948885	0.5
PDZK1IP1	189.0012132	6	238.0917479	1.523925808
EGR3	498.2759256	16	27.05588044	143.249026
GHRLOS2	154.6373562	5	5.411176089	13.71533227
IKZF3	215.4349493	7	0.5	0.5
LRP4	2408.113359	79	434.6978125	1069.795917
MAN1A1	1024.307274	34	335.4929175	761.962904
C1S	149.350609	5	477.9872212	12.19140646
PTPLAD2	59.47590624	2	82.97136669	3.047851616
EDAR	857.7747367	29	0.5	0.5
HECW1	14.53855486	0.5	48.7005848	266.6870164
IL1RAPL1	14.53855486	0.5	73.95273988	51.81347747
LPAR3	29.07710972	1	34.27078189	3.047851616
NFATC4	605.3325569	21	1370.831276	1.523925808
AKR1C3	288.1277236	10	411.2493827	32.00244197
CRABP2	8680.838938	308	640.3225038	45.71777424
RP1	27.75542291	1	84.77509206	1.523925808
GLIS3	411.0445965	15	1107.487373	522.7065522
NKAIN1	134.8120542	5	1.803725363	16.76318389
VSNL1	347.6036298	13	0.5	0.5
BZRAP1	159.9241035	6	1.803725363	0.5
SV2A	1933.627796	73	1094.861295	603.47462
GPC2	395.1843548	15	32.46705653	77.72021621
AKR1C1	77.97952152	3	432.8940871	82.29199363
LOC100289019	381.9674868	15	43.28940871	32.00244197
ME3	227.3301305	9	185.7837124	885.4008945
PPARGC1A	25.1120493	1	0.5	28.95459035
SLITRK4	25.1120493	1	200.2135153	1548.308621
CACHD1	1323.008492	53	358.9413472	94.4834001
TMPRSS2	646.3048478	26	3.607450726	0.5
ZNF711	915.9289561	37	185.7837124	1245.047385
TNFAIP2	24432.70228	1015	8742.656834	164.5839873
LOC286467	11.89518125	0.5	25.25215508	237.7324261
LPAL2	11.89518125	0.5	3.607450726	237.7324261
MAGEC2	11.89518125	0.5	1.803725363	3642.182681
SHOX2	333.065075	14	43.28940871	1513.258327
FST	974.0831756	41	698.0417154	3.047851616
NKX2-5	93.83976318	4	270.5588044	175.2514679
GAS1	70.04940069	3	12.62607754	92.95947429
PDE4B	70.04940069	3	9.018626814	301.73731
WNT7A	5370.01349	231	245.3066494	64.00488394
GUCY1A3	46.25903819	2	0.5	190.490726
TM4SF1	3440.350754	150	4078.223045	10705.5788
LOC100505817	1722.157907	76	1.803725363	12.19140646
ERAP2	2345.99408	104	79.36391597	659.8598749
F2R	1912.480807	85	647.5374053	841.207046
SLAIN1	202.2180812	9	73.95273988	292.5937551
SPANXC	22.46867569	1	21.64470435	772.6303847
KIAA1324L	963.5096811	43	1217.51462	603.47462
WNT11	200.8963944	9	5.411176089	0.5
BASP1	3854.038725	174	9034.860343	489.1801844
CACNG7	220.7216965	10	50.50431016	0.5
PDX1	239.2253118	11	0.5	1.523925808
GLI2	1103.608483	51	409.4456574	199.6342809
EFNB2	15581.36575	726	1897.519082	5420.604099
PRKCG	364.7855583	17	45.09313407	32.00244197
GALNT5	833.9843742	39	23.44842972	0.5
PLBD1	467.8771291	22	19.84097899	3185.004939
NFIA	976.7265492	46	295.8109595	612.6181748
STEAP1	381.9674868	18	158.7278319	982.9321462
COL12A1	60362.75809	2852	6080.358198	147.8208034
ADAMTS3	148.0289222	7	214.6433182	85.33984525
ANO3	10.57349444	0.5	0.5	425.1753004
MCTP1	10.57349444	0.5	349.9227204	2032.917028
RENBP	10.57349444	0.5	1.803725363	0.5
TNFSF12	42.29397777	2	550.1362357	0.5
ZNF883	84.58795555	4	220.0544943	304.7851616
LINC00256A	167.8542243	8	254.3252762	128.0097679
FADS2	8489.194351	405	1652.212432	201.1582067
IGSF9	2149.062746	103	1.803725363	4.571777424
BCL2A1	122.9168729	6	63.1303877	135.6293969
SOX4	39735.19212	1954	615.0703487	589.7592877
MDK	37989.24385	1881	11648.45839	22.85888712
COL16A1	619.8711117	31	185.7837124	92.95947429
CXCR7	979.3699228	49	0.5	3.047851616
CRMP1	1735.374776	87	3.607450726	1767.753937
POPDC3	257.7289271	13	337.2966429	460.225594
DUOX1	276.2325423	14	0.5	0.5
NID1	18506.25865	948	12312.22933	73.14843879
GPC4	2587.862765	133	9.018626814	486.1323328
PI3	594.7590624	31	613.2666234	6.095703232
BMPR1B	38.32891736	2	18.03725363	559.2807716
EBI3	38.32891736	2	115.4384232	27.43066454
PIR	611.9409909	32	99.20489496	306.3090874
HRH1	4127.627893	216	625.8927009	252.9716841
SEMA6D	151.9939826	8	18.03725363	4.571777424
ARHGAP24	678.0253312	36	335.4929175	1359.341821
SLC16A14	224.6867569	12	55.91548625	3.047851616
