Run,Assay Type,AvgSpotLen,BioProject,BioSample,cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession,Instrument,library_preparation_method,LibraryLayout,LibrarySelection,LibrarySource,MBases,MBytes,Organism,Platform,ReleaseDate,sample_acc,Sample Name,source_name,SRA Study,tissue
SRR9888301,Bisulfite-Seq,302,PRJNA528657,SAMN11239058,whole blood,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6640718,GSM3683951,Illumina NovaSeq 6000,Swift,PAIRED,RANDOM,GENOMIC,202501,71658,Homo sapiens,ILLUMINA,2019-08-06T00:00:00Z,SRS5197797,GSM3683951,whole blood,SRP217135,whole blood
SRR9888302,Bisulfite-Seq,302,PRJNA528657,SAMN11239057,whole blood,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6640719,GSM3683952,Illumina HiSeq X Ten,QIAseq,PAIRED,RANDOM,GENOMIC,151866,64762,Homo sapiens,ILLUMINA,2019-08-06T00:00:00Z,SRS5197798,GSM3683952,whole blood,SRP217135,whole blood
SRR9888303,Bisulfite-Seq,302,PRJNA528657,SAMN11239056,whole blood,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6640720,GSM3683953,Illumina HiSeq X Ten,Swift,PAIRED,RANDOM,GENOMIC,143186,57914,Homo sapiens,ILLUMINA,2019-08-06T00:00:00Z,SRS5197799,GSM3683953,whole blood,SRP217135,whole blood
SRR9888304,Bisulfite-Seq,302,PRJNA528657,SAMN11239055,whole blood,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6640721,GSM3683954,Illumina HiSeq X Ten,TruSeq,PAIRED,RANDOM,GENOMIC,133911,51511,Homo sapiens,ILLUMINA,2019-08-06T00:00:00Z,SRS5197800,GSM3683954,whole blood,SRP217135,whole blood
SRR9888305,Bisulfite-Seq,302,PRJNA528657,SAMN11239054,whole blood,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6640722,GSM3683955,Illumina NovaSeq 6000,Swift,PAIRED,RANDOM,GENOMIC,208109,73645,Homo sapiens,ILLUMINA,2019-08-06T00:00:00Z,SRS5197801,GSM3683955,whole blood,SRP217135,whole blood
SRR9888306,Bisulfite-Seq,302,PRJNA528657,SAMN11239053,whole blood,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6640723,GSM3683956,Illumina NovaSeq 6000,Swift,PAIRED,RANDOM,GENOMIC,231003,78185,Homo sapiens,ILLUMINA,2019-08-06T00:00:00Z,SRS5197802,GSM3683956,whole blood,SRP217135,whole blood
SRR9888307,Bisulfite-Seq,302,PRJNA528657,SAMN11239052,whole blood,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6640724,GSM3683957,Illumina HiSeq X Ten,QIAseq,PAIRED,RANDOM,GENOMIC,133927,57201,Homo sapiens,ILLUMINA,2019-08-06T00:00:00Z,SRS5197803,GSM3683957,whole blood,SRP217135,whole blood
SRR9888308,Bisulfite-Seq,302,PRJNA528657,SAMN11239051,whole blood,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6640725,GSM3683958,Illumina HiSeq X Ten,Swift,PAIRED,RANDOM,GENOMIC,144398,57619,Homo sapiens,ILLUMINA,2019-08-06T00:00:00Z,SRS5197804,GSM3683958,whole blood,SRP217135,whole blood
SRR9888309,Bisulfite-Seq,302,PRJNA528657,SAMN11239050,whole blood,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6640726,GSM3683959,Illumina HiSeq X Ten,Swift,PAIRED,RANDOM,GENOMIC,126182,53723,Homo sapiens,ILLUMINA,2019-08-06T00:00:00Z,SRS5197805,GSM3683959,whole blood,SRP217135,whole blood
SRR9888310,Bisulfite-Seq,302,PRJNA528657,SAMN11239048,whole blood,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6640727,GSM3683960,Illumina HiSeq X Ten,TruSeq,PAIRED,RANDOM,GENOMIC,136913,52800,Homo sapiens,ILLUMINA,2019-08-06T00:00:00Z,SRS5197806,GSM3683960,whole blood,SRP217135,whole blood
SRR9888311,Bisulfite-Seq,302,PRJNA528657,SAMN11239047,whole blood,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6640728,GSM3683961,Illumina HiSeq X Ten,TruSeq,PAIRED,RANDOM,GENOMIC,117151,47466,Homo sapiens,ILLUMINA,2019-08-06T00:00:00Z,SRS5197807,GSM3683961,whole blood,SRP217135,whole blood
SRR9888312,Bisulfite-Seq,302,PRJNA528657,SAMN11239046,whole blood,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6640729,GSM3683962,Illumina NovaSeq 6000,Swift,PAIRED,RANDOM,GENOMIC,201783,70980,Homo sapiens,ILLUMINA,2019-08-06T00:00:00Z,SRS5197808,GSM3683962,whole blood,SRP217135,whole blood
