analyte_id	analyte_submitter_id	case_id	case_submitter_id	project_id	sample_id	sample_submitter_id	portion_id	portion_submitter_id	ribosomal_rna_28s_16s_ratio	analyte_volume	well_number	analyte_type	analyte_quantity	normal_tumor_genotype_snp_match	state	a260_a280_ratio	amount	spectrophotometer_method	analyte_type_id	concentration
e1188024-2200-435e-a594-ddd63d1cc52e	TCGA-BJ-A0ZA-01A-31-A645-42-X041-S06	4c513413-263e-4c7b-b997-7b688c47b698	TCGA-BJ-A0ZA	TCGA-THCA	a61a9ec7-b893-44a5-ab6f-a390c168be88	TCGA-BJ-A0ZA-01A	8681469d-66fb-4e67-9ad9-beae596f7bf5	TCGA-BJ-A0ZA-01A-31-A645-42	--	--	--	DNA	--	--	released	--	--	--	--	--
2df8164c-f715-4623-b5ab-01fff91d2f3f	TCGA-DJ-A13X-01A-31-A645-42-X042-S08	3b3c99ab-5336-4433-b682-e1a590221611	TCGA-DJ-A13X	TCGA-THCA	ac52bed3-fdd6-4281-89de-d2f125ba038e	TCGA-DJ-A13X-01A	3e77f455-8bcf-4c61-9b4d-e56ec829241a	TCGA-DJ-A13X-01A-31-A645-42	--	--	--	DNA	--	--	released	--	--	--	--	--
9367bed8-7750-43a9-a201-1d7e09c8a5aa	TCGA-BJ-A0Z5-01A-31-A645-42-X030-S09	0fe3b19a-f5e4-497e-92da-32ff6c77b066	TCGA-BJ-A0Z5	TCGA-THCA	d17746b4-edea-45db-9ad1-5ee4973f007c	TCGA-BJ-A0Z5-01A	dda40f94-13ca-4be0-9db1-d7f14ac9eaca	TCGA-BJ-A0Z5-01A-31-A645-42	--	--	--	DNA	--	--	released	--	--	--	--	--
7b4c044e-c33d-42ad-ac7e-605d88eac44b	TCGA-BJ-A0Z0-01A-31-A645-42-X024-S10	72d8dcc3-0709-4fd1-98d4-fb75e9340758	TCGA-BJ-A0Z0	TCGA-THCA	51fe3d91-4914-49fc-b69c-990c1dd09e1c	TCGA-BJ-A0Z0-01A	abf4154c-facf-4711-aac7-35c560f39bc2	TCGA-BJ-A0Z0-01A-31-A645-42	--	--	--	DNA	--	--	released	--	--	--	--	--
0601a0ed-1f92-4461-996e-682afdf0600e	TCGA-BJ-A0Z3-01A-31-A645-42-X031-S03	331cae6e-2868-4c58-9302-709a9ff7d025	TCGA-BJ-A0Z3	TCGA-THCA	6bf032c1-b7d5-4b1c-bf41-c9bfeafa5e7a	TCGA-BJ-A0Z3-01A	eb01542b-2a13-4d7b-82a9-ce37b2d54ba3	TCGA-BJ-A0Z3-01A-31-A645-42	--	--	--	DNA	--	--	released	--	--	--	--	--
22e5d602-f837-4857-869b-2281eadb8d90	TCGA-4C-A93U-01A-31-A645-42-X029-S05	e1c8af06-9ea4-4062-9264-aa916e0025d1	TCGA-4C-A93U	TCGA-THCA	a5b168e1-a5e3-48d3-9c7b-006750c34d97	TCGA-4C-A93U-01A	2035b22f-a9d8-4608-8b54-5146ec5ce76b	TCGA-4C-A93U-01A-31-A645-42	--	--	--	DNA	--	--	released	--	--	--	--	--
4bfcbd57-2a12-4425-ae0a-ea9d1f86ba08	TCGA-DJ-A13M-01A-31-A645-42-X025-S10	ba9dec81-ffc0-453a-9621-94beba45fab1	TCGA-DJ-A13M	TCGA-THCA	28913c64-8637-4537-af8c-7315097a5ad1	TCGA-DJ-A13M-01A	f8168297-c181-408b-8f2f-1f7ab849f1c5	TCGA-DJ-A13M-01A-31-A645-42	--	--	--	DNA	--	--	released	--	--	--	--	--
76a7ccfe-0e5b-4a6f-ad83-d874b13a89e4	TCGA-BJ-A0ZC-01A-31-A645-42-X036-S03	6675c581-297d-44cd-b80f-ae7e53d48228	TCGA-BJ-A0ZC	TCGA-THCA	1f945aff-7bc2-40f5-87db-92313e541243	TCGA-BJ-A0ZC-01A	bc2421a1-70fd-4f62-8e12-956ae8472e0c	TCGA-BJ-A0ZC-01A-31-A645-42	--	--	--	DNA	--	--	released	--	--	--	--	--
d2dd248a-6209-4589-b228-fe31f4eb316a	TCGA-BJ-A0Z2-01A-31-A645-42-X028-S08	f9ceffc0-d544-418d-b4a9-bd3c84e37026	TCGA-BJ-A0Z2	TCGA-THCA	b06b7493-f38a-493f-8b47-61e0fa4d111f	TCGA-BJ-A0Z2-01A	4589bd8a-fcea-4968-939b-4c3960c48ab1	TCGA-BJ-A0Z2-01A-31-A645-42	--	--	--	DNA	--	--	released	--	--	--	--	--
12510d2b-d929-4cd7-99c4-9374fdcf95ba	TCGA-BJ-A3PU-01A-22-A644-42-X027-S07	4cccc34b-daf6-41ca-9bf8-f1614525eac9	TCGA-BJ-A3PU	TCGA-THCA	0be2571e-3572-4974-95ce-21b9972b24b2	TCGA-BJ-A3PU-01A	5040673f-93a4-48bc-a015-d0da9c69f0b4	TCGA-BJ-A3PU-01A-22-A644-42	--	--	--	DNA	--	--	released	--	--	--	--	--
4854fe78-035b-4db5-abca-90adadfface9	TCGA-CE-A13K-01A-31-A645-42-X026-S04	a1227ffa-2733-4a43-ba82-834755453870	TCGA-CE-A13K	TCGA-THCA	daf2a444-ab89-48d4-9da7-888ac3099ab7	TCGA-CE-A13K-01A	c28b747e-cfb2-4ed4-9821-9964a342daa6	TCGA-CE-A13K-01A-31-A645-42	--	--	--	DNA	--	--	released	--	--	--	--	--
c9e3f8c5-af77-45d8-b5e8-8a538d9492ad	TCGA-BJ-A192-01A-21-A644-42-X033-S02	b55375c3-9ef2-4d2f-9c29-224e746931c4	TCGA-BJ-A192	TCGA-THCA	582c3030-1f23-4535-9c8b-6b594e656af4	TCGA-BJ-A192-01A	5bd43f10-0990-41b4-ad7a-741949d128a0	TCGA-BJ-A192-01A-21-A644-42	--	--	--	DNA	--	--	released	--	--	--	--	--
102e89a7-49c6-4a28-b682-f46af129210d	TCGA-BJ-A290-01A-31-A644-42-X032-S11	3cd2d4bd-8256-42fa-8272-db379d598007	TCGA-BJ-A290	TCGA-THCA	c84f79ef-c51a-4627-a58c-e8e1f226ce7f	TCGA-BJ-A290-01A	073feb53-adc5-4b5b-8d4b-9d6692ae996f	TCGA-BJ-A290-01A-31-A644-42	--	--	--	DNA	--	--	released	--	--	--	--	--
b2e84259-0aad-48ef-a32c-3c56f76edb54	TCGA-DJ-A13V-01A-22-A644-42-X035-S06	99ac4f2e-2e63-4f1e-af0f-8f23a2caf999	TCGA-DJ-A13V	TCGA-THCA	a870f5ca-f049-48c1-afac-b788a3111086	TCGA-DJ-A13V-01A	8084b582-941c-4f46-b2e6-6b6ae35989fc	TCGA-DJ-A13V-01A-22-A644-42	--	--	--	DNA	--	--	released	--	--	--	--	--
95a815f7-8baf-44dc-8314-9d73c366d9ae	TCGA-DE-A69J-10A-01W	9efd27c7-9893-49fd-886e-e85057dd5d2e	TCGA-DE-A69J	TCGA-THCA	00968b81-7b40-4fd6-b998-b324d394bf86	TCGA-DE-A69J-10A	76fb4d06-ef79-48bb-bd21-d2f839dd75ae	TCGA-DE-A69J-10A-01	--	released	Repli-G (Qiagen) DNA	--	--	--	--	W	--	--	--	--
c9ddc2ce-ae18-4f61-ac30-91199785df6e	TCGA-DE-A69J-10A-01D	9efd27c7-9893-49fd-886e-e85057dd5d2e	TCGA-DE-A69J	TCGA-THCA	00968b81-7b40-4fd6-b998-b324d394bf86	TCGA-DE-A69J-10A	76fb4d06-ef79-48bb-bd21-d2f839dd75ae	TCGA-DE-A69J-10A-01	--	released	DNA	--	--	0.15	PicoGreen	D	--	--	--	--
afc93b5b-f844-46b4-ae05-2b0669bef9d4	TCGA-DE-A69J-01A-21W	9efd27c7-9893-49fd-886e-e85057dd5d2e	TCGA-DE-A69J	TCGA-THCA	3681c965-0d71-47c2-ac05-f553bae0a833	TCGA-DE-A69J-01A	fc2d7f10-9505-4f2d-be58-f534a6932386	TCGA-DE-A69J-01A-21	--	released	Repli-G (Qiagen) DNA	--	--	--	--	W	--	--	--	--
3648065c-dc5d-46d8-88d5-6a820c9c3941	TCGA-DE-A69J-01A-21D	9efd27c7-9893-49fd-886e-e85057dd5d2e	TCGA-DE-A69J	TCGA-THCA	3681c965-0d71-47c2-ac05-f553bae0a833	TCGA-DE-A69J-01A	fc2d7f10-9505-4f2d-be58-f534a6932386	TCGA-DE-A69J-01A-21	--	released	DNA	--	--	0.15	PicoGreen	D	--	--	--	--
8006ed22-bddb-4740-98bb-51a216d1272d	TCGA-DE-A69J-01A-21R	9efd27c7-9893-49fd-886e-e85057dd5d2e	TCGA-DE-A69J	TCGA-THCA	3681c965-0d71-47c2-ac05-f553bae0a833	TCGA-DE-A69J-01A	fc2d7f10-9505-4f2d-be58-f534a6932386	TCGA-DE-A69J-01A-21	--	released	RNA	--	1.85	0.16	UV Spec	R	--	--	--	--
