Study name	Treated TB 	Treated Total N 	Control TB 	Control Total N 	Risk ratio	Log risk ratio	Std Err	Variance	startyr	latitude
Vandeviere et al	8	2545	10	629	0.1977	-1.6209	0.4722	0.2230	1965	19
Ferguson & Simes	6	306	29	303	0.2049	-1.5854	0.4411	0.1946	1933	55
Hart & Sutherland	62	13598	248	12867	0.2366	-1.4416	0.1415	0.0200	1950	52
Rosenthal et al (a)	17	1716	65	1665	0.2538	-1.3713	0.2702	0.0730	1937	42
Rosenthal et al (b)	3	231	11	220	0.2597	-1.3481	0.6445	0.4154	1937	42
Aronson	4	123	11	139	0.4109	-0.8893	0.5706	0.3256	1935	44
Stein & Aaronson	180	1541	372	1451	0.4556	-0.7861	0.0831	0.0069	1935	44
Coetzee & Berjak	29	7499	45	7277	0.6254	-0.4694	0.2376	0.0564	1965	27
Comstock et al (a)	186	50634	141	27338	0.7122	-0.3394	0.1114	0.0124	1949	18
Frimont-Moller et al	33	5069	47	5808	0.8045	-0.2175	0.2263	0.0512	1950	13
Comstock et al (b)	27	16913	29	17854	0.9828	-0.0173	0.2672	0.0714	1950	33
TB Prevention Trial	505	88391	499	88391	1.0120	0.0120	0.0629	0.0040	1968	13
Comstock & Webster	5	2498	3	2341	1.5619	0.4459	0.7297	0.5325	1947	33
