"","PC1","PC2","PC3","PC4"
"10-207937S",-0.0408772385825687,0.00291337356573232,-0.00289547424311389,0.00560675809182219
"11-207511S",-0.050927423340997,0.00339815614816009,0.00926565430118479,-0.0065057942691905
"12-207303S",0.0243345792222671,-0.0118819573721558,0.00431562081700067,-0.00399158077806874
"13-207277S",-0.00743887430534724,-0.000417649683007923,-0.00015954414082392,-0.000506814109074376
"14-207838S",-0.000592093856294203,-0.0238295817456728,-0.00374560246480571,0.00332826350065259
"16-207781S",-0.0589452144530856,0.0205518009085737,0.0213397750376804,0.00348423103392941
"17-207468S",-0.14067317158159,-0.0251948127834084,-0.00969829328450958,-0.0081394075592541
"18-LYS211",-0.00891710698423019,0.00184768150491983,0.00892824391217658,-0.00650430617324802
"19-YZL116",-0.0107512236680196,-0.000907337931254058,-0.0012201136134127,-0.00914319295167655
"21-CJX120",-0.00746899572273938,-0.0089859159039942,-0.0027822914389526,0.00257670713727348
"22-ZYH170",0.0385887477336161,0.0136793264903552,0.00735566958249717,-0.0115596750463512
"23-HJT189",0.0232688858387059,0.016842854339028,0.000161250867380429,-0.00951488595621751
"25-207656S",0.0295961204671185,-0.00586043689743953,0.0127711682739903,-0.00070406011594403
"26-XJD190",0.0467855413888603,-0.0253147622167848,-0.00112352450053426,0.00953539042819373
"29-3",0.0531122545697538,0.00339266499781659,-0.00496728108026656,0.00375104444953389
"3-207536S",-0.0296201154592761,0.0178200456236341,-0.00341235262561082,0.00756444649473701
"30-4",0.027909088386671,-0.0199514409324638,0.0115228767025669,0.000788051206036521
"31-5",-0.0231521123012063,0.0150257078378764,-0.000462050597525206,0.00383740619050626
"32-6",0.000457644189468958,-0.0051828823171563,-0.0160993804397768,-0.0111101754801707
"33-7",-0.0309349016300332,0.0123678340783565,-0.00582190582488342,0.00659605609277998
"35-9",0.016202599882309,0.00733648522874814,0.0047327997095996,-0.00224901434265671
"36-10",0.0431490575916411,-0.000609645273681991,-0.00556905240707561,-0.00254392097818787
"37-11",0.0251586939912795,-0.00186408040696246,0.0138124909577444,-0.00212026212866822
"38-13",0.0373624288453739,0.00155509315306083,-0.0018496340753248,-0.000966942040442311
"39-14",0.0237013706397189,-0.00148908640454862,-0.00121056443285486,0.00238130369647923
"4-207387S",-0.0166718995956526,0.00128796638374303,-0.00324544456931422,0.00346670276730421
"40-15",0.0211000886362615,-0.00311622256998575,0.013117617194576,-2.18548686113776e-05
"42-17",-0.000803060888248469,0.00738187733147324,0.0030770092303642,0.0103759925564546
"43-18",0.00677861492071622,-0.000572549695813995,-0.00805963079123499,0.00267843894347875
"44-21",0.0212961925555092,0.0048218432891245,-0.0115405173883345,0.0061412979414656
"45-22",-0.00602045323756517,0.00796931319488666,0.0180139302172678,0.0200392698271669
"47-25",0.0101985421720682,-0.00333607675446463,-0.0140848580058279,-0.00664799943374194
"48-26",0.0390161236423655,0.00231931662905013,-0.0118461962953361,-0.00881348266536693
"49-27",-0.000767541014028374,-0.0511880463477146,0.00912526450926006,0.00235331927169757
"5-207296S",-0.026743182488865,0.0194324919195828,-0.00669747326489774,0.0078729201755824
"51-29",0.0377014128650371,0.00405165039106006,-0.00147887067454308,-0.00323681566962245
"52-30",0.0184346397526884,0.00268336052773019,-0.0210070744265792,0.0206971663414459
"6-207805S",0.00189900170870956,0.0105498459478682,0.00908758408744911,-0.00952803523831692
"7-207254S",0.0194080948011153,0.013927737247059,-0.00577699915382254,-0.0157574312375793
"9-207703S",-0.104155114691508,-0.00145394150132986,-0.00187282566137736,-0.0035091151041504
