	event.e	n.e	event.c	n.c	incr.e	incr.c	studlab	TE	seTE	lower	upper	zval	pval	w.fixed	w.random
1	7	28	0	28	0.5	0.5	Haroun et al	2.9899013532432	1.48826499002649	0.0729555733394105	5.90684713314699	2.00898453788796	0.0445387735389352	0.451480990274094	0.429786074217045
2	13	91	13	91	0	0	Grimminger et al	0	0.423659272868162	-0.830356916538024	0.830356916538024	0	1	5.57142857142857	3.43296423592168
3	49	93	47	96	0	0	Vineis et al	0.149303360592933	0.291239068468785	-0.421514724496881	0.720121445682747	0.512648805594348	0.608197006654235	11.7896451425247	5.08578533141629
4	15	99	5	99	0	0	Kim,D.S.et al	1.2110902720948	0.537782229572314	0.157056470607414	2.26512407358219	2.25200872304381	0.0243217207759326	3.45769837099317	2.49366609983063
5	17	91	14	91	0	0	Vallböhmer et al	0.233896343090472	0.395919975930569	-0.542092550493409	1.00988523667435	0.590766713755026	0.554676740660412	6.37947839831401	3.72357796990641
6	33	72	24	72	0	0	Kim,Y.T.et al	0.526093095896779	0.344157022221044	-0.148442272683017	1.20062846447658	1.5286426309177	0.126353061515422	8.44280442804428	4.34309914056625
7	1	31	0	10	0.5	0.5	Topaloglu et al	0.0322608622182215	1.67173312677313	-3.24427585801964	3.30879758245609	0.0192978542457271	0.984603495674764	0.357821229050279	0.344056671612493
8	1	75	0	75	0.5	0.5	Yanagawa et al	1.11194581953757	1.64113817778126	-2.10462590256739	4.32851754164254	0.677545519683706	0.498059899154906	0.371286965323006	0.356488345781754
9	37	514	0	84	0.5	0.5	Toyooka et al	2.58567548797865	1.4284940416505	-0.214121385786392	5.3854723617437	1.81007089465429	0.0702847938293363	0.490053091741752	0.464597334930736
10	7	107	0	104	0.5	0.5	Zochbauer-Muller et al	2.74707954500795	1.46726035865486	-0.128697913898899	5.62285700391479	1.87225091225554	0.0611718984658233	0.464499907119921	0.44156753739272
