ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol
212681_at	3.49E-17	1.57E-21	-21.5980435	38.561686	4.04	EPB41L3
206710_s_at	2.59E-16	2.32E-20	-19.8416454	36.041952	3.75	EPB41L3
206605_at	1.12E-15	1.50E-19	-18.6971469	34.277167	4.58	ENDOU
218813_s_at	2.44E-15	4.38E-19	-18.0660821	33.258996	1.84	SH3GLB2
220724_at	3.43E-15	9.00E-19	-17.6523879	32.573203	3.28	CWH43
211776_s_at	3.43E-15	9.25E-19	-17.6366078	32.546749	3.04	EPB41L3
201535_at	5.93E-15	1.86E-18	-17.2408127	31.875998	2.34	UBL3
220149_at	1.77E-14	6.37E-18	-16.5638203	30.695588	2.92	C2orf54
219722_s_at	4.97E-14	2.11E-17	-15.9253416	29.542401	2.83	GDPD3
207008_at	4.97E-14	2.23E-17	-15.8953765	29.487296	4.09	CXCR2
201534_s_at	6.96E-14	3.65E-17	-15.6386139	29.011418	2.83	UBL3
207802_at	6.96E-14	3.75E-17	-15.6245558	28.98517	7.18	CRISP3
216243_s_at	7.06E-14	4.12E-17	-15.575524	28.893466	3.54	IL1RN
205767_at	9.46E-14	5.94E-17	-15.3872526	28.539052	4.24	EREG
203845_at	1.04E-13	7.19E-17	-15.2901423	28.354812	3.11	KAT2B
207038_at	1.04E-13	7.47E-17	-15.2701285	28.316719	2.46	SLC16A6
218065_s_at	1.81E-13	1.46E-16	-14.9317283	27.66625	1.36	TMEM9B
204284_at	1.81E-13	1.46E-16	-14.9309243	27.66469	4.09	PPP1R3C
214536_at	2.39E-13	2.11E-16	-14.7473694	27.306738	5.02	SLURP1
212112_s_at	2.39E-13	2.15E-16	-14.7391518	27.290628	1.48	STX12
207655_s_at	2.41E-13	2.27E-16	-14.712063	27.237469	3.4	BLNK
212659_s_at	3.27E-13	3.23E-16	-14.5378166	26.893618	3.13	IL1RN
203779_s_at	4.12E-13	4.26E-16	-14.4033364	26.625957	2.56	MPZL2
202025_x_at	5.68E-13	6.12E-16	-14.2272821	26.272512	1.08	ACAA1
211734_s_at	6.11E-13	6.96E-16	-14.1651632	26.146973	2.92	FCER1A
213895_at	6.11E-13	7.13E-16	-14.1532189	26.122784	3.42	EMP1
205363_at	6.60E-13	8.00E-16	-14.0979837	26.010717	3.42	BBOX1
219104_at	6.81E-13	8.65E-16	-14.0604273	25.93432	1.88	RNF141
217551_at	6.81E-13	8.86E-16	-14.048792	25.910619	2.27	OR7E14P
204393_s_at	6.88E-13	9.26E-16	-14.0276414	25.867497	3.44	ACPP
214621_at	7.15E-13	1.02E-15	-13.981343	25.772924	3.02	GYS2
214451_at	7.15E-13	1.03E-15	-13.9783538	25.76681	3.65	TFAP2B
202582_s_at	8.96E-13	1.37E-15	-13.8417678	25.48633	1.76	RANBP9
219856_at	8.96E-13	1.42E-15	-13.8238757	25.44943	2.5	C1orf116
212543_at	8.96E-13	1.43E-15	-13.8222292	25.446032	2.25	AIM1
57588_at	8.96E-13	1.45E-15	-13.8150264	25.431166	2.64	SLC24A3
218180_s_at	1.08E-12	1.80E-15	-13.7130195	25.219976	2.3	EPS8L2
202107_s_at	1.39E-12	2.38E-15	13.5814488	24.94579	-2.08	MCM2
208626_s_at	1.39E-12	2.46E-15	-13.564934	24.911231	1.26	VAT1
205464_at	1.39E-12	2.50E-15	-13.5587992	24.898385	2.91	SCNN1B
220723_s_at	1.41E-12	2.59E-15	-13.5414274	24.861986	3.5	CWH43
214665_s_at	1.59E-12	3.00E-15	-13.4736384	24.719606	1.12	CHP1
203675_at	1.62E-12	3.13E-15	-13.4535197	24.677245	2.68	NUCB2
219090_at	1.62E-12	3.22E-15	-13.4405811	24.649977	2.79	SLC24A3
212895_s_at	1.62E-12	3.27E-15	-13.4332874	24.634597	1.12	ABR
209004_s_at	2.09E-12	4.40E-15	-13.296074	24.344081	1.08	FBXL5
213236_at	2.09E-12	4.40E-15	-13.2956518	24.343183	2.57	SASH1
218262_at	2.40E-12	5.17E-15	-13.2211885	24.184581	1.76	RMND5B
210609_s_at	2.51E-12	5.53E-15	-13.1905851	24.119204	2.65	TP53I3
203430_at	2.56E-12	5.74E-15	-13.1732823	24.082192	1.54	HEBP2
218935_at	2.67E-12	6.12E-15	-13.1443962	24.02032	2.54	EHD3
205530_at	2.84E-12	6.62E-15	-13.1085627	23.943428	1.9	ETFDH
212807_s_at	3.05E-12	7.25E-15	-13.0666871	23.853375	2.13	SORT1
209018_s_at	3.09E-12	7.74E-15	-13.0373078	23.790067	1.41	PINK1
218705_s_at	3.09E-12	7.75E-15	-13.0368209	23.789017	1.68	SNX24
210807_s_at	3.09E-12	7.76E-15	-13.0359154	23.787064	1.65	SLC16A7
208079_s_at	3.36E-12	8.61E-15	12.9889665	23.685672	-2.23	AURKA
200070_at	3.92E-12	1.02E-14	-12.9120947	23.519078	1.2	CNPPD1
221856_s_at	3.97E-12	1.05E-14	-12.89787	23.488171	1.49	FAM63A
204779_s_at	4.29E-12	1.16E-14	12.8554635	23.395886	-2.63	HOXB7
202807_s_at	4.77E-12	1.31E-14	-12.80102	23.277082	1.35	TOM1
219100_at	5.22E-12	1.45E-14	-12.7525208	23.170942	2.55	OBFC1
41644_at	5.70E-12	1.61E-14	-12.706569	23.070109	2.51	SASH1
211994_at	5.71E-12	1.64E-14	-12.6985621	23.052512	1.02	WNK1
33494_at	5.87E-12	1.71E-14	-12.6792123	23.009955	1.86	ETFDH
207463_x_at	6.22E-12	1.84E-14	-12.6467957	22.938555	2.85	PRSS3
217315_s_at	6.28E-12	1.89E-14	-12.6348452	22.912201	3.41	KLK13
218231_at	6.28E-12	1.92E-14	-12.6292066	22.89976	1.8	NAGK
201454_s_at	6.41E-12	1.99E-14	-12.6133628	22.86478	1.66	NPEPPS
219529_at	6.62E-12	2.08E-14	-12.5927391	22.819202	5.33	CLIC3
222333_at	6.86E-12	2.18E-14	-12.5709449	22.770978	1.46	ALS2CL
204242_s_at	7.53E-12	2.44E-14	-12.5214597	22.661264	1.26	ACOX3
216973_s_at	7.53E-12	2.47E-14	12.5170267	22.651421	-2.34	HOXB7
208336_s_at	8.07E-12	2.68E-14	-12.4804988	22.570218	1.64	TECR
219787_s_at	8.74E-12	2.94E-14	12.4390191	22.477803	-2.56	ECT2
212861_at	9.07E-12	3.10E-14	-12.4168591	22.428343	1.45	MFSD5
205730_s_at	1.03E-11	3.55E-14	-12.3569325	22.294281	2.09	ABLIM3
209091_s_at	1.05E-11	3.73E-14	-12.3354599	22.246135	1.72	SH3GLB1
201567_s_at	1.05E-11	3.76E-14	-12.3318328	22.237996	1.1	GOLGA4
213421_x_at	1.05E-11	3.77E-14	-12.3305491	22.235115	2.55	PRSS3
208908_s_at	1.13E-11	4.12E-14	-12.2912352	22.146788	2.12	CAST
218364_at	1.15E-11	4.22E-14	-12.2806279	22.122924	1.81	LRRFIP2
209019_s_at	1.20E-11	4.46E-14	-12.2572401	22.070254	1.09	PINK1
212441_at	1.25E-11	4.70E-14	-12.2334405	22.016585	1.3	KIAA0232
221665_s_at	1.26E-11	4.82E-14	-12.2225556	21.992016	2.91	EPS8L1
200678_x_at	1.26E-11	4.91E-14	-12.2152238	21.975458	1.59	GRN
202662_s_at	1.26E-11	4.93E-14	-12.213349	21.971223	1.96	ITPR2
205773_at	1.31E-11	5.16E-14	-12.1928549	21.924898	2.24	CPEB3
209872_s_at	1.38E-11	5.51E-14	-12.1646693	21.8611	1.94	PKP3
216258_s_at	1.49E-11	6.01E-14	-12.1267568	21.775126	3.1	SERPINB13
204503_at	1.73E-11	7.07E-14	-12.0564623	21.615233	2.48	EVPL
216041_x_at	1.78E-11	7.40E-14	-12.036734	21.570245	1.64	GRN
210419_at	1.78E-11	7.44E-14	-12.0346359	21.565458	8.59E-01	BARX2
204241_at	1.90E-11	8.03E-14	-12.0017021	21.490236	1.87	ACOX3
204641_at	2.02E-11	8.60E-14	11.9722206	21.422781	-1.87	NEK2
218779_x_at	2.14E-11	9.20E-14	-11.9429401	21.355675	2.73	EPS8L1
200863_s_at	2.54E-11	1.11E-13	-11.8644004	21.175129	1.5	RAB11A
221655_x_at	2.59E-11	1.14E-13	-11.8501565	21.1423	2.47	EPS8L1
205073_at	2.59E-11	1.15E-13	-11.8474475	21.136053	2.04	CYP2J2
219296_at	2.62E-11	1.18E-13	-11.8373967	21.112869	2.12	ZDHHC13
219105_x_at	2.62E-11	1.19E-13	11.8341901	21.10547	-1.48	ORC6
203659_s_at	2.71E-11	1.25E-13	-11.8122269	21.054752	1.47	TRIM13
213279_at	2.71E-11	1.25E-13	-11.8109682	21.051844	2.45	DHRS1
209679_s_at	2.90E-11	1.36E-13	-11.7757586	20.970401	2.17	SMAGP
