No	ID	Age	Race	Tissue	Type	Platform
1	SRR1035722					
2	SRR1035723					
3	SRR1035724					
4	SRR1035725					
5	SRR1035726					
6	SRR1035727					
7	SRR1035728					
8	SRR1035729					
9	SRR1035730					
10	SRR1035731					
11	SRR1035732					
12	SRR1035733					
13	SRR1035734					
14	SRR1035735					
15	SRR1035736					
16	SRR1035737					
17	SRR1035738					
18	SRR1035739					
19	SRR1035740					
20	SRR1035741					
21	SRR1035742					
22	SRR1035743					
23	SRR1035744					
24	SRR1035745					
25	SRR1035746					
26	SRR1035747					
27	SRR1035748					
28	SRR1035749					
29	SRR1035750					
30	SRR1035751					
31	SRR1035752					
32	SRR1035753					
33	SRR1035754					
34	SRR1035755					
35	SRR1035756					
36	SRR1035757					
37	SRR1035758					
38	SRR1035759					
39	SRR1035760					
40	SRR1035761					
41	SRR1035762					
42	SRR1035763					
43	SRR1035764					
44	SRR1035765					
45	SRR1035766					
46	SRR1035767					
47	SRR1035768					
48	SRR1035769					
49	SRR1035770					
50	SRR1035771					
51	SRR1035772					
52	SRR1035773					
53	SRR1035774					
54	SRR1035775					
55	SRR1035776					
56	SRR1035777					
57	SRR1035778					
58	SRR1035779					
59	SRR1035780					
60	SRR1035781					
61	SRR1035782					
62	SRR1035783					
63	SRR1035784					
64	SRR1035785					
65	SRR1035786					
66	SRR1035787					
67	SRR1035788					
68	SRR1035789					
69	SRR1035790					
70	SRR1035791					
71	SRR1035792					
72	SRR1035793					
73	SRR1035794					
74	SRR1035795					
75	SRR1035796					
76	SRR1035797					
77	SRR1035798					
78	SRR1035799					
79	SRR1035800					
80	SRR1035801					
81	SRR1035802					
82	SRR1035803					
83	SRR1035804					
84	SRR1035805					
85	SRR1035806					
86	SRR1035807					
87	SRR1035808					
88	SRR1035809					
89	SRR1035810					
90	SRR1035811					
91	SRR1035812					
92	SRR1035813					
93	SRR1035814					
94	SRR1035815					
95	SRR1035816					
96	SRR1035817					
97	SRR1035818					
98	SRR1035819					
99	SRR1035820					
100	SRR1035821					
101	SRR1035822					
102	SRR1035823					
103	SRR1035824					
104	SRR1035825					
105	SRR1035826					
106	SRR1035827					
107	SRR1035828					
108	SRR1035829					
109	SRR1035830					
110	SRR1035831					
111	SRR1035832					
112	SRR1035833					
113	SRR1035834					
114	SRR1035835					
115	SRR1035836					
116	SRR1035837					
117	SRR1035838					
118	SRR1035839					
119	SRR1035840					
120	SRR1035841					
121	SRR1035842					
122	SRR1035843					
123	SRR1035844					
124	SRR1035845					
125	SRR1035846					
126	SRR1035847					
127	SRR1035848					
128	SRR1035849					
129	SRR1035850					
130	SRR1035851					
131	SRR1035852					
132	SRR1035853					
133	SRR1035854					
134	SRR1035855					
135	SRR1035856					
136	SRR1035857					
137	SRR1035858					
138	SRR1035859					
139	SRR1035860					
140	SRR1035861					
141	SRR1035862					
142	SRR1035863					
143	SRR1035864					
144	SRR1035865					
145	SRR1035866					
146	SRR1035867					
147	SRR1035868					
148	SRR1035869					
149	SRR1035870					
150	SRR1035871					
151	SRR1035872					
152	SRR1035873					
153	SRR1035874					
154	SRR1035875					
155	SRR1035876					
156	SRR1035877					
157	SRR1035878					
158	SRR1035879					
159	SRR1035880					
160	SRR1035881					
161	SRR1035882					
162	SRR1035883					
163	SRR1035884					
164	SRR1035885					
165	SRR1035886					
166	SRR1035887					
167	SRR1035888					
168	SRR1035889					
169	SRR1035890					
170	SRR1035891					
171	SRR1035892					
172	SRR1035893					
173	SRR1035894					
174	SRR1035895					
175	SRR1035896					
