""	"Coefficient"	"ci.lb"	"ci.ub"	"pvalue"	"tau2"	"QE"	"QE.P-value"	"R2"
"sampletype"	-0.02	-1.12	1.08	0.975191953212099	0.26	21.67	0.060755744006782	0
"age"	-0.07	-0.23	0.1	0.428533120405101	0.28	14.98	0.0915985853400282	0
"stage1"	-2.63	-6.44	1.18	0.176409024108848	0.13	6.09	0.297372064139542	32.49
"stage2"	-1.71	-6.44	3.03	0.479344355621321	0.37	15.16	0.0561906914346508	0
"genderatio"	-3.4	-9.14	2.34	0.24513903245427	0.03	9.55	0.388214054741564	39.68
"methods"	0.36	-0.65	1.37	0.48643224015262	0.27	21.69	0.0603627846532296	0
"aim"	0.98	0.35	1.6	0.00219596255254782	0	12.34	0.500362138000296	100
"Multipletarget"	0.25	-1.65	2.15	0.798320178709512	0.25	21.51	0.0634129019281369	0
"controldesign"	0.88	-0.64	2.41	0.255632178543707	0.19	17.36	0.1364062808443	9.8
"Ad2Sc"	-1.48	-3.79	0.83	0.208938202432491	0.16	14.94	0.185486737498006	18.81
