Target	TLX2_	TLX2_	TLX2_	TLX2_	TLX2_	TLX2_	TLX2_	TLX2_	TLX2_	TLX2_	TLX2_	TLX2_	TLX2_	TLX2_	TLX2_	TLX2_	TLX2_	TLX2_	TLX2_	TLX2_	TLX2_	TLX2_	TLX2_	me5	mRNA
N71	0.074074074	0.051851852	0.148148148	0.111111111	0.044444444	0.074074074	0.007407407	0.037037037	0.037037037	0.021582734	0.071942446	0.050724638	0.00729927	0.007407407	0.007407407	0.007407407	0.051851852	0.051851852	0.02962963	0.081481481	0.014814815	0.111111111	0.02962963	0.049101168	0.017058879
N57	0.13876652	0.079295154	0.136563877	0.099118943	0.077092511	0.057268722	0.037444934	0.028634361	0.04185022	0.061002179	0.06302521	0.075949367	0.085653105	0.00660793	0.033039648	0.099118943	0.035242291	0.066079295	0.039647577	0.107929515	0.077092511	0.088105727	0.055066079	0.069112809	0.001391884
N67	0.026315789	0.092105263	0.381578947	0	0.105263158	0.092105263	0	0.026315789	0.065789474	0.012195122	0.098765432	0.101265823	0.076923077	0.013157895	0	0.315789474	0.052631579	0.013157895	0.078947368	0.013157895	0.026315789	0.026315789	0	0.070352036	0.004095721
N65	0.043209877	0.160493827	0.259259259	0.154320988	0.049382716	0.049382716	0.092592593	0.049382716	0.024691358	0.042168675	0.054878049	0.024539877	0.043209877	0.030864198	0.049382716	0.067901235	0.037037037	0.043209877	0.061728395	0.080246914	0.049382716	0.104938272	0.049382716	0.070503765	0.001323912
N53	0.130681818	0.113636364	0.204545455	0.181818182	0.119318182	0.119318182	0.056818182	0.022727273	0.034090909	0.016949153	0.027932961	0.05027933	0.02247191	0.017045455	0.068181818	0.068181818	0.0625	0.017045455	0.034090909	0.034090909	0.085227273	0.130681818	0.011363636	0.070825956	0.007518444
N56	0.080924855	0.098265896	0.149425287	0.08045977	0.086206897	0.086206897	0.063218391	0.051724138	0.022988506	0.027777778	0.049450549	0.038461538	0.056179775	0.057471264	0.057471264	0.08045977	0.045977011	0.074712644	0.028735632	0.074712644	0.103448276	0.137931034	0.086206897	0.071235509	0.002892676
T45	0.109816972	0.173044925	0.216887417	0.122516556	0.062913907	0.112582781	0.069536424	0.014900662	0.046357616	0.01607717	0.034810127	0.050955414	0.059390048	0.024834437	0.067880795	0.066225166	0.039735099	0.028145695	0.029801325	0.056291391	0.130794702	0.150662252	0.066225166	0.076103741	0.000232732
N78	0.098976109	0.133105802	0.160409556	0.177474403	0.19112628	0.242320819	0.078498294	0.010238908	0.006825939	0.027027027	0.043189369	0.016666667	0.030100334	0.027303754	0.061433447	0.14334471	0.075085324	0.068259386	0.006825939	0.081911263	0.058020478	0.098976109	0.034129693	0.081358679	0.136329026
T71	0.128463476	0.108312343	0.168765743	0.196473552	0.078085642	0.138539043	0.083123426	0.025188917	0.055415617	0.032258065	0.082926829	0.046568627	0.090909091	0.042821159	0.037783375	0.090680101	0.083123426	0.057934509	0.052896725	0.037783375	0.095959596	0.093434343	0.090909091	0.083406786	0.018115059
N54	0.1367713	0.130044843	0.186098655	0.107623318	0.060538117	0.143497758	0.065022422	0.035874439	0.049327354	0.028571429	0.049356223	0.045356371	0.061002179	0.044843049	0.069506726	0.121076233	0.085201794	0.089686099	0.031390135	0.069506726	0.105381166	0.132286996	0.082959641	0.083953173	0.00234367
N46	0.095238095	0.095238095	0.125	0.130952381	0.095238095	0.160714286	0.113095238	0.053571429	0.041666667	0.052023121	0.063953488	0.046783626	0.070588235	0.071428571	0.113095238	0.077380952	0.095238095	0.071428571	0.077380952	0.05952381	0.071428571	0.05952381	0.095238095	0.084162149	0.003855025
N45	0.195744681	0.123404255	0.180851064	0.129787234	0.121276596	0.087234043	0.057446809	0.053191489	0.053191489	0.069327731	0.03526971	0.045929019	0.062761506	0.019148936	0.065957447	0.121276596	0.04893617	0.091489362	0.027659574	0.09787234	0.076595745	0.114893617	0.085106383	0.0854066	0.002402404
N77	0.2	0.207142857	0.257142857	0.078571429	0.064285714	0.178571429	0.007142857	0.028571429	0.064285714	0.013888889	0.048951049	0.049295775	0.092198582	0.064285714	0.064285714	0.085714286	0.064285714	0.078571429	0.092857143	0.1	0.128571429	0.1	0.064285714	0.092735031	0.017855624
N35	0.224	0.136	0.18	0.104	0.124	0.1	0.056	0.02	0.068	0.05019305	0.072519084	0.076923077	0.06614786	0.044	0.124	0.064	0.068	0.096	0.088	0.108	0.116	0.108	0.104	0.095555786	0.085802213
T78	0.165492958	0.178947368	0.171929825	0.154385965	0.157894737	0.143859649	0.084210526	0.052631579	0.070175439	0.048275862	0.086956522	0.063758389	0.047297297	0.024561404	0.049122807	0.087719298	0.031578947	0.10877193	0.035087719	0.126315789	0.122807018	0.112280702	0.080701754	0.095859282	0.002038413
N61	0.08	0.213333333	0.2	0.093333333	0.026666667	0.213333333	0.08	0.013333333	0.133333333	0.025974026	0.064102564	0.051282051	0.025641026	0.026666667	0.053333333	0.106666667	0.093333333	0.053333333	0.16	0.106666667	0.186666667	0.146666667	0.135135135	0.099513107	0.000614261
T29	0.173611111	0.222222222	0.222222222	0.159722222	0.0625	0.145833333	0.0625	0.020833333	0.104166667	0.020547945	0.093333333	0.113333333	0.06122449	0.034722222	0.125	0.041666667	0.090277778	0.131944444	0.083333333	0.097222222	0.118055556	0.104166667	0.027777778	0.100705082	0.001444668
N76	0.125560538	0.152466368	0.147982063	0.156950673	0.085201794	0.197309417	0.098654709	0.02690583	0.076233184	0.049107143	0.096491228	0.096491228	0.10619469	0.044843049	0.044843049	0.112107623	0.094170404	0.098654709	0.040358744	0.098654709	0.134529148	0.130044843	0.125560538	0.101709377	0.008774089
N29	0.048192771	0.168674699	0.13253012	0.13253012	0.108433735	0.204819277	0.108433735	0.096385542	0.024096386	0.072289157	0.2	0.023529412	0.117647059	0.024096386	0.048192771	0.108433735	0.060240964	0.120481928	0.072289157	0.180722892	0.060240964	0.120481928	0.120481928	0.102314116	0.00728783
N4	0.156934307	0.186131387	0.270072993	0.120437956	0.094890511	0.080291971	0.091240876	0.032846715	0.127737226	0.106007067	0.09540636	0.107142857	0.100719424	0.109489051	0.065693431	0.072992701	0.032846715	0.087591241	0.054744526	0.109489051	0.149635036	0.189781022	0.080291971	0.109670191	0.068705005
N60	0.153846154	0.127622378	0.192307692	0.162587413	0.106643357	0.16958042	0.094405594	0.057692308	0.054195804	0.04475043	0.090136054	0.083475298	0.070446735	0.073426573	0.104895105	0.117132867	0.101398601	0.106643357	0.076923077	0.094405594	0.155594406	0.157342657	0.13986014	0.110230957	0.002457771
N75	0.162162162	0.118243243	0.236486486	0.273648649	0.10472973	0.219594595	0.131756757	0.037162162	0.094594595	0.039735099	0.049180328	0.078688525	0.07	0.054054054	0.081081081	0.081081081	0.091216216	0.138513514	0.135135135	0.087837838	0.121621622	0.084459459	0.087837838	0.112122616	0.139437579
