GeneName	Pvalue	Statistic	test	mean1	mean2
18679	TRIM58|25893	0.00058126820371455	-21.1606235708632	wilcox	24.8733529270064	46.0339764978696
13380	PHYHIPL|84457	0.128327294621625	-10.1652044149349	wilcox	23.4542767417662	33.6194811567011
13380.1	PHYHIPL|84457	0.128327294621625	-10.1652044149349	wilcox	23.4542767417662	33.6194811567011
15130	RNLS|55328	0.00015955674034733	-146.77659670343	wilcox	63.114632140104	209.891228843534
15130.1	RNLS|55328	0.00015955674034733	-146.77659670343	wilcox	63.114632140104	209.891228843534
20455	ZNF844|284391	4.55742134517284e-06	-184.760995179108	wilcox	90.5131388495478	275.274134028656
20455.1	ZNF844|284391	4.55742134517284e-06	-184.760995179108	wilcox	90.5131388495478	275.274134028656
20421	ZNF790|388536	1.06914074809951e-05	-71.974530477274	wilcox	53.206963286402	125.181493763676
20421.1	ZNF790|388536	1.06914074809951e-05	-71.974530477274	wilcox	53.206963286402	125.181493763676
20106	ZNF345|25850	0.000454541986907934	-43.5560935315583	wilcox	46.1230333682362	89.6791268997944
20106.1	ZNF345|25850	0.000454541986907934	-43.5560935315583	wilcox	46.1230333682362	89.6791268997944
20106.2	ZNF345|25850	0.000454541986907934	-43.5560935315583	wilcox	46.1230333682362	89.6791268997944
20256	ZNF569|148266	0.000311905974289307	-68.6795053448252	wilcox	54.7010733048554	123.380578649681
20256.1	ZNF569|148266	0.000311905974289307	-68.6795053448252	wilcox	54.7010733048554	123.380578649681
20256.2	ZNF569|148266	0.000311905974289307	-68.6795053448252	wilcox	54.7010733048554	123.380578649681
20256.3	ZNF569|148266	0.000311905974289307	-68.6795053448252	wilcox	54.7010733048554	123.380578649681
20257	ZNF570|148268	3.32913016636673e-05	-56.6330255961577	wilcox	35.0717486102798	91.7047742064375
20257.1	ZNF570|148268	3.32913016636673e-05	-56.6330255961577	wilcox	35.0717486102798	91.7047742064375
13692	PNMAL1|55228	0.38335064343491	-2.73085069368004	wilcox	93.1263361518809	95.857186845561
20329	ZNF665|79788	8.31269350490555e-05	-18.678042056318	wilcox	12.4349126411211	31.1129546974391
20329.1	ZNF665|79788	8.31269350490555e-05	-18.678042056318	wilcox	12.4349126411211	31.1129546974391
20182	ZNF471|57573	6.17415468726982e-07	-203.017872366413	wilcox	40.1066417606908	243.124514127104
20182.1	ZNF471|57573	6.17415468726982e-07	-203.017872366413	wilcox	40.1066417606908	243.124514127104
20181	ZNF470|388566	1.63848479487929e-05	-128.608596626183	wilcox	58.8752918725806	187.483888498764
20181.1	ZNF470|388566	1.63848479487929e-05	-128.608596626183	wilcox	58.8752918725806	187.483888498764
20181.2	ZNF470|388566	1.63848479487929e-05	-128.608596626183	wilcox	58.8752918725806	187.483888498764
20181.3	ZNF470|388566	1.63848479487929e-05	-128.608596626183	wilcox	58.8752918725806	187.483888498764
20377	ZNF71|58491	0.000938946419947986	-90.462665705322	wilcox	90.4300398250955	180.892705530418
20377.1	ZNF71|58491	0.000938946419947986	-90.462665705322	wilcox	90.4300398250955	180.892705530418
16037	SIM2|6493	0.27253803549282	-159.639348335245	wilcox	599.762938275923	759.402286611169
16037.1	SIM2|6493	0.27253803549282	-159.639348335245	wilcox	599.762938275923	759.402286611169
16037.2	SIM2|6493	0.27253803549282	-159.639348335245	wilcox	599.762938275923	759.402286611169
16037.3	SIM2|6493	0.27253803549282	-159.639348335245	wilcox	599.762938275923	759.402286611169
1546	BMP3|651	0.00025747793615233	-99.0585207311648	wilcox	46.9001742204402	145.958694951605
15624	SCOC|60592	0.116361465144463	-163.326661504723	wilcox	1209.58731343166	1372.91397493638
6951	GDNF|2668	0.0144964698272942	-5.56665704453377	wilcox	4.74722532418201	10.3138823687158
7309	GPR150|285601	0.0216632095443499	-19.2629118220821	wilcox	4.83970465037118	24.1026164724533
