CCTInput	Brain	CCT	Colon	Esophagus	Heart	Intestine	Kidney	Liver	Lung	Stomach	WBC
1	0	0.00349866664266479	0	0.00284935994182008	0.0033805455746576	0	3.18977007078419e-05	0	0.00239656286434513	0	0.00199628411366481	0.98584668316214
2	0.0125	0	0.0101575784226045	0.0152166784412519	0	0	0	0	0	0	0	0.974625743136143
3	0.025	0	0.0215919033811009	0.0219240981665653	0	0	0	0	0	0	0	0.956483998452334
4	0.0375	0	0.0329054055322533	0.0293493006202293	0	0	0	0	0	0	0	0.937745293847517
5	0.05	0	0.0442162989370547	0.0373804911989474	0	0	0	0	0	0	0	0.918403209863998
6	0.0625	0	0.0556003246265221	0.0459515331330322	0	0	0	0	0	0	0	0.898448142240446
7	0.075	0	0.0671081950429634	0.0550186344986395	0	0	0	0	0	0	0	0.877873170458397
8	0.0875	0	0.0787746728685106	0.0645502092897023	0	0	0	0	0	0	0	0.856675117841787
9	0.1	0	0.0906236786772584	0.074521773002468	0	0	0	0	0	0	0	0.834854548320273
10	0.1125	0	0.102671362721311	0.0849131089104247	0	0	0	0	0	0	0	0.812415528368265
11	0.125	0	0.114928060514418	0.0957065865445913	0	0	0	0	0	0	0	0.789365352940991
12	0.1375	0	0.127399603290078	0.106886120225026	0	0	0	0	0	0	0	0.765714276484896
13	0.15	0	0.14008824053287	0.118436510552497	0	0	0	0	0	0	0	0.741475248914633
14	0.1625	0	0.152993322651248	0.130343030283101	0	0	0	0	0	0	0	0.716663647065651
15	0.175	0	0.166111832852847	0.142591175500276	0	0	0	0	0	0	0	0.691296991646877
16	0.1875	0	0.179438823762367	0.155166534763015	0	0	0	0	0	0	0	0.665394641474619
17	0.2	0	0.192967794464703	0.168054746755099	0	0	0	0	0	0	0	0.638977458780199
18	0.2125	0	0.206691031481104	0.181241527446449	0	0	0	0	0	0	0	0.612067441072448
19	0.225	0	0.220599929532168	0.194712754223158	0	0	0	0	0	0	0	0.584687316244674
20	0.2375	0	0.234685303077801	0.208454598627307	0	0	0	0	0	0	0	0.556860098294892
21	0.25	0	0.248937696581735	0.222453702283234	0	0	0	0	0	0	0	0.528608601135031
