bcr_sample_barcode	bcr_portion_barcode	bcr_portion_uuid	LCE	date_of_creation	is_ffpe	portion_number	weight
CDE_ID:2673864			CDE_ID:3251491		CDE_ID:4170557		CDE_ID:2673761
TCGA-05-4384-01A	TCGA-05-4384-01A-01	70a98141-6c1f-42d7-b2d9-48b794ee6b08	[Not Available]	2010-07-02	NO	01	113.00
TCGA-05-4384-10A	TCGA-05-4384-10A-01	10421a0d-0998-4524-8ce1-2d7b18bf05fb	[Not Available]	2010-10-04	NO	01	[Not Available]
TCGA-05-4390-01A	TCGA-05-4390-01A-01	92db05f1-3456-44b3-a72b-1557d090df59	[Not Available]	2012-11-30	NO	01	31.00
TCGA-05-4390-01A	TCGA-05-4390-01A-02	2c108393-c38b-4f1c-8c51-713eaa3cb365	[Not Available]	2010-07-02	NO	02	131.00
TCGA-05-4390-10A	TCGA-05-4390-10A-01	d4e63951-6af6-4872-a697-a72dfaf9deda	[Not Available]	2010-07-30	NO	01	[Not Available]
TCGA-05-4425-01A	TCGA-05-4425-01A-01	6ada5983-ad0a-4d7f-a7b4-b7fb6f7064af	[Not Available]	2010-07-02	NO	01	131.00
TCGA-05-4425-10A	TCGA-05-4425-10A-01	0f0a3617-2e9b-4b90-8214-29a7ca182ef3	[Not Available]	2010-10-06	NO	01	[Not Available]
TCGA-38-4631-01A	TCGA-38-4631-01A-01	571fd1b0-0df0-41be-bd0a-7b9d5fbeac35	[Not Available]	2010-06-29	NO	01	109.00
TCGA-38-4631-11A	TCGA-38-4631-11A-01	cb6d35ff-1d90-4bb3-baaa-1fd5810f6dae	[Not Available]	2010-06-29	NO	01	108.00
TCGA-38-4632-01A	TCGA-38-4632-01A-01	3dd75f8d-4ee8-4d9f-8993-5fb2c7abd075	[Not Available]	2010-06-29	NO	01	137.00
TCGA-38-4632-11A	TCGA-38-4632-11A-01	a384801e-a223-429e-86cc-925cfbc98729	[Not Available]	2010-06-29	NO	01	120.00
TCGA-38-6178-01A	TCGA-38-6178-01A-11	77f7a6a3-d619-4571-9a38-0c79d62e6acc	[Not Available]	2011-03-10	NO	11	35.00
TCGA-38-6178-10A	TCGA-38-6178-10A-01	40c7742c-58c6-4e1e-adde-0832755414a9	[Not Available]	2011-03-04	NO	01	[Not Available]
TCGA-44-6144-01A	TCGA-44-6144-01A-11	47386618-13a2-4936-b0ab-9355ac044550	[Not Available]	2011-03-04	NO	11	28.00
TCGA-44-6144-10A	TCGA-44-6144-10A-01	485e1ed2-c663-450f-aec3-e7373d30d287	[Not Available]	2011-03-11	NO	01	[Not Available]
TCGA-44-6144-11A	TCGA-44-6144-11A-01	00db6bc1-96f8-463a-bc1c-3ae66c339e5d	[Not Available]	2011-03-04	NO	01	32.00
TCGA-44-6145-01A	TCGA-44-6145-01A-11	805f1f64-8d7f-41a3-b77b-e952f272a8a5	[Not Available]	2011-03-04	NO	11	36.00
TCGA-44-6145-10A	TCGA-44-6145-10A-01	cefa122e-ec10-4376-bf7d-64b809f7add1	[Not Available]	2011-03-11	NO	01	[Not Available]
TCGA-44-6145-11A	TCGA-44-6145-11A-01	20bce95a-cc2f-411a-accf-a1209da7493b	[Not Available]	2011-03-04	NO	01	39.00
TCGA-44-6146-01A	TCGA-44-6146-01A-11	a75b21fb-e968-4d8b-b3a0-10787014bdd4	[Not Available]	2011-03-04	NO	11	34.00
TCGA-44-6146-01A	TCGA-44-6146-01A-21	e6ebf42f-ba20-4bdc-8f73-66d6ad88a34a	[Not Available]	2012-11-30	NO	21	10.00
TCGA-44-6146-01A	TCGA-44-6146-01A-31	481C36C9-3039-4DD0-99E5-CAE826374A1A	[Not Available]	2013-03-07	NO	31	30.00
TCGA-44-6146-01B	TCGA-44-6146-01B-03	8575BDAB-CFDD-4693-B040-B73F56D7732B	[Not Available]	2013-02-07	YES	03	400.00
TCGA-44-6146-01B	TCGA-44-6146-01B-04	D747A77E-D225-4D9E-98FB-B4823293269D	[Not Available]	2013-02-07	YES	04	400.00
TCGA-44-6146-10A	TCGA-44-6146-10A-01	8e18670b-2c22-4108-bc22-df67a8069269	[Not Available]	2011-03-11	NO	01	[Not Available]
TCGA-44-6146-11A	TCGA-44-6146-11A-01	96c4cd4a-6aba-4477-b2ea-cad39391c245	[Not Available]	2011-03-04	NO	01	31.00
TCGA-44-6146-11A	TCGA-44-6146-11A-21	8EEE4191-9710-47D3-BF60-6495C3C05B2C	[Not Available]	2013-02-14	NO	21	30.00
TCGA-44-6146-11A	TCGA-44-6146-11A-31	1FB1323B-0022-4BFD-AE56-E7366ED29C44	[Not Available]	2013-02-25	NO	31	30.00
TCGA-44-6147-01A	TCGA-44-6147-01A-11	9a24843b-956a-4022-a707-22f8af235975	[Not Available]	2011-03-04	NO	11	35.00
TCGA-44-6147-01A	TCGA-44-6147-01A-21	1cdcb0e1-c72a-470f-ad4b-73c452257809	[Not Available]	2012-11-30	NO	21	30.00
TCGA-44-6147-01A	TCGA-44-6147-01A-31	FB3E20FC-A2E4-4E01-805E-55AE5A2A8086	[Not Available]	2013-03-07	NO	31	20.00
TCGA-44-6147-01B	TCGA-44-6147-01B-04	3526B770-2280-45D1-AF47-EF33F1AD9C34	[Not Available]	2013-02-07	YES	04	400.00
TCGA-44-6147-01B	TCGA-44-6147-01B-06	C0FAAA32-D2F8-4EC8-A468-56C5A55090C0	[Not Available]	2013-02-14	YES	06	400.00
TCGA-44-6147-10A	TCGA-44-6147-10A-01	8b46b18d-3f11-4406-852d-aa62949ed790	[Not Available]	2011-03-11	NO	01	[Not Available]
TCGA-44-6147-11A	TCGA-44-6147-11A-01	944ca2eb-6047-47d7-ad5d-790037cdbd71	[Not Available]	2011-03-04	NO	01	36.00
TCGA-44-6147-11A	TCGA-44-6147-11A-21	4F69F6B1-CA53-4D92-87A4-307CB1B83324	[Not Available]	2013-02-14	NO	21	30.00
TCGA-44-6147-11A	TCGA-44-6147-11A-51	CBE1A153-8C6C-4258-9FEB-A1EC4A6E7A76	[Not Available]	2013-02-26	NO	51	30.00
TCGA-44-6148-01A	TCGA-44-6148-01A-11	73f5db6f-e9f9-4a55-9166-eba9a5a68238	[Not Available]	2011-03-04	NO	11	36.00
TCGA-44-6148-10A	TCGA-44-6148-10A-01	959caa7c-5d90-42eb-9f61-b0bf8af2a4e0	[Not Available]	2011-03-11	NO	01	[Not Available]
TCGA-44-6148-11A	TCGA-44-6148-11A-01	e7c67cb7-3ed5-46c6-af61-6f419c9dba46	[Not Available]	2011-03-04	NO	01	31.00
TCGA-49-4488-01A	TCGA-49-4488-01A-01	292d9836-78ab-482c-8e98-9817d286642b	[Not Available]	2010-06-29	NO	01	148.00
TCGA-49-4488-11A	TCGA-49-4488-11A-01	872a9ab0-44c0-432a-af66-5c3fd43d4eb5	[Not Available]	2010-06-29	NO	01	102.00
TCGA-50-5930-01A	TCGA-50-5930-01A-11	6d2ec0dc-a005-45c1-9f6d-f1f61fccd25a	[Not Available]	2011-02-17	NO	11	34.00
TCGA-50-5930-11A	TCGA-50-5930-11A-01	fb7467a8-a0b4-4d87-84f8-8b31ddf16e1c	[Not Available]	2011-02-17	NO	01	32.00
TCGA-50-5931-01A	TCGA-50-5931-01A-11	d84016d5-a53a-42a5-b7af-f3f31d045cf2	[Not Available]	2011-02-17	NO	11	31.00
TCGA-50-5931-11A	TCGA-50-5931-11A-01	1b737e7c-d48f-4116-a236-cb8e42217ef6	[Not Available]	2011-02-17	NO	01	34.00
TCGA-50-5932-01A	TCGA-50-5932-01A-11	7f940b0d-bce8-4b16-a82d-7daa8fd5257e	[Not Available]	2011-02-17	NO	11	31.00
TCGA-50-5932-11A	TCGA-50-5932-11A-01	956a93e5-9d42-4cab-a087-d2c15c2d5d2f	[Not Available]	2011-02-17	NO	01	28.00
TCGA-50-5933-01A	TCGA-50-5933-01A-11	4a64c7b8-ba43-4c94-b7e6-7c2b5ae19204	[Not Available]	2011-02-17	NO	11	28.00
TCGA-50-5933-11A	TCGA-50-5933-11A-01	cc8e2bfe-4a86-478d-878a-3465fe8080d0	[Not Available]	2011-02-17	NO	01	38.00
TCGA-50-5935-01A	TCGA-50-5935-01A-11	db2e0f2b-70db-48ea-a47d-6b338e549b7b	[Not Available]	2011-02-17	NO	11	36.00
TCGA-50-5935-11A	TCGA-50-5935-11A-01	52cd13ba-573a-4ff8-8ac7-3ab00dbb9565	[Not Available]	2011-02-17	NO	01	31.00
TCGA-50-5941-01A	TCGA-50-5941-01A-11	e5ddceb5-b425-4414-907b-0f60b97402c2	[Not Available]	2011-02-17	NO	11	30.00
TCGA-50-5941-10A	TCGA-50-5941-10A-01	d461aebf-56ef-4398-a98b-e65c086de8bf	[Not Available]	2011-02-24	NO	01	[Not Available]
TCGA-50-5942-01A	TCGA-50-5942-01A-21	9905fed4-357c-43e6-8cfc-bab5a213ea14	[Not Available]	2011-02-17	NO	21	30.00
TCGA-50-5942-10A	TCGA-50-5942-10A-01	ca298de9-2173-4542-88e8-338b9cd6727c	[Not Available]	2011-03-18	NO	01	[Not Available]
TCGA-50-5944-01A	TCGA-50-5944-01A-11	6ec4fc54-1b0d-4d29-a393-b75057c76a88	[Not Available]	2011-02-17	NO	11	32.00
TCGA-50-5944-10A	TCGA-50-5944-10A-01	f8089f74-c069-4820-baf7-9b17cd78ef5d	[Not Available]	2011-02-24	NO	01	[Not Available]
TCGA-50-5946-01A	TCGA-50-5946-01A-11	8806cdeb-f238-4d88-b47b-68877f41edf0	[Not Available]	2011-02-17	NO	11	25.00
TCGA-50-5946-02A	TCGA-50-5946-02A-11	69bdd532-b4cb-460b-82a2-676afc51b624	[Not Available]	2011-11-17	NO	11	32.00
TCGA-50-5946-10A	TCGA-50-5946-10A-01	e13862f1-5250-4fe4-ae99-cabd8a2a170f	[Not Available]	2011-02-24	NO	01	[Not Available]
TCGA-50-6591-01A	TCGA-50-6591-01A-11	6fa9cedc-f1b4-43a6-9413-71299262bd5b	[Not Available]	2011-04-13	NO	11	25.00
TCGA-50-6591-11A	TCGA-50-6591-11A-01	f9f4de78-07c4-4dd5-840b-0174b801b7d7	[Not Available]	2011-04-13	NO	01	30.00
TCGA-50-6592-01A	TCGA-50-6592-01A-11	fbd230f6-3b08-4ff3-8860-d306844eac3d	[Not Available]	2011-04-13	NO	11	33.00
TCGA-50-6592-11A	TCGA-50-6592-11A-01	57928871-19a3-4f4e-8cc3-33789a715d31	[Not Available]	2011-04-13	NO	01	36.00
TCGA-50-6593-01A	TCGA-50-6593-01A-11	948ec11d-0d58-4b41-a6f7-5f6fc8c6288a	[Not Available]	2011-04-13	NO	11	37.00
TCGA-50-6593-11A	TCGA-50-6593-11A-01	7ac08cdc-74d3-4aa0-8ad8-2f8459df644a	[Not Available]	2011-04-13	NO	01	32.00
TCGA-50-6594-01A	TCGA-50-6594-01A-11	211f9348-7c7f-437f-82ba-92ee2a5ba86d	[Not Available]	2011-04-13	NO	11	35.00
TCGA-50-6594-11A	TCGA-50-6594-11A-01	75fa2f45-6415-4af7-bf24-936b313ae4ff	[Not Available]	2011-04-13	NO	01	38.00
TCGA-55-6543-01A	TCGA-55-6543-01A-11	c38d88b5-06dd-4b25-8a3c-5fee234051a7	[Not Available]	2011-04-06	NO	11	38.00
TCGA-55-6543-10A	TCGA-55-6543-10A-01	2b9a730a-ddcc-4f3f-ada9-58666ba1b1e6	[Not Available]	2011-04-13	NO	01	[Not Available]
TCGA-67-4679-01B	TCGA-67-4679-01B-01	71c5e2d2-c157-4c66-94e9-0159d39827aa	[Not Available]	2010-07-26	NO	01	77.00
TCGA-67-4679-10A	TCGA-67-4679-10A-01	a9ea1b3c-8954-4d52-aef3-f89c33dfe8e1	[Not Available]	2010-08-09	NO	01	[Not Available]
TCGA-67-6215-01A	TCGA-67-6215-01A-11	10ec7e7e-955e-4877-8597-076df061bdfd	[Not Available]	2011-03-10	NO	11	36.00
TCGA-67-6215-10A	TCGA-67-6215-10A-01	82bdbdac-b3e5-4c3b-b3a2-259c543a4576	[Not Available]	2011-03-24	NO	01	[Not Available]
TCGA-67-6216-01A	TCGA-67-6216-01A-11	5dbb22af-4dba-46b0-8895-f3670021021e	[Not Available]	2011-03-10	NO	11	30.00
TCGA-67-6216-10A	TCGA-67-6216-10A-01	30f8a237-ca48-4607-a428-d42a3fc399e6	[Not Available]	2011-03-24	NO	01	[Not Available]
