bcr_sample_barcode	bcr_portion_barcode	bcr_portion_uuid	LCE	date_of_creation	is_ffpe	portion_number	weight
CDE_ID:2673864			CDE_ID:3251491		CDE_ID:4170557		CDE_ID:2673761
TCGA-18-5592-01A	TCGA-18-5592-01A-01	c3fc69d4-99c2-4e46-8fbc-1f85a04c1b95	[Not Available]	2011-01-20	NO	01	60.00
TCGA-18-5592-11A	TCGA-18-5592-11A-11	5d0fa8b3-3222-43ca-a10b-ab6538b60a0e	[Not Available]	2011-02-15	NO	11	32.00
TCGA-18-5595-01A	TCGA-18-5595-01A-01	3dccb26d-eacf-45ab-a29c-0dba36b15e10	[Not Available]	2010-12-27	NO	01	60.00
TCGA-18-5595-11A	TCGA-18-5595-11A-01	914f1662-1f50-4813-8e30-313e6e04838a	[Not Available]	2010-12-27	NO	01	63.00
TCGA-21-5782-01A	TCGA-21-5782-01A-01	669cac72-f07a-4a2b-9612-eabbb1b320b0	[Not Available]	2011-01-13	NO	01	68.00
TCGA-21-5782-10A	TCGA-21-5782-10A-01	f376f5bc-75f7-4d50-bf0c-c3583bf4f2af	[Not Available]	2011-01-19	NO	01	300.00
TCGA-21-5784-01A	TCGA-21-5784-01A-01	c3cf0578-ed27-4f92-9e03-b41ef759dd94	[Not Available]	2011-01-13	NO	01	61.00
TCGA-21-5784-10A	TCGA-21-5784-10A-01	715605b7-e8cc-4401-a366-17a1d1c6ec46	[Not Available]	2011-01-19	NO	01	300.00
TCGA-21-5786-01A	TCGA-21-5786-01A-01	ec16757d-88fe-40cd-a531-d9db6c8b5273	[Not Available]	2011-01-13	NO	01	63.00
TCGA-21-5786-10A	TCGA-21-5786-10A-01	a267a82c-3974-4117-977e-d8e92429cba1	[Not Available]	2011-01-19	NO	01	300.00
TCGA-21-5787-01A	TCGA-21-5787-01A-01	d35a12ac-e93b-4a99-9e32-8fb7c0586913	[Not Available]	2011-01-13	NO	01	55.00
TCGA-21-5787-10A	TCGA-21-5787-10A-01	d48e4b1d-1087-4b9d-ad1a-086c161f4b57	[Not Available]	2011-01-19	NO	01	300.00
TCGA-22-5471-01A	TCGA-22-5471-01A-01	546db52d-da58-4c5e-8992-38874a497a2d	[Not Available]	2010-12-06	NO	01	62.00
TCGA-22-5471-11A	TCGA-22-5471-11A-01	2c10874c-6082-48a8-86d8-74919fa775f2	[Not Available]	2010-12-07	NO	01	65.00
TCGA-22-5472-01A	TCGA-22-5472-01A-01	903196fe-0b62-4fd0-8679-1d862571ebbc	[Not Available]	2010-12-06	NO	01	62.00
TCGA-22-5472-11A	TCGA-22-5472-11A-11	40fcfcef-eed5-4779-99c5-5bddb4464e99	[Not Available]	2011-02-15	NO	11	32.00
TCGA-22-5473-01A	TCGA-22-5473-01A-01	e3deb205-3f0b-4d2a-aedf-1ad56768582a	[Not Available]	2010-12-06	NO	01	62.00
TCGA-22-5473-11A	TCGA-22-5473-11A-11	829f7148-c929-4514-8ef4-2df5972997e8	[Not Available]	2011-02-15	NO	11	27.00
TCGA-22-5474-01A	TCGA-22-5474-01A-01	8efbae9e-70fe-4290-92a6-357a5140ad48	[Not Available]	2010-12-06	NO	01	67.00
TCGA-22-5474-11A	TCGA-22-5474-11A-01	b1b5edb8-9e3c-403a-9af4-fbcae3de5c69	[Not Available]	2010-12-07	NO	01	62.00
TCGA-22-5477-01A	TCGA-22-5477-01A-01	46153132-1eca-4409-b6f1-d6acef483710	[Not Available]	2010-12-06	NO	01	60.00
TCGA-22-5477-11A	TCGA-22-5477-11A-11	d3434e53-8dd0-4640-a1ec-1bbcbb3157ec	[Not Available]	2011-02-15	NO	11	36.00
TCGA-22-5478-01A	TCGA-22-5478-01A-01	5e9a37bd-8264-4921-8447-2c435aed24bb	[Not Available]	2010-12-06	NO	01	63.00
TCGA-22-5478-11A	TCGA-22-5478-11A-11	081c299a-a21d-4d1c-9f8a-7213cc4cdf8e	[Not Available]	2011-02-15	NO	11	27.00
TCGA-22-5480-01A	TCGA-22-5480-01A-01	1f4cb234-7749-4af7-b39a-498c03693fa2	[Not Available]	2010-12-06	NO	01	60.00
TCGA-22-5480-11A	TCGA-22-5480-11A-01	4eefc7e7-6a56-49ce-9645-ccae364b7ac5	[Not Available]	2010-12-07	NO	01	63.00
TCGA-22-5482-01A	TCGA-22-5482-01A-01	d78c7e0f-6025-4857-802c-eed1ff5fc7a2	[Not Available]	2010-12-06	NO	01	66.00
TCGA-22-5482-11A	TCGA-22-5482-11A-01	3aad78df-b85b-4a43-bfda-43c50c77a5c6	[Not Available]	2010-12-07	NO	01	60.00
TCGA-22-5485-01A	TCGA-22-5485-01A-01	8c1afdff-f9d1-4873-8f8f-bc4303d068e5	[Not Available]	2010-12-06	NO	01	63.00
TCGA-22-5485-11A	TCGA-22-5485-11A-01	e737f68e-1e31-473f-98b8-828f0eb3d805	[Not Available]	2010-12-07	NO	01	63.00
TCGA-22-5489-01A	TCGA-22-5489-01A-01	fffe5b4c-cf2a-42df-84a6-7912c690e2bd	[Not Available]	2010-12-06	NO	01	68.00
TCGA-22-5489-11A	TCGA-22-5489-11A-01	2a4acbef-a077-4dd5-ab4c-ec8ca0bcab18	[Not Available]	2010-12-07	NO	01	55.00
TCGA-22-5491-01A	TCGA-22-5491-01A-01	70a4e207-01e3-44f4-8b7a-bae51ace50f8	[Not Available]	2010-12-06	NO	01	65.00
TCGA-22-5491-11A	TCGA-22-5491-11A-01	040bf48e-e833-492c-b562-0755822ff899	[Not Available]	2010-12-07	NO	01	64.00
TCGA-22-5492-01A	TCGA-22-5492-01A-01	bc7ecd67-dd45-4fc7-90b1-6826631f1e2f	[Not Available]	2010-12-06	NO	01	62.00
TCGA-22-5492-11A	TCGA-22-5492-11A-01	fd2df2f3-d4e5-463e-8b8b-872aea3951d3	[Not Available]	2010-12-07	NO	01	61.00
TCGA-34-5234-01A	TCGA-34-5234-01A-01	d5c4842b-a03e-4eff-9443-7c23d08a9f5d	[Not Available]	2010-09-30	NO	01	136.00
