bcr_sample_barcode	bcr_analyte_barcode	experimental_protocol_type	protocol_file_name	protocol_name
CDE_ID:2673864	CDE_ID:2673835			
TCGA-05-4384-01A	TCGA-05-4384-01A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-05-4384-01A	TCGA-05-4384-01A-01R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-05-4384-01A	TCGA-05-4384-01A-01T	Total RNA	[Not Available]	[Not Available]
TCGA-05-4384-01A	TCGA-05-4384-01A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-05-4384-10A	TCGA-05-4384-10A-01D	Chemical Lysis DNA Extraction	[Not Available]	[Not Available]
TCGA-05-4384-10A	TCGA-05-4384-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-05-4390-01A	TCGA-05-4390-01A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-05-4390-01A	TCGA-05-4390-01A-02D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-05-4390-01A	TCGA-05-4390-01A-02R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-05-4390-01A	TCGA-05-4390-01A-02T	Total RNA	[Not Available]	[Not Available]
TCGA-05-4390-01A	TCGA-05-4390-01A-02W	Repli-G	[Not Available]	[Not Available]
TCGA-05-4390-10A	TCGA-05-4390-10A-01D	Chemical Lysis DNA Extraction	[Not Available]	[Not Available]
TCGA-05-4390-10A	TCGA-05-4390-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-05-4425-01A	TCGA-05-4425-01A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-05-4425-01A	TCGA-05-4425-01A-01R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-05-4425-01A	TCGA-05-4425-01A-01T	Total RNA	[Not Available]	[Not Available]
TCGA-05-4425-01A	TCGA-05-4425-01A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-05-4425-10A	TCGA-05-4425-10A-01D	Chemical Lysis DNA Extraction	[Not Available]	[Not Available]
TCGA-05-4425-10A	TCGA-05-4425-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-38-4631-01A	TCGA-38-4631-01A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-38-4631-01A	TCGA-38-4631-01A-01R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-38-4631-01A	TCGA-38-4631-01A-01T	Total RNA	[Not Available]	[Not Available]
TCGA-38-4631-01A	TCGA-38-4631-01A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-38-4631-11A	TCGA-38-4631-11A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-38-4631-11A	TCGA-38-4631-11A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-38-4632-01A	TCGA-38-4632-01A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-38-4632-01A	TCGA-38-4632-01A-01R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-38-4632-01A	TCGA-38-4632-01A-01T	Total RNA	[Not Available]	[Not Available]
TCGA-38-4632-01A	TCGA-38-4632-01A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-38-4632-11A	TCGA-38-4632-11A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-38-4632-11A	TCGA-38-4632-11A-01R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-38-4632-11A	TCGA-38-4632-11A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-38-6178-01A	TCGA-38-6178-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-38-6178-01A	TCGA-38-6178-01A-11H	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-38-6178-01A	TCGA-38-6178-01A-11R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-38-6178-01A	TCGA-38-6178-01A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-38-6178-10A	TCGA-38-6178-10A-01D	Pre-extracted DNA received by TSS	[Not Available]	[Not Available]
TCGA-38-6178-10A	TCGA-38-6178-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-44-6144-01A	TCGA-44-6144-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-44-6144-01A	TCGA-44-6144-01A-11H	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-44-6144-01A	TCGA-44-6144-01A-11R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-44-6144-01A	TCGA-44-6144-01A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-44-6144-10A	TCGA-44-6144-10A-01D	Chemical Lysis DNA Extraction	[Not Available]	[Not Available]
TCGA-44-6144-10A	TCGA-44-6144-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-44-6144-11A	TCGA-44-6144-11A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-44-6144-11A	TCGA-44-6144-11A-01H	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-44-6144-11A	TCGA-44-6144-11A-01R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-44-6144-11A	TCGA-44-6144-11A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-44-6145-01A	TCGA-44-6145-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-44-6145-01A	TCGA-44-6145-01A-11H	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-44-6145-01A	TCGA-44-6145-01A-11R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-44-6145-01A	TCGA-44-6145-01A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-44-6145-10A	TCGA-44-6145-10A-01D	Chemical Lysis DNA Extraction	[Not Available]	[Not Available]
TCGA-44-6145-10A	TCGA-44-6145-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-44-6145-11A	TCGA-44-6145-11A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-44-6145-11A	TCGA-44-6145-11A-01R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-44-6145-11A	TCGA-44-6145-11A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-44-6146-01A	TCGA-44-6146-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-44-6146-01A	TCGA-44-6146-01A-11H	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-44-6146-01A	TCGA-44-6146-01A-11R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-44-6146-01A	TCGA-44-6146-01A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-44-6146-01A	TCGA-44-6146-01A-21D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-44-6146-01A	TCGA-44-6146-01A-31D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-44-6146-01B	TCGA-44-6146-01B-04R	HighPure miRNA (Allprep DNA) FFPE RNA	[Not Available]	[Not Available]
TCGA-44-6146-01B	TCGA-44-6146-01B-04D	Allprep FFPE DNA	[Not Available]	[Not Available]
TCGA-44-6146-10A	TCGA-44-6146-10A-01D	Chemical Lysis DNA Extraction	[Not Available]	[Not Available]
TCGA-44-6146-10A	TCGA-44-6146-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-44-6146-11A	TCGA-44-6146-11A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-44-6146-11A	TCGA-44-6146-11A-01R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-44-6146-11A	TCGA-44-6146-11A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-44-6146-11A	TCGA-44-6146-11A-21D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-44-6146-11A	TCGA-44-6146-11A-31D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-44-6147-01A	TCGA-44-6147-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-44-6147-01A	TCGA-44-6147-01A-11H	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-44-6147-01A	TCGA-44-6147-01A-11R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-44-6147-01A	TCGA-44-6147-01A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-44-6147-01A	TCGA-44-6147-01A-21D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-44-6147-01A	TCGA-44-6147-01A-31D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-44-6147-01B	TCGA-44-6147-01B-06D	Allprep FFPE DNA	[Not Available]	[Not Available]
TCGA-44-6147-01B	TCGA-44-6147-01B-06R	HighPure miRNA (Allprep DNA) FFPE RNA	[Not Available]	[Not Available]
TCGA-44-6147-10A	TCGA-44-6147-10A-01D	Chemical Lysis DNA Extraction	[Not Available]	[Not Available]
TCGA-44-6147-10A	TCGA-44-6147-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-44-6147-11A	TCGA-44-6147-11A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-44-6147-11A	TCGA-44-6147-11A-01R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-44-6147-11A	TCGA-44-6147-11A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-44-6147-11A	TCGA-44-6147-11A-21D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-44-6147-11A	TCGA-44-6147-11A-51D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-44-6148-01A	TCGA-44-6148-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-44-6148-01A	TCGA-44-6148-01A-11H	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-44-6148-01A	TCGA-44-6148-01A-11R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-44-6148-01A	TCGA-44-6148-01A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-44-6148-10A	TCGA-44-6148-10A-01D	Chemical Lysis DNA Extraction	[Not Available]	[Not Available]
TCGA-44-6148-10A	TCGA-44-6148-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-44-6148-11A	TCGA-44-6148-11A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-44-6148-11A	TCGA-44-6148-11A-01R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-44-6148-11A	TCGA-44-6148-11A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-49-4488-01A	TCGA-49-4488-01A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-49-4488-01A	TCGA-49-4488-01A-01R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-49-4488-01A	TCGA-49-4488-01A-01T	Total RNA	[Not Available]	[Not Available]
TCGA-49-4488-01A	TCGA-49-4488-01A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-49-4488-11A	TCGA-49-4488-11A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-49-4488-11A	TCGA-49-4488-11A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-50-5930-01A	TCGA-50-5930-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-50-5930-01A	TCGA-50-5930-01A-11H	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-50-5930-01A	TCGA-50-5930-01A-11R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-50-5930-01A	TCGA-50-5930-01A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-50-5930-11A	TCGA-50-5930-11A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-50-5930-11A	TCGA-50-5930-11A-01H	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-50-5930-11A	TCGA-50-5930-11A-01R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-50-5930-11A	TCGA-50-5930-11A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-50-5931-01A	TCGA-50-5931-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-50-5931-01A	TCGA-50-5931-01A-11H	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-50-5931-01A	TCGA-50-5931-01A-11R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-50-5931-01A	TCGA-50-5931-01A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-50-5931-11A	TCGA-50-5931-11A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-50-5931-11A	TCGA-50-5931-11A-01R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-50-5931-11A	TCGA-50-5931-11A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-50-5932-01A	TCGA-50-5932-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-50-5932-01A	TCGA-50-5932-01A-11H	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-50-5932-01A	TCGA-50-5932-01A-11R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-50-5932-01A	TCGA-50-5932-01A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-50-5932-11A	TCGA-50-5932-11A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-50-5932-11A	TCGA-50-5932-11A-01H	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-50-5932-11A	TCGA-50-5932-11A-01R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-50-5932-11A	TCGA-50-5932-11A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-50-5933-01A	TCGA-50-5933-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-50-5933-01A	TCGA-50-5933-01A-11H	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-50-5933-01A	TCGA-50-5933-01A-11R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-50-5933-01A	TCGA-50-5933-01A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-50-5933-11A	TCGA-50-5933-11A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
