14	0.229	0.217	0.274	0.333	0.336	0.348	0.294	0.396	0.423	0.442	0.438	0.586	0.497	0.398	0.659	T
15	0.064	0.074	0.133	0.209	0.245	0.245	0.163	0.278	0.342	0.308	0.295	0.498	0.388	0.297	0.655	N
17	0.016	0.009	0.03	0.037	0.037	0.037	0.025	0.03	0.053	0.037	0.039	0.094	0.05	0.046	0.712	N
172	0.015	0.024	0.031	0.067	0.081	0.076	0.051	0.081	0.101	0.091	0.085	0.15	0.113	0.083	0.649	T
177	0.115	0.169	0.264	0.29	0.31	0.322	0.268	0.357	0.421	0.392	0.349	0.572	0.462	0.371	0.668	T
18	0.37	0.401	0.439	0.456	0.5	0.485	0.433	0.498	0.543	0.529	0.539	0.646	0.589	0.517	0.641	T
19	0.504	0.522	0.558	0.592	0.61	0.626	0.572	0.634	0.653	0.651	0.644	0.73	0.683	0.644	0.651	N
22	0.017	0.024	0.043	0.059	0.052	0.06	0.032	0.076	0.102	0.089	0.07	0.162	0.098	0.079	0.663	N
25	0.028	0.023	0.038	0.099	0.115	0.068	0.06	0.085	0.154	0.138	0.106	0.251	0.177	0.087	0.702	N
27	0.092	0.071	0.147	0.238	0.25	0.332	0.158	0.359	0.397	0.418	0.375	0.603	0.478	0.435	0.685	T
31	0.182	0.29	0.535	0.336	0.708	0.746	0.432	0.766	0.774	0.786	0.757	0.847	0.773	0.657	0.647	T
32	0.026	0.021	0.036	0.058	0.062	0.059	0.045	0.067	0.097	0.09	0.079	0.154	0.107	0.081	0.625	N
34	0.03	0.022	0.03	0.078	0.073	0.07	0.043	0.087	0.119	0.089	0.084	0.159	0.132	0.089	0.689	N
36	0.037	0.019	0.042	0.069	0.078	0.077	0.056	0.087	0.107	0.113	0.105	0.242	0.16	0.076	0.605	N
39	0.277	0.274	0.378	0.428	0.438	0.426	0.387	0.419	0.463	0.475	0.439	0.564	0.502	0.45	0.62	T
50	0.016	0.015	0.033	0.048	0.052	0.051	0.033	0.04	0.074	0.074	0.063	0.123	0.07	0.062	0.662	N
55	0.21	0.237	0.354	0.416	0.424	0.428	0.343	0.439	0.514	0.487	0.476	0.643	0.558	0.449	0.642	T
56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
63	0.043	0.04	0.094	0.146	0.172	0.154	0.106	0.178	0.25	0.209	0.2	0.316	0.255	0.18	0.633	T
67	0	0	0	0	0.062	0	0.125	0.062	0.062	0	0.062	0.062	0.062	0	0.5	T
81	0.088	0.075	0.16	0.252	0.274	0.276	0.17	0.273	0.352	0.346	0.337	0.577	0.437	0.3	0.682	T
88	0.011	0.015	0.018	0.032	0.034	0.031	0.019	0.031	0.058	0.055	0.035	0.073	0.046	0.036	0.654	N
89	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T
93	0.624	0.655	0.684	0.73	0.727	0.74	0.682	0.754	0.775	0.762	0.747	0.858	0.78	0.763	0.665	T
94	0.165	0.173	0.199	0.241	0.261	0.265	0.214	0.264	0.327	0.276	0.267	0.45	0.37	0.304	0.671	N
BN190001	0.112	0.108	0.146	0.239	0.259	0.263	0.182	0.27	0.341	0.333	0.296	0.57	0.434	0.29	0.642	T
BN190002	0.032	0.033	0.063	0.078	0.095	0.101	0.062	0.103	0.135	0.112	0.101	0.193	0.149	0.104	0.685	N
BN190003	0.103	0.109	0.405	0.555	0.552	0.568	0.522	0.479	0.623	0.629	0.608	0.754	0.669	0.603	0.65	T
BN190005	0.042	0.022	0.108	0.127	0.13	0.138	0.104	0.141	0.207	0.201	0.18	0.279	0.229	0.176	0.673	N
