14	NA	0.25	0.54	0.282	0.301	0.326	0.569	0.554	0.476	0.418	0.415	0.42	T
15	NA	0.111	0.386	0.109	0.186	0.165	0.508	0.458	0.494	0.332	0.387	0.309	N
17	NA	0.091	0.426	0.086	0.128	0.065	0.191	0.187	0.197	0.119	0.176	0.167	N
172	NA	0.257	0.561	0.265	0.298	0.257	0.387	0.384	0.351	0.305	0.321	0.394	T
177	NA	0.203	0.525	0.203	0.284	0.194	0.625	0.572	0.576	0.485	0.474	0.453	T
18	NA	0.467	0.577	0.437	0.497	0.456	0.711	0.671	0.642	0.614	0.654	0.627	T
19	NA	0.615	0.809	0.579	0.648	0.554	0.795	0.77	0.721	0.667	0.667	0.7	N
22	NA	0.059	0.277	0.047	0.062	0.053	0.199	0.19	0.162	0.076	0.113	0.076	N
25	NA	0.222	0.63	0.264	0.276	0.256	0.395	0.377	0.386	0.307	0.385	0.39	N
27	NA	0.32	0.472	0.223	0.288	0.343	0.606	0.587	0.548	0.548	0.529	0.538	T
31	NA	0.743	0.927	0.679	0.765	0.53	0.902	0.885	0.897	0.866	0.885	0.858	T
32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
34	NA	0.065	0.316	0.016	0.071	0.081	0.118	0.134	0.12	0.071	0.087	0.151	N
36	NA	0.056	0.305	0.056	0.084	0.072	0.262	0.231	0.195	0.123	0.146	0.21	N
39	NA	0.479	0.765	0.162	0.239	0.212	0.656	0.555	0.619	0.579	0.585	0.463	T
50	NA	0.106	0.493	0.114	0.187	0.155	0.299	0.31	0.256	0.186	0.191	0.251	N
55	NA	0.36	0.607	0.298	0.35	0.428	0.719	0.72	0.639	0.584	0.542	0.425	T
56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
63	NA	0.071	0.448	0.087	0.089	0.098	0.319	0.306	0.27	0.162	0.241	0.268	T
67	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T
81	NA	0.118	0.425	0.112	0.139	0.101	0.381	0.39	0.378	0.298	0.328	0.275	T
88	NA	0.039	0.336	0.046	0.09	0.07	0.192	0.181	0.163	0.116	0.151	0.162	N
89	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T
93	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T
94	NA	0.195	0.48	0.217	0.237	0.191	0.469	0.423	0.432	0.365	0.361	0.368	N
BN190001	NA	0.082	0.359	0.039	0.132	0.118	0.429	0.358	0.399	0.28	0.323	0.27	T
BN190002	NA	0.04	0.314	0.029	0.051	0.06	0.199	0.168	0.159	0.096	0.116	0.142	N
BN190003	NA	0.188	0.503	0.261	0.284	0.115	0.5	0.481	0.447	0.488	0.51	0.449	T
BN190005	NA	0.04	0.385	0.068	0.086	0.069	0.205	0.191	0.164	0.136	0.136	0.144	N
BN190006	NA	0.407	0.698	0.343	0.421	0.268	0.512	0.495	0.554	0.483	0.512	0.525	T
BN190007	NA	0.187	0.504	0.134	0.185	0.122	0.324	0.284	0.293	0.252	0.27	0.278	N
BN190008	NA	0.25	0.636	0.152	0.217	0.196	0.391	0.304	0.333	0.283	0.348	0.304	T
BN190010	NA	0.302	0.621	0.296	0.33	0.323	0.499	0.471	0.458	0.351	0.394	0.408	N
BN190011	NA	0.54	0.803	0.612	0.645	0.609	0.731	0.709	0.75	0.667	0.7	0.701	T
BN190012	NA	0.066	0.367	0.051	0.083	0.054	0.192	0.165	0.185	0.135	0.15	0.16	N
BN190014	NA	0.113	0.434	0.152	0.235	0.19	0.463	0.406	0.384	0.25	0.321	0.338	T
BN190015	NA	0.024	0.435	0.047	0.129	0.083	0.294	0.235	0.25	0.153	0.188	0.171	N
BN190017	NA	0.075	0.418	0.056	0.108	0.091	0.328	0.352	0.32	0.198	0.257	0.212	N
BN190018	NA	0.403	0.679	0.38	0.395	0.352	0.48	0.462	0.482	0.465	0.467	0.444	T
BN190019	NA	0.332	0.583	0.252	0.379	0.322	0.555	0.517	0.507	0.469	0.474	0.429	T
BN190023	NA	0.071	0.356	0.044	0.127	0.08	0.233	0.241	0.204	0.138	0.137	0.187	N
BN190024	NA	0.606	0.826	0.688	0.746	0.682	0.798	0.757	0.775	0.712	0.72	0.737	T
BN190026	NA	0.069	0.404	0.081	0.122	0.092	0.199	0.185	0.209	0.136	0.166	0.184	N
BN190028	NA	0.102	0.443	0.068	0.139	0.071	0.233	0.239	0.198	0.175	0.183	0.225	T
BN190029	NA	0.074	0.338	0.086	0.086	0.124	0.142	0.162	0.117	0.096	0.097	0.137	N
BN190030	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
BN190031	NA	0	0.35	0	0.067	0.067	0.3	0.167	0.267	0.069	0.067	0.2	T
BN190032	NA	0.064	0.271	0.034	0.084	0.114	0.397	0.262	0.298	0.231	0.272	0.238	N
BN190033	NA	0.249	0.556	0.196	0.266	0.249	0.445	0.398	0.443	0.378	0.364	0.335	T
BN190034	NA	0.491	0.669	0.4	0.44	0.493	0.616	0.578	0.588	0.536	0.575	0.551	T
BN190036	NA	0.159	0.404	0.123	0.178	0.19	0.356	0.335	0.352	0.252	0.233	0.284	T
