14	0.25	0.214	0.091	0.114	0.136	0.182	0.295	0.295	0.432	0.463	0.409	0.318	0.409	0.326	0.545	T
15	0.182	0.091	0.121	0	0.061	0.031	0.182	0.242	0.333	0.406	0.303	0.333	0.303	0.375	0.697	N
17	0.243	0.083	0.027	0.108	0.135	0.027	0.162	0.378	0.297	0.257	0.162	0.243	0.361	0.194	0.5	N
172	0.653	0.588	0.593	0.587	0.626	0.429	0.675	0.696	0.737	0.708	0.707	0.711	0.711	0.649	0.492	T
177	0.35	0.4	0.317	0.305	0.317	0.267	0.492	0.517	0.525	0.614	0.517	0.517	0.617	0.4	0.517	T
18	0.458	0.435	0.458	0.5	0.5	0.5	0.458	0.542	0.583	0.565	0.583	0.5	0.609	0.375	0.5	T
19	0.75	0.833	0.87	0.875	0.792	0.708	0.75	0.875	0.833	0.833	0.833	0.792	0.783	0.667	0.667	N
22	0.083	0.208	0.042	0.167	0.125	0.042	0.125	0.167	0.292	0.375	0.375	0.167	0.292	0.167	0.542	N
25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T
31	0.462	0.417	0.417	0.462	0.615	0.385	0.615	0.462	0.615	0.75	0.615	0.538	0.615	0.615	0.385	T
32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
34	0.192	0.167	0.077	0.077	0.154	0.115	0.231	0.308	0.308	0.417	0.385	0.346	0.5	0.192	0.577	N
36	0.216	0.108	0	0.081	0.057	0.162	0.243	0.278	0.361	0.286	0.25	0.306	0.333	0.25	0.556	N
39	0.567	0.533	0.533	0.533	0.552	0.433	0.633	0.667	0.667	0.567	0.533	0.567	0.6	0.533	0.567	T
50	0.119	0.117	0.033	0.117	0.1	0.05	0.133	0.31	0.397	0.375	0.259	0.328	0.246	0.138	0.483	N
55	0.486	0.47	0.395	0.453	0.431	0.376	0.569	0.584	0.676	0.732	0.67	0.67	0.703	0.398	0.553	T
56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
63	0.268	0.146	0.05	0.073	0.122	0.122	0.2	0.3	0.5	0.5	0.375	0.35	0.35	0.2	0.525	T
67	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T
81	0.318	0.182	0.136	0.182	0.227	0.273	0.409	0.333	0.619	0.429	0.524	0.381	0.571	0.476	0.571	T
88	0.132	0.077	0.057	0.17	0.132	0.094	0.208	0.34	0.302	0.358	0.283	0.226	0.288	0.058	0.585	N
89	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T
93	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T
94	0.209	0.227	0.164	0.269	0.224	0.194	0.313	0.477	0.424	0.468	0.424	0.409	0.431	0.292	0.485	N
BN190001	0.177	0.148	0.052	0.124	0.124	0.081	0.237	0.353	0.397	0.421	0.387	0.329	0.417	0.295	0.485	T
BN190002	0.08	0.163	0.06	0.02	0.06	0.06	0.2	0.3	0.3	0.312	0.245	0.24	0.286	0.2	0.56	N
BN190003	0.551	0.458	0.449	0.396	0.429	0.449	0.449	0.468	0.489	0.619	0.478	0.447	0.574	0.426	0.553	T
BN190005	0.098	0.125	0	0	0.024	0.049	0.195	0.289	0.289	0.351	0.132	0.184	0.27	0.105	0.553	N
BN190006	0.508	0.452	0.438	0.413	0.464	0.413	0.524	0.624	0.648	0.653	0.6	0.536	0.6	0.496	0.48	T
BN190007	0.278	0.247	0.228	0.241	0.342	0.203	0.26	0.377	0.39	0.486	0.39	0.413	0.416	0.289	0.494	N
BN190008	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T
BN190010	0.228	0.161	0.14	0.158	0.161	0.158	0.214	0.368	0.316	0.418	0.232	0.263	0.333	0.281	0.561	N
BN190011	0.392	0.196	0.275	0.235	0.255	0.28	0.64	0.68	0.72	0.708	0.68	0.72	0.72	0.62	0.48	T
BN190012	0.111	0.074	0.036	0.037	0.214	0.071	0.179	0.25	0.286	0.308	0.214	0.25	0.286	0.143	0.536	N
BN190014	0.286	0.107	0.143	0.071	0.107	0.107	0.296	0.37	0.37	0.481	0.407	0.556	0.444	0.296	0.63	T
BN190015	0.25	0.062	0.062	0.125	0.25	0.312	0.188	0.438	0.5	0.312	0.75	0.75	0.75	0.375	0.625	N
BN190017	0.091	0.129	0.091	0.152	0.094	0.121	0.333	0.394	0.333	0.5	0.394	0.394	0.485	0.364	0.667	N
BN190018	0.378	0.059	0.243	0.111	0.351	0.081	0.378	0.528	0.361	0.471	0.444	0.528	0.556	0.417	0.472	T
BN190019	0.477	0.395	0.302	0.306	0.326	0.395	0.488	0.542	0.571	0.631	0.56	0.602	0.595	0.524	0.548	T
BN190023	0.211	0.184	0.184	0.158	0.158	0.189	0.289	0.342	0.395	0.371	0.395	0.368	0.395	0.184	0.579	N
BN190024	0.884	0.837	0.791	0.86	0.884	0.814	0.857	0.907	0.929	0.929	0.884	0.86	0.907	0.857	0.651	T
BN190026	0.19	0.193	0.107	0.172	0.207	0.158	0.19	0.276	0.31	0.263	0.276	0.281	0.276	0.207	0.491	N
BN190028	0.167	0.138	0	0.1	0.067	0	0.333	0.4	0.3	0.467	0.3	0.3	0.4	0.179	0.567	T
BN190029	0.059	0.118	0	0	0	0.118	0.176	0.412	0.118	0.353	0.412	0.375	0.471	0	0.294	N
BN190030	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
BN190031	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T
BN190032	0.108	0.139	0	0.027	0.027	0.027	0.162	0.343	0.371	0.303	0.371	0.229	0.4	0.2	0.629	N
BN190033	0.527	0.509	0.453	0.481	0.509	0.509	0.618	0.527	0.564	0.648	0.574	0.545	0.673	0.564	0.574	T
BN190034	0.435	0.381	0.388	0.381	0.4	0.341	0.41	0.506	0.554	0.593	0.434	0.458	0.518	0.41	0.578	T
BN190036	0.077	0.154	0.077	0.077	0.192	0.115	0.231	0.423	0.462	0.52	0.462	0.462	0.538	0.269	0.654	T
