14	0.014	0.017	0.007	0.015	0.035	0.042	0.035	0.027	0.02	0.044	0.073	0.035	0.046	0.038	0.054	0.039	0.041	0.083	0.032	0.047	0.047	0.041	0.07	0.038	0.018	0.032	0.006	0.022	0.637	T
15	0.027	0.037	0.022	0.015	0.076	0.084	0.076	0.045	0.058	0.089	0.185	0.096	0.092	0.08	0.092	0.088	0.084	0.167	0.048	0.101	0.108	0.067	0.134	0.069	0.05	0.062	0.03	0.064	0.639	N
17	0.014	0.014	0.012	0.014	0.026	0.017	0.014	0.003	0.012	0.017	0.02	0.02	0.015	0.029	0.009	0.014	0.012	0.023	0.009	0.032	0.017	0.012	0.023	0.023	0.009	0.009	0.003	0.012	0.639	N
172	0.02	0.019	0.017	0.012	0.033	0.043	0.034	0.03	0.03	0.026	0.067	0.046	0.047	0.047	0.044	0.043	0.027	0.055	0.029	0.043	0.04	0.02	0.043	0.028	0.018	0.022	0.015	0.021	0.657	T
177	0.019	0.026	0.011	0.021	0.071	0.08	0.074	0.06	0.061	0.097	0.215	0.087	0.109	0.11	0.087	0.089	0.051	0.156	0.036	0.103	0.086	0.101	0.209	0.099	0.076	0.065	0.048	0.068	0.673	T
18	0.009	0.016	0.006	0.009	0.045	0.045	0.025	0.021	0.027	0.045	0.093	0.04	0.065	0.054	0.066	0.056	0.035	0.079	0.037	0.06	0.054	0.044	0.087	0.038	0.025	0.032	0.013	0.04	0.625	T
19	0.011	0.013	0.013	0.02	0.039	0.045	0.029	0.027	0.033	0.035	0.07	0.039	0.04	0.042	0.032	0.038	0.025	0.059	0.024	0.034	0.026	0.031	0.059	0.039	0.023	0.033	0.008	0.037	0.651	N
22	0.011	0.016	0.012	0.008	0.03	0.036	0.019	0.02	0.022	0.021	0.064	0.027	0.032	0.033	0.034	0.033	0.021	0.055	0.018	0.029	0.031	0.025	0.048	0.034	0.03	0.024	0.015	0.023	0.656	N
25	0.007	0.009	0.008	0.008	0.014	0.018	0.012	0.008	0.009	0.012	0.027	0.016	0.021	0.015	0.021	0.017	0.011	0.03	0.014	0.016	0.018	0.015	0.029	0.018	0.013	0.009	0.009	0.01	0.668	N
27	0.074	0.085	0.074	0.049	0.307	0.317	0.276	0.18	0.18	0.239	0.436	0.326	0.346	0.356	0.327	0.289	0.183	0.44	0.109	0.239	0.258	0.18	0.384	0.31	0.137	0.236	0.085	0.261	0.654	T
31	0.008	0.019	0.025	0.008	0.148	0.153	0.133	0.121	0.143	0.146	0.163	0.155	0.096	0.068	0.163	0.158	0.134	0.157	0.021	0.041	0.054	0.03	0.075	0.033	0.018	0.03	0.014	0.03	0.667	T
32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
34	0.022	0.031	0.007	0.015	0.026	0.03	0.028	0.02	0.013	0.024	0.055	0.028	0.031	0.028	0.024	0.033	0.037	0.053	0.031	0.039	0.026	0.024	0.026	0.024	0.017	0.017	0.015	0.033	0.637	N
36	0.012	0.019	0.01	0.009	0.037	0.029	0.019	0.012	0.026	0.029	0.057	0.037	0.031	0.031	0.019	0.029	0.022	0.04	0.019	0.034	0.032	0.019	0.04	0.025	0.012	0.019	0.009	0.023	0.635	N
39	0.398	0.4	0.403	0.395	0.416	0.425	0.406	0.41	0.414	0.428	0.453	0.442	0.435	0.427	0.434	0.439	0.315	0.438	0.43	0.452	0.444	0.435	0.451	0.447	0.444	0.451	0.433	0.456	0.645	T
50	0.009	0.013	0.009	0.008	0.024	0.026	0.022	0.017	0.016	0.021	0.046	0.029	0.031	0.029	0.032	0.022	0.012	0.038	0.017	0.028	0.028	0.027	0.036	0.024	0.017	0.018	0.014	0.025	0.649	N
55	0.012	0.012	0.009	0.009	0.027	0.035	0.024	0.02	0.021	0.027	0.065	0.038	0.042	0.034	0.03	0.036	0.027	0.057	0.024	0.035	0.035	0.03	0.054	0.025	0.015	0.019	0.012	0.018	0.653	T
56	0.03	0.027	0.026	0.02	0.04	0.03	0.035	0.024	0.028	0.031	0.052	0.03	0.035	0.039	0.044	0.024	0.027	0.04	0.023	0.032	0.034	0.024	0.051	0.03	0.032	0.03	0.019	0.024	0.685	N
63	0.011	0.016	0.011	0.011	0.036	0.034	0.03	0.026	0.028	0.034	0.065	0.034	0.043	0.046	0.035	0.032	0.034	0.054	0.025	0.041	0.046	0.033	0.048	0.034	0.023	0.02	0.017	0.025	0.666	T
67	0.011	0.006	0.005	0.004	0.016	0.014	0.012	0.015	0.01	0.018	0.025	0.018	0.021	0.023	0.02	0.016	0.013	0.03	0.014	0.02	0.017	0.011	0.026	0.015	0.011	0.01	0.008	0.012	0.686	T
81	0.017	0.028	0.017	0.017	0.079	0.09	0.059	0.047	0.042	0.078	0.176	0.093	0.1	0.096	0.087	0.086	0.066	0.162	0.052	0.093	0.089	0.062	0.147	0.078	0.051	0.058	0.028	0.054	0.666	T
88	0.009	0.007	0.004	0.002	0.018	0.006	0.006	0.004	0.007	0.008	0.022	0.014	0.016	0.011	0.011	0.006	0.011	0.024	0.01	0.017	0.013	0.012	0.014	0.008	0.005	0.01	0.007	0.017	0.654	N
89	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T
93	0.01	0.021	0.01	0.004	0.021	0.029	0.014	0.017	0.019	0.017	0.048	0.033	0.023	0.021	0.046	0.027	0.029	0.039	0.008	0.019	0.033	0.027	0.052	0.021	0.015	0.017	0.01	0.031	0.698	T
94	0.01	0.011	0.011	0.008	0.031	0.029	0.016	0.017	0.024	0.034	0.074	0.035	0.037	0.038	0.034	0.036	0.018	0.06	0.017	0.031	0.026	0.02	0.047	0.032	0.016	0.025	0.009	0.023	0.654	N
BN190001	0.023	0.027	0.014	0.017	0.06	0.08	0.052	0.037	0.045	0.083	0.175	0.087	0.094	0.086	0.077	0.08	0.071	0.156	0.045	0.099	0.093	0.063	0.156	0.078	0.053	0.049	0.023	0.06	0.653	T
BN190002	0.011	0.011	0.006	0.01	0.026	0.027	0.023	0.023	0.02	0.032	0.049	0.023	0.028	0.027	0.028	0.019	0.016	0.044	0.023	0.029	0.015	0.019	0.044	0.023	0.021	0.013	0.015	0.025	0.67	N
BN190003	0.008	0.009	0.003	0.011	0.018	0.024	0.014	0.018	0.019	0.026	0.045	0.022	0.024	0.023	0.024	0.029	0.023	0.043	0.014	0.039	0.031	0.016	0.032	0.013	0.009	0.014	0.009	0.011	0.69	T
BN190005	0.003	0.008	0.005	0.013	0.008	0.016	0.011	0.013	0.016	0.019	0.038	0.019	0.019	0.02	0.016	0.017	0.019	0.022	0.014	0.024	0.014	0.006	0.014	0.016	0.011	0.008	0.009	0.006	0.669	N
BN190006	0.011	0.015	0.012	0.013	0.038	0.046	0.032	0.024	0.028	0.043	0.083	0.036	0.036	0.038	0.035	0.036	0.025	0.068	0.022	0.036	0.035	0.027	0.056	0.036	0.025	0.029	0.018	0.032	0.674	T
BN190007	0.008	0.007	0.007	0.004	0.013	0.017	0.01	0.01	0.018	0.013	0.03	0.018	0.01	0.008	0.014	0.012	0.007	0.025	0.014	0.014	0.019	0.016	0.02	0.01	0.009	0.009	0.005	0.018	0.661	N
BN190008	0.032	0.038	0.022	0.035	0.041	0.048	0.051	0.038	0.035	0.061	0.095	0.073	0.089	0.095	0.047	0.073	0.076	0.086	0.07	0.08	0.057	0.06	0.095	0.057	0.057	0.06	0.035	0.054	0.699	T
BN190010	0.02	0.021	0.017	0.021	0.038	0.036	0.03	0.03	0.028	0.035	0.074	0.046	0.052	0.046	0.044	0.047	0.035	0.061	0.036	0.046	0.042	0.039	0.044	0.035	0.029	0.033	0.027	0.032	0.655	N
