14	0.344	0.232	0.344	0.322	0.329	0.301	0.397	0.523	0.533	0.631	0.663	0.755	0.578	0.562	0.436	0.359	0.467	T
15	0.286	0.214	0.339	0.327	0.214	0.226	0.333	0.527	0.482	0.643	0.655	0.695	0.651	0.47	0.399	0.327	0.411	N
17	0.136	0.101	0.219	0.189	0.136	0.107	0.143	0.266	0.296	0.373	0.325	0.533	0.391	0.42	0.296	0.119	0.432	N
172	0.102	0.087	0.095	0.112	0.083	0.089	0.15	0.331	0.462	0.574	0.466	0.594	0.374	0.177	0.095	0.077	0.282	T
177	0.5	0.443	0.535	0.584	0.503	0.47	0.503	0.638	0.622	0.701	0.668	0.788	0.67	0.53	0.416	0.395	0.497	T
18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T
19	0.753	0.734	0.761	0.781	0.754	0.744	0.724	0.8	0.833	0.872	0.864	0.91	0.863	0.817	0.77	0.724	0.796	N
22	0.323	0.262	0.308	0.369	0.385	0.354	0.415	0.508	0.585	0.571	0.75	0.754	0.538	0.523	0.554	0.185	0.415	N
25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
27	0.469	0.369	0.485	0.569	0.438	0.438	0.508	0.531	0.636	0.659	0.731	0.715	0.651	0.546	0.457	0.4	0.515	T
31	0.899	0.908	0.89	0.908	0.89	0.825	0.702	0.925	0.925	0.912	0.943	0.943	0.915	0.917	0.816	0.851	0.851	T
32	0.225	0.099	0.296	0.225	0.169	0.183	0.254	0.352	0.38	0.493	0.549	0.606	0.507	0.31	0.324	0.254	0.211	N
34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
36	0.146	0.1	0.198	0.276	0.278	0.314	0.378	0.397	0.518	0.598	0.655	0.684	0.408	0.293	0.394	0.14	0.264	N
39	0.579	0.553	0.605	0.605	0.593	0.566	0.596	0.693	0.684	0.807	0.796	0.833	0.779	0.763	0.684	0.561	0.566	T
50	0.177	0.135	0.187	0.204	0.126	0.151	0.264	0.314	0.382	0.326	0.375	0.515	0.431	0.265	0.241	0.162	0.283	N
55	0.741	0.709	0.746	0.769	0.743	0.727	0.752	0.81	0.818	0.86	0.877	0.838	0.799	0.635	0.671	0.575	0.658	T
56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
63	0.5	0.364	0.455	0.364	0.409	0.5	0.5	0.571	0.727	0.727	0.727	0.773	0.524	0.636	0.545	0.318	0.591	T
67	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T
81	0.286	0.254	0.317	0.349	0.238	0.222	0.376	0.441	0.564	0.615	0.63	0.73	0.608	0.439	0.367	0.28	0.328	T
88	0.155	0.083	0.144	0.216	0.15	0.188	0.233	0.319	0.314	0.454	0.493	0.622	0.442	0.496	0.336	0.13	0.299	N
89	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T
93	0.875	0.875	0.875	0.917	0.792	0.875	0.792	0.792	1	0.957	0.875	0.958	0.875	0.792	0.875	0.875	0.875	T
94	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
BN190001	0.294	0.232	0.318	0.332	0.279	0.287	0.364	0.488	0.525	0.596	0.651	0.783	0.676	0.573	0.456	0.274	0.363	T
BN190002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
BN190003	0.412	0.415	0.5	0.547	0.522	0.442	0.565	0.596	0.633	0.802	0.747	0.856	0.64	0.526	0.348	0.222	0.519	T
BN190005	0.188	0.101	0.277	0.268	0.208	0.168	0.221	0.289	0.416	0.517	0.597	0.718	0.52	0.436	0.349	0.228	0.51	N
