14	0.038	0.019	0.025	0.051	0.036	0.056	0.053	0.04	0.046	0.056	0.056	0.055	0.032	0.364	T
15	0.027	0.034	0.031	0.069	0.045	0.075	0.045	0.058	0.05	0.061	0.077	0.07	0.034	0.347	N
17	0.029	0.012	0.033	0.093	0.019	0.026	0.031	0.049	0.014	0.04	0.049	0.052	0.009	0.318	N
172	0.025	0.016	0.018	0.027	0.023	0.017	0.018	0.021	0.028	0.024	0.048	0.035	0.01	0.348	T
177	0.299	0.281	0.277	0.312	0.293	0.325	0.294	0.311	0.317	0.316	0.339	0.327	0.274	0.317	T
18	0.472	0.479	0.459	0.497	0.479	0.475	0.479	0.475	0.467	0.472	0.472	0.462	0.436	0.375	T
19	0.704	0.69	0.671	0.693	0.694	0.678	0.685	0.695	0.662	0.673	0.681	0.677	0.61	0.381	N
22	0.033	0.008	0.007	0.041	0.014	0.012	0.015	0.033	0.031	0.035	0.045	0.042	0.012	0.356	N
25	0.514	0.51	0.501	0.525	0.498	0.508	0.507	0.502	0.495	0.497	0.504	0.509	0.466	0.351	N
27	0.292	0.252	0.269	0.313	0.278	0.295	0.266	0.268	0.31	0.304	0.313	0.277	0.236	0.379	T
31	0.871	0.798	0.847	0.876	0.848	0.832	0.824	0.861	0.887	0.88	0.878	0.89	0.836	0.355	T
32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
34	0.06	0.019	0.023	0.05	0.032	0.034	0.056	0.038	0.053	0.047	0.082	0.075	0.013	0.366	N
36	0.027	0.012	0.037	0.063	0.026	0.04	0.025	0.047	0.042	0.04	0.057	0.052	0.016	0.331	N
39	0.577	0.557	0.542	0.563	0.57	0.542	0.545	0.545	0.545	0.535	0.546	0.543	0.523	0.373	T
50	0.088	0.038	0.092	0.113	0.065	0.07	0.045	0.079	0.089	0.078	0.099	0.117	0.065	0.356	N
55	0.035	0.019	0.023	0.042	0.027	0.042	0.033	0.038	0.052	0.067	0.073	0.072	0.028	0.382	T
56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
63	0.093	0.066	0.079	0.117	0.084	0.097	0.085	0.095	0.106	0.098	0.112	0.11	0.066	0.374	T
67	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T
81	0.086	0.071	0.069	0.114	0.085	0.098	0.087	0.087	0.105	0.108	0.133	0.104	0.058	0.379	T
88	0.078	0.038	0.061	0.096	0.067	0.065	0.049	0.071	0.062	0.059	0.091	0.069	0.045	0.355	N
89	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T
93	0.556	0.485	0.555	0.551	0.53	0.506	0.539	0.565	0.585	0.594	0.605	0.584	0.513	0.393	T
94	0.182	0.146	0.159	0.18	0.156	0.15	0.159	0.166	0.186	0.19	0.195	0.19	0.137	0.369	N
BN190001	0.084	0.074	0.082	0.123	0.095	0.106	0.086	0.09	0.128	0.102	0.124	0.112	0.059	0.365	T
BN190002	0.036	0.014	0.017	0.041	0.03	0.019	0.026	0.032	0.029	0.036	0.036	0.051	0.02	0.338	N
BN190003	0.039	0.016	0.015	0.043	0.02	0.041	0.025	0.045	0.026	0.033	0.067	0.043	0.008	0.351	T
BN190005	0.033	0.022	0.036	0.09	0.036	0.045	0.04	0.043	0.045	0.059	0.075	0.071	0.047	0.38	N
BN190006	0.033	0.015	0.024	0.051	0.034	0.045	0.033	0.043	0.045	0.045	0.047	0.053	0.018	0.332	T
BN190007	0.024	0.02	0.025	0.038	0.021	0.032	0.026	0.034	0.034	0.043	0.057	0.063	0.018	0.373	N
BN190008	0.132	0.114	0.129	0.178	0.15	0.117	0.141	0.179	0.121	0.131	0.178	0.159	0.094	0.407	T
BN190010	0.202	0.193	0.176	0.192	0.188	0.189	0.193	0.186	0.188	0.193	0.198	0.196	0.162	0.371	N
BN190011	0.672	0.643	0.635	0.652	0.64	0.659	0.64	0.652	0.65	0.67	0.668	0.645	0.622	0.337	T
