14	0.38	0.405	0.37	0.366	0.228	0.319	0.181	0.185	0.21	0.143	0.16	0.097	0.021	0.017	0.034	T
15	0.277	0.178	0.119	0.079	0.04	0.05	0.03	0.04	0.04	0.01	0.059	0.01	0	0.02	0.01	N
17	0.275	0.345	0.245	0.217	0.029	0.036	0	0.022	0.022	0.022	0.036	0.022	0.007	0.007	0	N
172	0.431	0.154	0.11	0.048	0.017	0.025	0.003	0.006	0.025	0.037	0.014	0.02	0.014	0.017	0.02	T
177	0.374	0.618	0.553	0.356	0.038	0.061	0.038	0.015	0.03	0.008	0.046	0.023	0.023	0.038	0	T
18	0.352	0.803	0.803	0.775	0.197	0.451	0.169	0.197	0.352	0.169	0.171	0.183	0.014	0.014	0.014	T
19	0.374	0.837	0.709	0.739	0.153	0.404	0.207	0.229	0.286	0.113	0.168	0.153	0.039	0.01	0.034	N
22	0.401	0.238	0.184	0.088	0.028	0.052	0.018	0.026	0.026	0.018	0.026	0.018	0.016	0.006	0.02	N
25	0.344	0.379	0.325	0.254	0.032	0.096	0.021	0.014	0.042	0.028	0.039	0.028	0.022	0.003	0.004	N
27	0.454	0.215	0.192	0.223	0.108	0.223	0.147	0.146	0.124	0.116	0.115	0.1	0.038	0.046	0.039	T
31	0.352	0.898	0.883	0.847	0.291	0.561	0.21	0.255	0.342	0.168	0.159	0.163	0.026	0.01	0.015	T
32	0.371	0.4	0.4	0.143	0	0.057	0.057	0.143	0.086	0.029	0.029	0	0	0.057	0	N
34	0.327	0.377	0.332	0.203	0.018	0.042	0.031	0.047	0.034	0.031	0.042	0.034	0.023	0.013	0.013	N
36	0.354	0.211	0.146	0.085	0.014	0.037	0.021	0.035	0.044	0.032	0.021	0.023	0.018	0.002	0.018	N
39	0.327	0.59	0.587	0.571	0.452	0.599	0.385	0.609	0.612	0.596	0.587	0.579	0.292	0.147	0.449	T
50	0.362	0.371	0.262	0.204	0.012	0.056	0.023	0.032	0.041	0.025	0.037	0.022	0.018	0.006	0.009	N
55	0.344	0.62	0.548	0.412	0.043	0.162	0.083	0.075	0.096	0.077	0.082	0.063	0.009	0.01	0.016	T
56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
63	0.364	0.248	0.198	0.139	0.065	0.095	0.061	0.082	0.079	0.076	0.069	0.056	0.014	0.019	0.044	T
67	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T
81	0.276	0.241	0.209	0.19	0.112	0.138	0.086	0.155	0.147	0.112	0.13	0.069	0.009	0.009	0.034	T
88	0.372	0.338	0.238	0.175	0.022	0.063	0.019	0.045	0.03	0.033	0.037	0.015	0.004	0.022	0.004	N
89	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T
93	0.388	0.867	0.806	0.816	0.071	0.485	0.204	0.235	0.196	0.112	0.082	0.071	0.031	0	0.01	T
94	0.297	0.514	0.432	0.378	0.027	0.243	0.081	0.081	0.054	0.081	0.027	0.054	0.027	0	0.054	N
BN190001	0.357	0.095	0.089	0.079	0.038	0.024	0.016	0.018	0.046	0.027	0.018	0.018	0.002	0.01	0.007	T
BN190002	0.395	0.231	0.151	0.087	0.016	0.028	0.014	0.009	0.014	0.016	0.023	0.008	0.012	0.017	0.01	N
BN190003	0.316	0.39	0.225	0.272	0.096	0.226	0.044	0.058	0.066	0.064	0.039	0.021	0.019	0.009	0.011	T
BN190005	0.379	0.417	0.196	0.126	0.029	0.039	0.029	0.039	0.058	0.02	0.019	0.01	0	0.01	0	N
BN190006	0.354	0.218	0.165	0.073	0.01	0.039	0.034	0.015	0.015	0.005	0.01	0.005	0.005	0.005	0.01	T
BN190007	0.408	0.37	0.251	0.193	0.021	0.099	0.026	0.041	0.047	0.016	0.042	0.026	0.005	0.01	0	N
BN190008	0.438	0.312	0.196	0.161	0.116	0.125	0.125	0.116	0.125	0.107	0.098	0.072	0.054	0.071	0.062	T
BN190010	0.359	0.368	0.32	0.294	0.18	0.236	0.161	0.165	0.182	0.143	0.165	0.14	0.061	0.113	0.126	N
BN190011	0.402	0.742	0.72	0.747	0.711	0.747	0.773	0.753	0.762	0.737	0.768	0.686	0.073	0.078	0.43	T
BN190012	0.304	0.268	0.196	0.143	0.036	0.125	0.054	0.071	0.071	0.054	0.054	0.018	0	0	0.018	N
BN190014	0.269	0.526	0.5	0.423	0.156	0.359	0.141	0.179	0.231	0.218	0.244	0.179	0.026	0.026	0	T
BN190015	0.394	0.273	0.303	0.273	0.152	0.121	0.061	0.03	0.091	0.061	0.091	0.061	0	0	0	N
BN190017	0.374	0.099	0.071	0.055	0.008	0.02	0.006	0.014	0.014	0.006	0.01	0.004	0.002	0.01	0.006	N
BN190018	0.367	0.5	0.3	0.3	0	0.017	0.033	0.034	0.017	0.017	0	0.017	0	0.067	0	T
BN190019	0.349	0.145	0.124	0.067	0.011	0.032	0.008	0.019	0.019	0.02	0.014	0.011	0.005	0.013	0.002	T
BN190023	0.355	0.346	0.262	0.156	0.047	0.06	0.06	0.11	0.06	0.07	0.083	0.06	0.033	0.043	0.043	N
BN190024	0.366	0.431	0.297	0.288	0.019	0.037	0.015	0.011	0.011	0.019	0.011	0.015	0.013	0.004	0.011	T
