14	0.631	0.599	0.005	0.01	0.024	0.015	0.021	0.017	0.01	0.014	0.013	0.055	0.051	0.044	0.077	0.067	0.095	0.065	0.039	0.057	0.07	0.086	0.072	0.122	0.067	0.486	T
15	0.661	0.621	0.003	0.024	0.024	0.022	0.027	0.012	0.018	0.014	0.028	0.062	0.069	0.053	0.076	0.073	0.117	0.108	0.04	0.072	0.095	0.106	0.081	0.158	0.08	0.463	N
17	0.601	0.631	0.027	0.064	0.048	0.031	0.061	0.031	0.028	0.025	0.036	0.104	0.088	0.063	0.115	0.065	0.158	0.103	0.057	0.092	0.093	0.1	0.073	0.18	0.082	0.461	N
172	0.629	0.63	0.012	0.011	0.015	0.012	0.013	0.012	0.008	0.007	0.011	0.014	0.019	0.015	0.022	0.017	0.036	0.023	0.013	0.019	0.022	0.026	0.025	0.034	0.018	0.472	T
177	0.62	0.614	0.296	0.304	0.312	0.305	0.311	0.299	0.293	0.283	0.304	0.321	0.318	0.307	0.348	0.312	0.351	0.35	0.308	0.328	0.349	0.332	0.28	0.338	0.268	0.506	T
18	0.602	0.631	0.296	0.342	0.358	0.349	0.329	0.346	0.309	0.3	0.311	0.334	0.353	0.337	0.35	0.32	0.362	0.311	0.276	0.297	0.322	0.315	0.26	0.319	0.261	0.467	T
19	0.63	0.636	0.436	0.465	0.478	0.474	0.47	0.464	0.443	0.434	0.433	0.461	0.464	0.44	0.473	0.428	0.452	0.407	0.353	0.402	0.451	0.44	0.35	0.304	0.248	0.503	N
22	0.624	0.623	0.016	0.024	0.028	0.02	0.017	0.01	0.017	0.013	0.014	0.031	0.038	0.025	0.044	0.038	0.071	0.045	0.024	0.031	0.044	0.05	0.025	0.071	0.032	0.477	N
25	0.635	0.651	0.014	0.022	0.032	0.022	0.033	0.029	0.014	0.014	0.024	0.055	0.045	0.039	0.061	0.057	0.06	0.066	0.039	0.062	0.069	0.09	0.056	0.092	0.045	0.479	N
27	0.629	0.677	0.194	0.188	0.187	0.19	0.204	0.207	0.203	0.207	0.216	0.255	0.238	0.227	0.259	0.244	0.28	0.28	0.228	0.244	0.259	0.296	0.272	0.316	0.278	0.514	T
31	0.634	0.652	0.475	0.607	0.794	0.772	0.744	0.571	0.622	0.601	0.699	0.765	0.725	0.765	0.729	0.646	0.632	0.564	0.553	0.64	0.701	0.69	0.476	0.373	0.215	0.474	T
32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
34	0.602	0.625	0.019	0.026	0.033	0.03	0.029	0.031	0.017	0.021	0.028	0.069	0.06	0.037	0.103	0.078	0.116	0.12	0.043	0.082	0.084	0.077	0.076	0.154	0.068	0.477	N
36	0.645	0.612	0.025	0.044	0.041	0.029	0.048	0.03	0.025	0.022	0.035	0.085	0.067	0.042	0.105	0.09	0.14	0.115	0.064	0.085	0.094	0.107	0.071	0.174	0.071	0.464	N
