14	0.057	0.013	0.013	0.009	0.013	0.048	0.047	0.055	0.06	0.059	0.043	0.042	0.016	0.015	0.041	0.02	0.011	0.028	0.63	T
15	0.049	0.006	0.012	0.018	0.008	0.034	0.053	0.058	0.042	0.052	0.042	0.042	0.028	0.026	0.043	0.031	0.023	0.034	0.643	N
17	0.054	0.003	0.015	0.005	0.018	0.05	0.065	0.073	0.06	0.076	0.047	0.052	0.016	0.024	0.036	0.015	0.01	0.019	0.614	N
172	0.052	0.008	0.008	0.006	0.006	0.013	0.012	0.012	0.018	0.019	0.011	0.013	0.015	0.011	0.013	0.011	0.004	0.012	0.638	T
177	0.046	0.012	0.042	0.03	0.019	0.314	0.318	0.34	0.327	0.328	0.245	0.297	0.071	0.099	0.202	0.167	0.072	0.103	0.635	T
18	0.076	0.031	0.033	0.034	0.039	0.25	0.274	0.289	0.29	0.297	0.244	0.272	0.217	0.212	0.254	0.152	0.164	0.189	0.635	T
19	0.068	0.026	0.031	0.027	0.027	0.177	0.227	0.267	0.262	0.275	0.181	0.232	0.103	0.089	0.122	0.078	0.074	0.097	0.66	N
22	0.048	0.011	0.01	0.009	0.004	0.025	0.027	0.032	0.034	0.03	0.028	0.032	0.018	0.015	0.027	0.014	0.012	0.023	0.626	N
25	0.046	0.01	0.008	0.009	0.012	0.148	0.155	0.156	0.159	0.169	0.15	0.165	0.155	0.148	0.163	0.146	0.116	0.161	0.632	N
27	0.183	0.157	0.139	0.004	0.048	0.161	0.153	0.179	0.17	0.17	0.165	0.165	0.157	0.139	0.17	0.166	0.122	0.162	0.63	T
31	0.137	0.025	0.068	0.057	0.054	0.641	0.74	0.785	0.784	0.8	0.581	0.767	0.657	0.674	0.657	0.499	0.25	0.501	0.642	T
32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
34	0.06	0.019	0.011	0.019	0.011	0.039	0.069	0.08	0.058	0.072	0.039	0.05	0.039	0.028	0.05	0.031	0.022	0.033	0.608	N
36	0.058	0.006	0.01	0.01	0.005	0.046	0.063	0.068	0.058	0.073	0.047	0.047	0.032	0.024	0.036	0.027	0.017	0.019	0.623	N
39	0.36	0.331	0.338	0.335	0.134	0.338	0.353	0.346	0.335	0.34	0.337	0.344	0.352	0.348	0.37	0.351	0.352	0.346	0.622	T
50	0.056	0.007	0.013	0.01	0.006	0.061	0.058	0.093	0.037	0.051	0.056	0.045	0.015	0.011	0.025	0.018	0.012	0.013	0.609	N
55	0.052	0.027	0.07	0.038	0.014	0.319	0.334	0.292	0.337	0.346	0.1	0.205	0.162	0.063	0.189	0.136	0.059	0.168	0.63	T
56	0	0	0.067	0	0	0	0	0	0	0.067	0.067	0	0	0	0	0	0	0	0.733	N
63	0.106	0.058	0.078	0.069	0.021	0.111	0.113	0.129	0.118	0.123	0.116	0.123	0.101	0.094	0.114	0.09	0.085	0.088	0.625	T
67	0.029	0.008	0.005	0.009	0.004	0.057	0.062	0.08	0.065	0.075	0.055	0.059	0.024	0.023	0.02	0.016	0.011	0.018	0.628	T
81	0.073	0.028	0.028	0.034	0.023	0.058	0.065	0.07	0.059	0.074	0.063	0.069	0.052	0.053	0.062	0.056	0.045	0.049	0.628	T
88	0.052	0.011	0.007	0.008	0.003	0.025	0.045	0.052	0.044	0.05	0.032	0.046	0.016	0.008	0.022	0.01	0.007	0.009	0.622	N
89	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T
