14	0.479	0.186	0.223	0.179	0.174	0.163	0.149	0.162	0.163	0.109	0.152	0.076	0.017	0.042	0.034	0.026	0.035	0.028	0.033	0.034	T
15	0.476	0.258	0.319	0.268	0.207	0.24	0.205	0.2	0.244	0.195	0.236	0.119	0.043	0.065	0.039	0.045	0.062	0.057	0.051	0.073	N
17	0.495	0.108	0.169	0.159	0.092	0.092	0.074	0.086	0.091	0.1	0.111	0.009	0.02	0.051	0.016	0.035	0.031	0.055	0.025	0.025	N
172	0.496	0.091	0.123	0.126	0.109	0.094	0.101	0.103	0.092	0.085	0.102	0.025	0.019	0.034	0.021	0.025	0.034	0.052	0.029	0.032	T
177	0.478	0.377	0.402	0.383	0.37	0.409	0.339	0.362	0.296	0.182	0.183	0.068	0.038	0.038	0.027	0.03	0.037	0.025	0.031	0.049	T
18	0.485	0.348	0.439	0.326	0.235	0.273	0.237	0.229	0.242	0.235	0.174	0.061	0.031	0.023	0.008	0.008	0.008	0.015	0.023	0.038	T
19	0.509	0.33	0.45	0.383	0.287	0.32	0.281	0.305	0.298	0.234	0.21	0.046	0.012	0.029	0.011	0.024	0.026	0.026	0.011	0.019	N
22	0.489	0.109	0.19	0.187	0.097	0.106	0.093	0.142	0.152	0.125	0.159	0.042	0.028	0.071	0.035	0.028	0.059	0.08	0.045	0.033	N
25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
27	0.466	0.528	0.525	0.505	0.431	0.467	0.409	0.456	0.453	0.457	0.366	0.148	0.033	0.058	0.035	0.042	0.052	0.066	0.039	0.066	T
31	0.525	0.688	0.773	0.761	0.532	0.575	0.634	0.651	0.584	0.587	0.403	0.052	0.026	0.07	0.017	0.019	0.014	0.024	0.015	0.013	T
32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
34	0.467	0.133	0.067	0.2	0	0	0.071	0.067	0	0	0.067	0	0.067	0	0	0	0	0	0	0	N
36	0.478	0.115	0.169	0.144	0.091	0.146	0.092	0.11	0.106	0.1	0.097	0.022	0.016	0.026	0.014	0.02	0.023	0.038	0.014	0.034	N
39	0.495	0.512	0.533	0.552	0.529	0.512	0.526	0.538	0.538	0.516	0.443	0.322	0.164	0.185	0.044	0.024	0.049	0.054	0.034	0.044	T
50	0.492	0.181	0.229	0.192	0.124	0.142	0.14	0.138	0.116	0.1	0.114	0.022	0.015	0.04	0.014	0.027	0.018	0.048	0.025	0.021	N
55	0.503	0.16	0.177	0.169	0.135	0.136	0.123	0.13	0.137	0.1	0.115	0.049	0.014	0.033	0.021	0.023	0.036	0.033	0.034	0.049	T
56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
63	0.49	0.241	0.267	0.221	0.15	0.15	0.126	0.164	0.167	0.113	0.126	0.02	0.034	0.068	0.034	0.034	0.034	0.068	0.031	0.034	T
67	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T
81	0.498	0.227	0.302	0.304	0.247	0.275	0.225	0.24	0.253	0.191	0.205	0.086	0.039	0.062	0.042	0.038	0.06	0.057	0.044	0.07	T
88	0.479	0.093	0.142	0.141	0.097	0.094	0.087	0.105	0.094	0.082	0.104	0.027	0.016	0.039	0.01	0.016	0.018	0.047	0.013	0.019	N
89	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T
93	0.481	0.512	0.531	0.54	0.455	0.415	0.469	0.448	0.425	0.431	0.366	0.08	0.028	0.033	0.019	0.043	0.023	0.028	0.014	0.019	T
94	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
BN190001	0.509	0.252	0.289	0.304	0.239	0.263	0.21	0.204	0.226	0.192	0.178	0.061	0.032	0.045	0.022	0.025	0.04	0.04	0.025	0.045	T
BN190002	0.528	0.142	0.234	0.205	0.094	0.164	0.164	0.141	0.111	0.135	0.197	0.062	0.031	0.031	0	0.039	0.039	0.055	0.008	0.031	N
BN190003	0.484	0.136	0.158	0.148	0.137	0.163	0.12	0.122	0.129	0.108	0.134	0.045	0.018	0.024	0.013	0.015	0.023	0.023	0.015	0.03	T
BN190005	0.507	0.143	0.187	0.179	0.157	0.155	0.113	0.125	0.142	0.125	0.15	0.026	0.03	0.066	0.019	0.012	0.039	0.072	0.033	0.04	N
BN190006	0.49	0.157	0.2	0.187	0.14	0.162	0.138	0.152	0.161	0.129	0.135	0.045	0.019	0.037	0.025	0.023	0.031	0.041	0.027	0.035	T
BN190007	0.509	0.116	0.166	0.169	0.105	0.109	0.095	0.133	0.127	0.116	0.121	0.021	0.022	0.051	0.017	0.032	0.027	0.056	0.015	0.022	N
BN190008	0.464	0.282	0.315	0.279	0.255	0.227	0.236	0.218	0.245	0.21	0.241	0.091	0.018	0.045	0.027	0.036	0.032	0.064	0.059	0.059	T
BN190010	0.502	0.269	0.309	0.289	0.225	0.246	0.23	0.251	0.227	0.216	0.187	0.054	0.033	0.043	0.035	0.027	0.044	0.041	0.043	0.047	N
BN190011	0.527	0.699	0.698	0.697	0.563	0.628	0.633	0.639	0.598	0.629	0.53	0.09	0.027	0.078	0.012	0.03	0.018	0.027	0.015	0.012	T
BN190012	0.478	0.09	0.179	0.164	0.152	0.121	0.134	0.164	0.188	0.09	0.104	0	0	0.015	0	0.045	0.03	0.03	0.015	0.015	N
BN190014	0.467	0.311	0.377	0.339	0.24	0.274	0.234	0.308	0.303	0.238	0.223	0.065	0.02	0.077	0.041	0.031	0.047	0.063	0.029	0.054	T
BN190015	0.502	0.128	0.183	0.186	0.094	0.139	0.135	0.145	0.149	0.129	0.172	0.062	0.031	0.076	0.038	0.045	0.024	0.069	0.038	0.031	N
BN190017	0.507	0.297	0.315	0.288	0.219	0.275	0.237	0.265	0.261	0.205	0.192	0.095	0.03	0.038	0.028	0.03	0.035	0.035	0.02	0.055	N
BN190018	0.507	0.124	0.181	0.143	0.083	0.084	0.09	0.103	0.11	0.074	0.099	0.035	0.023	0.014	0.019	0.014	0.025	0.02	0.011	0.029	T
BN190019	0.484	0.48	0.535	0.523	0.349	0.449	0.424	0.442	0.404	0.361	0.272	0.103	0.026	0.067	0.033	0.038	0.055	0.045	0.034	0.045	T
BN190023	0.364	0.182	0.273	0.182	0.091	0.091	0.182	0.273	0.182	0.182	0.182	0	0	0.091	0	0	0	0.091	0	0	N
BN190024	0.496	0.7	0.682	0.662	0.658	0.667	0.638	0.659	0.663	0.628	0.532	0.111	0.1	0.178	0.053	0.051	0.072	0.09	0.047	0.033	T
BN190026	0.47	0.224	0.222	0.186	0.141	0.144	0.124	0.122	0.148	0.136	0.142	0.034	0.019	0.032	0.016	0.024	0.016	0.024	0.009	0.02	N
BN190028	0.483	0.194	0.291	0.289	0.191	0.186	0.202	0.219	0.228	0.209	0.203	0.048	0.055	0.135	0.062	0.076	0.069	0.142	0.046	0.055	T
BN190029	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
BN190030	0.385	0	0.077	0.154	0	0.077	0.077	0	0.083	0	0	0.154	0	0	0	0.077	0	0.077	0	0	N
BN190031	0.5	0.333	0.636	0.333	0.3	0.333	0.333	0.167	0.182	0.417	0.167	0.167	0	0	0.083	0	0	0	0	0	T
BN190032	0.475	0.198	0.251	0.258	0.205	0.264	0.183	0.189	0.208	0.155	0.184	0.061	0.02	0.033	0.026	0.016	0.021	0.03	0.034	0.047	N
BN190033	0.446	0.277	0.256	0.195	0.163	0.205	0.169	0.11	0.169	0.195	0.169	0.048	0.06	0.012	0	0.048	0.06	0.048	0	0.036	T
BN190034	0.333	0.314	0.333	0.353	0.235	0.255	0.286	0.333	0.157	0.235	0.157	0.059	0.039	0.078	0.039	0	0.02	0.02	0.078	0.039	T
BN190036	0.5	0.226	0.355	0.311	0.226	0.306	0.21	0.21	0.246	0.21	0.161	0.032	0.032	0.032	0	0	0.065	0.081	0.032	0.049	T
BN190037	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
