14	0.253	NA	0.353	0.331	0.497	0.5	0.344	0.377	0.227	0.429	0.305	0.37	0.275	T
15	0.091	NA	0.232	0.243	0.395	0.356	0.179	0.307	0.091	0.324	0.115	0.236	0.084	N
17	0.113	NA	0.438	0.45	0.613	0.738	0.275	0.405	0.15	0.525	0.312	0.512	0.2	N
172	0.072	NA	0.226	0.252	0.288	0.291	0.22	0.26	0.103	0.448	0.224	0.422	0.233	T
177	0.182	NA	0.329	0.325	0.532	0.532	0.338	0.494	0.169	0.429	0.208	0.403	0.104	T
18	0.439	NA	0.51	0.547	0.639	0.671	0.514	0.561	0.419	0.646	0.493	0.527	0.453	T
19	0.621	NA	0.73	0.699	0.764	0.765	0.714	0.733	0.449	0.733	0.689	0.724	0.658	N
22	0.09	NA	0.18	0.13	0.42	0.313	0.19	0.172	0.071	0.333	0.121	0.23	0.06	N
25	0.189	NA	0.324	0.35	0.412	0.478	0.291	0.354	0.254	0.388	0.234	0.345	0.218	N
27	0.097	NA	0.29	0.323	0.371	0.323	0.23	0.323	0.081	0.377	0.049	0.306	0.065	T
31	0.207	NA	0.506	0.475	0.592	0.64	0.413	0.575	0.212	0.793	0.397	0.816	0.438	T
32	0.081	NA	0.232	0.202	0.602	0.49	0.162	0.204	0.061	0.459	0.182	0.394	0.111	N
34	0.167	NA	0.267	0.267	0.6	0.567	0.233	0.31	0.033	0.5	0.241	0.333	0.067	N
36	0.047	NA	0.146	0.187	0.415	0.363	0.129	0.175	0.053	0.304	0.088	0.17	0.053	N
39	0.203	NA	0.333	0.362	0.362	0.391	0.333	0.377	0.174	0.478	0.203	0.333	0.304	T
50	0.056	NA	0.168	0.185	0.446	0.403	0.145	0.234	0.072	0.428	0.122	0.276	0.066	N
55	0.145	0	0.374	0.339	0.48	0.448	0.204	0.331	0.131	0.559	0.249	0.476	0.213	T
56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
63	0.093	NA	0.219	0.208	0.392	0.331	0.18	0.207	0.106	0.344	0.119	0.212	0.166	T
67	0.133	NA	0.258	0.233	0.592	0.504	0.183	0.294	0.142	0.412	0.15	0.192	0.05	T
81	0.122	NA	0.251	0.246	0.425	0.367	0.186	0.281	0.096	0.447	0.155	0.324	0.112	T
88	0.023	NA	0.188	0.248	0.419	0.406	0.125	0.258	0.102	0.411	0.163	0.273	0.078	N
89	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T
93	0.744	NA	0.811	0.789	0.833	0.822	0.789	0.83	0.678	0.822	0.744	0.844	0.733	T
94	0.248	NA	0.396	0.376	0.574	0.515	0.257	0.446	0.26	0.57	0.307	0.426	0.248	N
BN190001	0.085	NA	0.211	0.207	0.306	0.229	0.12	0.188	0.065	0.321	0.053	0.241	0.058	T
BN190002	0.05	NA	0.195	0.134	0.456	0.421	0.19	0.199	0.113	0.377	0.101	0.208	0.069	N
BN190003	0.245	NA	0.536	0.514	0.62	0.634	0.421	0.561	0.277	0.592	0.408	0.598	0.31	T
BN190005	0.167	NA	0.333	0.259	0.556	0.566	0.296	0.377	0.259	0.463	0.222	0.296	0.204	N
BN190006	0.146	NA	0.348	0.369	0.482	0.457	0.286	0.323	0.151	0.523	0.266	0.452	0.196	T
