14	0.251	0.216	0.259	0.26	0.231	0.047	0.024	0.083	NA	T
15	0.13	0.088	0.174	0.149	0.136	0.016	0.013	0.024	NA	N
17	0.193	0.144	0.178	0.168	0.169	0.015	0	0.025	NA	N
172	0.032	0.011	0.037	0.035	0.029	0.006	0.014	0.02	NA	T
177	0.512	0.379	0.576	0.496	0.456	0.064	0.1	0.032	NA	T
18	0.426	0.363	0.457	0.427	0.38	0.167	0.107	0.233	NA	T
19	0.685	0.6	0.699	0.663	0.644	0.258	0.208	0.394	NA	N
22	0.245	0.154	0.237	0.24	0.201	0.02	NA	0	NA	N
25	0.176	0.17	0.178	0.177	0.159	0.022	0.016	0.034	NA	N
27	0.297	0.27	0.362	0.335	0.292	0.016	0.011	0.016	NA	T
31	0.941	0.868	0.931	0.921	0.892	0.273	0.157	0.102	0	T
32	0.296	0.236	0.326	0.285	0.236	0.041	0.015	0.037	NA	N
34	0.191	0.236	0.258	0.247	0.236	0.045	0	0.034	NA	N
36	0.151	0.134	0.187	0.169	0.147	0.015	0.011	0.015	NA	N
39	0.466	0.433	0.48	0.438	0.407	0.242	0.157	0.264	NA	T
50	0.195	0.149	0.201	0.186	0.179	0.027	0.011	0.021	NA	N
55	0.137	0.081	0.159	0.142	0.13	0.022	0.015	0.031	0	T
56	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
63	0.3	0.202	0.325	0.282	0.243	0.05	0.011	0.039	NA	T
67	0.271	0.235	0.283	0.259	0.247	0.049	0.016	0.04	NA	T
81	0.277	0.136	0.318	0.249	0.249	0.036	0.032	0.047	NA	T
88	0.175	0.135	0.167	0.163	0.159	0.004	0.022	0.02	NA	N
89	NA	NA	NA	NA	NA	NA	NA	NA	NA	T
93	0.571	0.524	0.287	0.599	0.563	0.139	0.111	0.222	NA	T
94	0.355	0.272	0.213	0.391	0.361	0.095	0.083	0.13	NA	N
BN190001	0.202	0.11	0.246	0.205	0.16	0.009	0.015	0.019	NA	T
BN190002	0.087	0.067	0.105	0.084	0.084	0.012	0.009	0.014	NA	N
BN190003	0.651	0.557	0.673	0.647	0.631	0.146	0.084	0.374	NA	T
BN190005	0.268	0.261	0.292	0.287	0.232	0.029	0.014	0.029	NA	N
BN190006	0.525	0.448	0.552	0.541	0.482	0.23	0.065	0.29	NA	T
BN190007	0.287	0.269	0.313	0.287	0.281	0.099	0.013	0.127	NA	N
BN190008	0.27	0.235	0.296	0.27	0.252	0.175	0.104	0.123	NA	T
BN190010	0.423	0.39	0.442	0.419	0.403	0.27	0.175	0.22	0	N
BN190011	0.512	0.437	0.563	0.506	0.506	0.221	0.149	0.103	NA	T
BN190012	0.159	0.128	0.154	0.153	0.135	0.024	0.017	0.018	NA	N
BN190014	0.323	0.282	0.371	0.343	0.302	0.111	0.073	0.07	NA	T
BN190015	0.185	0.136	0.204	0.191	0.16	0.043	0.025	0.019	NA	N
BN190017	0.199	0.144	0.303	0.265	0.174	0.026	0.042	0.03	NA	N
BN190018	0.417	0.349	0.406	0.411	0.34	0.084	0.01	0.047	NA	T
BN190019	0.431	0.325	0.512	0.463	0.398	0.065	0	0.148	NA	T
BN190023	0.24	0.204	0.251	0.234	0.193	0.068	0.023	0.038	NA	N
BN190024	0.06	0.044	0.108	0.073	0.054	0.013	0.007	0	NA	T
BN190026	0.078	0.046	0.086	0.067	0.072	0.011	0.015	0.011	NA	N
BN190028	0.372	0.311	0.365	0.356	0.321	0.054	NA	0.034	NA	T
BN190029	0.336	0.319	0.33	0.31	0.296	0.026	NA	0.034	NA	N
BN190030	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
BN190031	0.24	0.24	0.28	0.24	0.24	0.04	0	0	NA	T
BN190032	0.15	0.102	0.173	0.157	0.157	0	0	0.032	NA	N
BN190033	0.391	0.253	0.393	0.355	0.339	0.036	0.005	0.079	NA	T
BN190034	0.395	0.326	0.395	0.372	0.349	0.163	0.116	0.047	NA	T
BN190036	0.242	0.204	0.242	0.237	0.189	0.05	0.054	0.038	NA	T
BN190037	0.195	0.177	0.191	0.176	0.178	0.016	0.006	0.016	NA	N
BN190038	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
BN190039	0.551	0.536	0.552	0.551	0.535	0.335	0.355	0.406	NA	T
BN190040	0.269	0.235	0.284	0.278	0.256	0.11	0.094	0.131	0	N
BN190041	0.29	0.174	0.321	0.293	0.228	0.026	0.01	0.029	NA	T
BN190042	0.185	0.157	0.204	0.19	0.166	0.009	0.008	0.024	NA	N
BN190044	0.902	0.873	0.902	0.902	0.895	0.76	NA	0.797	NA	T
BN190046	0.554	0.458	0.576	0.571	0.506	0.237	0.109	0.339	NA	T
BN190047	0.434	0.344	0.436	0.421	0.391	0.043	0.015	0.02	NA	N
