[Header],CEP,,,,,,,,,,
Investigator Name,Jingde Zhu,,,,,,,,,,
Project Name,Cancer Epigenome Roadmap,,,,,,,,,,
Experiment Name,Shicheng,,,,,,,,,,
Date,6/7/2016,,,,,,,,,,
,,,,,,,,,,,
[Data],,,,,,,,,,,
Sample_Name,Sample_Plate,Sample_Group,Pool_ID,Project,Sample_Well,Array,Slide,Basename,Sentrix_ID,Sentrix_Position,filenames
ESCC_1,3999423009,T,3999423009,PrecisonMedicine,R01C02,R01C02,3999423009,3999423009_R01C02,3999423009,R01C02,3999423009_R01C02
ESCC_10,200400320075,T,200400320075,PrecisonMedicine,R05C02,R05C02,200400320075,200400320075_R05C02,200400320075,R05C02,200400320075_R05C02
ESCC_11,200400320075,T,200400320075,PrecisonMedicine,R06C02,R06C02,200400320075,200400320075_R06C02,200400320075,R06C02,200400320075_R06C02
ESCC_12,200397870097,C,200397870097,PrecisonMedicine,R04C01,R04C01,200397870097,200397870097_R04C01,200397870097,R04C01,200397870097_R04C01
ESCC_13,200397870097,C,200397870097,PrecisonMedicine,R04C011,R04C011,200397870097,200397870097_R04C011,200397870097,R04C011,200397870097_R04C011
ESCC_2,3999423009,T,3999423009,PrecisonMedicine,R02C02,R02C02,3999423009,3999423009_R02C02,3999423009,R02C02,3999423009_R02C02
ESCC_3,3999423009,T,3999423009,PrecisonMedicine,R03C02,R03C02,3999423009,3999423009_R03C02,3999423009,R03C02,3999423009_R03C02
ESCC_4,3999423009,T,3999423009,PrecisonMedicine,R04C02,R04C02,3999423009,3999423009_R04C02,3999423009,R04C02,3999423009_R04C02
ESCC_5,3999423009,T,3999423009,PrecisonMedicine,R05C02,R05C02,3999423009,3999423009_R05C02,3999423009,R05C02,3999423009_R05C02
ESCC_6,3999423009,T,3999423009,PrecisonMedicine,R06C02,R06C02,3999423009,3999423009_R06C02,3999423009,R06C02,3999423009_R06C02
ESCC_7,200400320075,T,200400320075,PrecisonMedicine,R03C02,R03C02,200400320075,200400320075_R03C02,200400320075,R03C02,200400320075_R03C02
ESCC_9,200400320075,T,200400320075,PrecisonMedicine,R04C02,R04C02,200400320075,200400320075_R04C02,200400320075,R04C02,200400320075_R04C02
