	CCP1	CCP2	CCP3	CCP4	CCP5	CCP6	CCP7	CCP8	CCP9	CCP10	CCP11	CCP12	CCP13	CCP14	CCP15	CCP16	CCP17	CCP18	CCP19	CCP20	CCP21	CCP22	CCP23	CCP24	CCP25	CCP26	CCP27	CCP28	CCP29	CCP30
Brain	12	19	15	20	14	13	17	13	21	20	11	22	19	11	12	24	15	13	20	15	22	23	16	15	16	14	10	17	22	24
Colon	28	44	52	32	36	29	59	35	45	46	55	50	24	42	20	66	41	30	36	34	39	45	59	27	39	47	32	36	45	42
Intestine	18	10	18	15	18	20	19	19	20	22	19	26	14	22	22	22	25	11	13	18	19	20	16	12	13	14	19	13	23	25
Kidney	11	21	19	27	36	22	21	18	14	16	17	26	18	14	10	15	23	17	22	18	19	17	16	12	11	15	16	16	19	26
Liver	42	11	22	24	28	19	22	14	12	15	22	12	20	22	16	14	18	12	22	22	24	21	17	14	23	22	24	18	20	16
Lung	13	10	12	15	20	13	18	10	18	24	12	16	17	11	12	22	10	14	23	15	10	20	15	18	19	14	36	18	20	26
Pancreas	17	13	17	17	18	18	20	12	14	14	16	19	16	16	18	12	10	15	24	19	16	15	12	19	17	15	22	13	21	19
Spleen	22	18	20	17	13	18	14	14	24	18	19	17	13	12	19	18	20	14	14	18	19	22	14	15	22	21	20	15	20	17
stomach	19	18	19	12	21	18	16	13	11	13	12	18	25	25	15	24	12	14	14	20	13	27	20	19	26	21	18	19	12	13
WBC	10	21	16	11	21	19	14	15	16	20	20	17	46	11	34	13	15	15	10	47	11	13	14	36	17	16	15	22	17	12
CT	25	26	22	22	25	23	21	22	17	21	21	25	18	18	15	21	21	24	20	17	21	23	21	11	21	26	18	18	24	19
