	CCP1	CCP2	CCP3	CCP4	CCP5	CCP6	CCP7	CCP8	CCP9	CCP10	CCP11	CCP12	CCP13	CCP14	CCP15	CCP16	CCP17	CCP18	CCP19	CCP20	CCP21	CCP22	CCP23	CCP24	CCP25	CCP26	CCP27	CCP28	CCP29	CCP30
Brain	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Colon	Inf	-0.677983258461059	-0.958433284669923	0.580575563843364	-0.17683120114385	Inf	-1.13832565774366	-0.0676120740157046	-0.719838818103447	-0.759271975599567	-1.04079541716357	-0.897965032926547	Inf	-0.585449283801163	Inf	-1.28422936218967	-0.533721508812381	Inf	-0.17683120114385	0.0703266271942384	-0.415381359331725	-0.719838818103447	-1.13832565774366	Inf	-0.415381359331725	-0.796578203951821	0.580575563843364	-0.17683120114385	-0.719838818103447	-0.585449283801163
Intestine	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Kidney	Inf	Inf	Inf	Inf	-0.400971269709946	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Liver	-0.332194446294278	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Lung	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	-0.128466332889915	Inf	Inf	Inf
Pancreas	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Spleen	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
stomach	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
WBC	-0.243419184018514	Inf	0.314628289019765	-0.182702215313845	Inf	Inf	0.0559119033645642	0.168481411713482	0.314628289019765	Inf	Inf	0.526395163953311	Inf	-0.182702215313845	Inf	-0.0361741831568793	0.168481411713482	0.168481411713482	-0.243419184018514	Inf	-0.182702215313845	-0.0361741831568793	0.0559119033645642	Inf	0.526395163953311	0.314628289019765	0.168481411713482	Inf	0.526395163953311	-0.114429676935836
CT	-1.13840016464475	-1.1924902013414	-0.948689085537984	-0.948689085537984	-1.13840016464475	-1.01734522594587	-0.872982634847869	-0.948689085537984	-0.443350320284907	-0.872982634847869	-0.872982634847869	-1.13840016464475	-0.579665289651457	-0.579665289651457	-0.00968182621263394	-0.872982634847869	-0.872982634847869	-1.08026156369045	-0.788368001802128	-0.443350320284907	-0.872982634847869	-1.01734522594587	-0.872982634847869	Inf	-0.872982634847869	-1.1924902013414	-0.579665289651457	-0.579665289651457	-1.08026156369045	-0.692072561301229
