	LC.001	LC.002	LC.003	LC.004	LC.005	LC.006	LC.007	LC.008	LC.009	LC.010	LC.011	LC.012	LC.013	LC.014	LC.015	LC.016	LC.017	LC.018	LC.019	LC.020	LC.021	LC.022	LC.023	LC.025	LC.026	LC.027	LC.028	LC.029	LC.030
Brain	-0.435434944	0.736889905	-0.267959965	0.736889905	-0.937859879	0.066989991	-0.7703849	-0.267959965	-0.435434944	-0.100484987	0.569414926	3.081539601	0.066989991	1.071839861	-0.602909922	-0.267959965	1.23931484	1.071839861	0.066989991	0.401939948	0.904364883	0.736889905	-0.100484987	0.569414926	0.569414926	0.401939948	-0.267959965	-0.602909922	1.406789818
Colon	-0.635107349	0.754189977	-0.039694209	-0.436636302	0.158776837	-0.436636302	0.158776837	-1.428991535	-0.436636302	-0.238165256	-1.230520488	0.158776837	0.952661023	-0.436636302	-0.039694209	0.754189977	-0.039694209	-0.039694209	1.548074163	0.952661023	1.15113207	1.15113207	0.357247884	-1.230520488	-1.032049442	-0.039694209	-1.032049442	-0.039694209	0.357247884
Intestine	0.805005814	-1.255589273	-0.843470256	-0.019232221	1.629243849	-0.637410747	0.598946305	1.423184341	1.011065323	0.598946305	-0.019232221	-1.049529765	-0.431351238	-0.431351238	-1.255589273	-0.019232221	-0.22529173	-1.049529765	-0.431351238	-0.22529173	-0.637410747	-0.637410747	-0.019232221	-0.637410747	-0.019232221	-0.431351238	-0.843470256	-0.019232221	0.392886797
Kidney	0.826562304	-1.247525261	-0.55616274	0.135199782	1.748378999	1.057016478	-0.325708566	-0.55616274	-0.095254392	1.057016478	1.057016478	0.826562304	-1.247525261	1.057016478	1.748378999	-0.55616274	1.287470652	0.365653956	1.978833173	-1.247525261	0.365653956	0.59610813	-1.477979435	-0.786616914	0.365653956	0.826562304	0.135199782	0.826562304	-1.247525261
Liver	-0.563032455	0.815822537	-1.080103077	-0.390675581	-0.045961833	-1.424816825	-0.735389329	-1.080103077	-0.390675581	0.471108789	0.126395041	0.471108789	0.298751915	-0.735389329	0.815822537	-0.563032455	-0.390675581	-0.390675581	-0.563032455	-0.218318707	-0.390675581	-1.424816825	-1.080103077	-0.390675581	0.643465663	-0.218318707	-1.252459951	0.126395041	-0.045961833
Lung	1.709912762	4.602622321	4.602622321	3.638385801	6.723942665	5.759706145	3.445538497	4.024080409	4.024080409	5.374011537	3.252691193	3.831233105	3.252691193	4.024080409	2.288454674	3.059843889	3.252691193	7.495331881	2.674149282	3.252691193	4.795469625	4.024080409	3.638385801	2.481301978	8.652415704	3.638385801	4.988316929	5.566858841	5.374011537
Pancreas	0.658533753	-1.037261319	-1.461210087	0.446559369	0.658533753	1.294456905	0.446559369	0.658533753	0.234584985	1.082482521	-1.461210087	-1.461210087	-0.613312551	1.930380057	2.142354441	0.446559369	0.658533753	-0.189363783	0.234584985	0.446559369	-0.613312551	0.658533753	0.446559369	-0.825286935	-0.613312551	1.294456905	-0.401338167	-0.189363783	0.658533753
Spleen	1.065884571	0.008459401	1.488854639	-0.837480734	1.277369605	0.431429469	-1.260450802	1.065884571	0.219944435	0.431429469	0.008459401	-1.048965768	-0.837480734	-0.837480734	0.431429469	-0.203025633	0.431429469	0.219944435	-1.048965768	-1.048965768	-1.048965768	-0.6259957	-0.203025633	-0.6259957	0.008459401	-0.203025633	1.277369605	-1.260450802	-0.414510666
stomach	-0.728728559	0.268618921	-0.928198055	-0.329789567	0.468088417	-1.127667551	1.465435897	0.468088417	-0.130320071	-0.329789567	-0.728728559	0.867027409	0.468088417	-1.127667551	0.468088417	1.664905393	-0.529259063	-0.329789567	0.468088417	-1.127667551	1.265966401	1.066496905	0.867027409	-0.329789567	-0.329789567	-0.130320071	0.867027409	0.468088417	0.069149425
WBC	-3.22250173	-3.352651234	-3.612950243	-3.743099748	-3.612950243	-2.832053217	-4.003398757	-3.092352226	-2.701903712	-3.22250173	-1.660707677	-2.181305694	-3.352651234	-2.05115619	-3.612950243	-3.352651234	-2.832053217	-1.270259163	-3.22250173	-3.092352226	-3.352651234	-2.571754208	-3.743099748	-3.092352226	0.29153489	-3.873249252	-1.270259163	-1.140109659	-3.22250173
CT	5.384464788	3.442951042	7.811356969	3.928329478	3.442951042	5.384464788	3.928329478	3.442951042	3.928329478	4.413707915	5.384464788	5.384464788	4.413707915	4.899086351	4.413707915	4.899086351	5.384464788	4.899086351	7.811356969	6.35522166	7.325978533	7.325978533	6.35522166	8.296735406	3.442951042	7.325978533	6.35522166	6.840600097	6.35522166
