	CRC.001	CRC.002	CRC.003	CRC.004	CRC.005	CRC.006	CRC.007	CRC.008	CRC.009	CRC.010	CRC.011	CRC.012	CRC.013	CRC.014	CRC.015	CRC.016	CRC.017	CRC.018	CRC.019	CRC.020	CRC.021	CRC.022	CRC.023	CRC.024	CRC.025	CRC.026	CRC.027	CRC.028	CRC.029	CRC.030
Brain	-0.7703849	0.401939948	-0.267959965	0.569414926	-0.435434944	-0.602909922	0.066989991	-0.602909922	0.736889905	0.569414926	-0.937859879	0.904364883	0.401939948	-0.937859879	-0.7703849	1.23931484	-0.267959965	-0.602909922	0.569414926	-0.267959965	0.904364883	1.071839861	-0.100484987	-0.267959965	-0.100484987	-0.435434944	-1.105334857	0.066989991	0.904364883	1.23931484
Colon	2.143487302	5.319024046	6.906792419	2.937371488	3.731255674	2.341958349	8.296089744	3.532784628	5.517495093	5.715966139	7.502205558	6.509850326	1.349603116	4.922081953	0.55571893	9.68538707	4.723610907	2.540429395	3.731255674	3.334313581	4.326668814	5.517495093	8.296089744	1.945016256	4.326668814	5.914437186	2.937371488	3.731255674	5.517495093	4.922081953
Intestine	0.186827288	-1.461648782	0.186827288	-0.431351238	0.186827288	0.598946305	0.392886797	0.392886797	0.598946305	1.011065323	0.392886797	1.835303358	-0.637410747	1.011065323	1.011065323	1.011065323	1.629243849	-1.255589273	-0.843470256	0.186827288	0.392886797	0.598946305	-0.22529173	-1.049529765	-0.843470256	-0.637410747	0.392886797	-0.843470256	1.217124832	1.629243849
Kidney	-1.477979435	0.826562304	0.365653956	2.209287347	4.283374912	1.057016478	0.826562304	0.135199782	-0.786616914	-0.325708566	-0.095254392	1.978833173	0.135199782	-0.786616914	-1.708433609	-0.55616274	1.287470652	-0.095254392	1.057016478	0.135199782	0.365653956	-0.095254392	-0.325708566	-1.247525261	-1.477979435	-0.55616274	-0.325708566	-0.325708566	0.365653956	1.978833173
Liver	4.090603142	-1.252459951	0.643465663	0.988179411	1.677606906	0.126395041	0.643465663	-0.735389329	-1.080103077	-0.563032455	0.643465663	-1.080103077	0.298751915	0.643465663	-0.390675581	-0.735389329	-0.045961833	-1.080103077	0.643465663	0.643465663	0.988179411	0.471108789	-0.218318707	-0.735389329	0.815822537	0.643465663	0.988179411	-0.045961833	0.298751915	-0.390675581
Lung	-0.79710219	-1.375644102	-0.989949494	-0.411407582	0.552828938	-0.79710219	0.16713433	-1.375644102	0.16713433	1.324218154	-0.989949494	-0.218560278	-0.025712974	-1.182796798	-0.989949494	0.938523546	-1.375644102	-0.604254886	1.13137085	-0.411407582	-1.375644102	0.552828938	-0.411407582	0.16713433	0.359981634	-0.604254886	3.638385801	0.16713433	0.552828938	1.709912762
Pancreas	0.022610601	-0.825286935	0.022610601	0.022610601	0.234584985	0.234584985	0.658533753	-1.037261319	-0.613312551	-0.613312551	-0.189363783	0.446559369	-0.189363783	-0.189363783	0.234584985	-1.037261319	-1.461210087	-0.401338167	1.506431289	0.446559369	-0.189363783	-0.401338167	-1.037261319	0.446559369	0.022610601	-0.401338167	1.082482521	-0.825286935	0.870508137	0.446559369
Spleen	1.065884571	0.219944435	0.642914503	0.008459401	-0.837480734	0.219944435	-0.6259957	-0.6259957	1.488854639	0.219944435	0.431429469	0.008459401	-0.837480734	-1.048965768	0.431429469	0.219944435	0.642914503	-0.6259957	-0.6259957	0.219944435	0.431429469	1.065884571	-0.6259957	-0.414510666	1.065884571	0.854399537	0.642914503	-0.414510666	0.642914503	0.008459401
stomach	0.468088417	0.268618921	0.468088417	-0.928198055	0.867027409	0.268618921	-0.130320071	-0.728728559	-1.127667551	-0.728728559	-0.928198055	0.268618921	1.664905393	1.664905393	-0.329789567	1.465435897	-0.928198055	-0.529259063	-0.529259063	0.667557913	-0.728728559	2.063844386	0.667557913	0.468088417	1.86437489	0.867027409	0.268618921	0.468088417	-0.928198055	-0.728728559
WBC	-3.873249252	-2.441604703	-3.092352226	-3.743099748	-2.441604703	-2.701903712	-3.352651234	-3.22250173	-3.092352226	-2.571754208	-2.571754208	-2.962202721	0.812132908	-3.743099748	-0.749661146	-3.482800739	-3.22250173	-3.22250173	-3.873249252	0.942282412	-3.743099748	-3.482800739	-3.352651234	-0.489362137	-2.962202721	-3.092352226	-3.22250173	-2.311455199	-2.962202721	-3.612950243
CT	8.296735406	8.782113842	6.840600097	6.840600097	8.296735406	7.325978533	6.35522166	6.840600097	4.413707915	6.35522166	6.35522166	8.296735406	4.899086351	4.899086351	3.442951042	6.35522166	6.35522166	7.811356969	5.869843224	4.413707915	6.35522166	7.325978533	6.35522166	1.501437297	6.35522166	8.782113842	4.899086351	4.899086351	7.811356969	5.384464788
