	PCP.001	PCP.002	PCP.003	PCP.004	PCP.005	PCP.006	PCP.007	PCP.008	PCP.009	PCP.010
Brain	-0.3517	0.65315	-0.3517	0.06699	-0.43543	-0.26796	-0.01675	0.15073	-0.68665	0.40194
Colon	3.13584	1.84578	1.84578	0.95266	4.22743	1.54807	2.83814	2.14349	3.53278	3.13584
Intestine	0.49592	-0.84347	-0.32832	0.28986	1.01107	-0.12226	0.59895	1.21712	0.70198	1.21712
Kidney	0.59611	0.48088	1.86361	0.59611	1.28747	0.59611	-0.55616	-0.44094	-0.09525	1.51792
Liver	0.04022	0.902	0.29875	-0.13214	0.29875	-1.0801	-0.90775	-0.82157	0.1264	-0.3045
Lung	0.35998	2.09561	2.57773	1.42064	3.44554	2.19203	1.80634	2.67415	1.51707	2.57773
Pancreas	3.6483	4.65315	3.6483	4.06699	3.56457	3.73204	5.98325	4.15073	3.31335	4.40194
Spleen	0.8544	0.00846	0.32569	-0.30877	0.32569	-0.09728	0.1142	0.64291	0.32569	0.21994
stomach	-0.13032	-0.32979	-0.03059	-0.03059	0.16888	-0.9282	0.16888	-0.13032	-0.52926	-0.03059
WBC	-3.15743	-3.54788	-3.02728	-3.2225	-3.4828	-3.02728	-3.54788	-2.83205	-2.63683	-3.09235
CT	6.11253	5.14178	8.05405	5.62715	4.89909	6.11253	4.17102	4.89909	5.14178	6.35522
