	LCP1	LCP2	LCP3	LCP4	LCP5	LCP6	LCP7	LCP8	LCP9	LCP10	LCP11	LCP12	LCP13	LCP14	LCP15	LCP16	LCP17	LCP18	LCP19	LCP20	LCP21	LCP22	LCP23	LCP24	LCP25	LCP26	LCP27	LCP28	LCP29
Brain	0	0	0	0	0	0	0	0	0	0	0	0.48351319359489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Colon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Intestine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kidney	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lung	0	3.17689045186595	3.17689045186595	1.35893081462016	8.54958009474163	5.87161529900246	1.04142329618525	2.03985563447181	2.03985563447181	4.91072643640329	0.739125987431742	1.69172015572021	0.739125987431742	2.03985563447181	0	0.451958943086914	0.739125987431742	10.9768354145919	0	0.739125987431742	3.58693641566208	2.03985563447181	1.35893081462016	0	15.0946313264989	1.35893081462016	4.01256789097137	5.38331565413047	4.91072643640329
Pancreas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spleen	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
stomach	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBC	0.693174415161172	0.893924101454974	1.31617981719287	1.53773136457181	1.31617981719287	0.132126161961348	2.00178387079471	0.499310203068798	0	0.693174415161172	0	0	0.893924101454974	0	1.31617981719287	0.893924101454974	0.132126161961348	0	0.693174415161172	0.499310203068798	0.893924101454974	0	1.53773136457181	0.499310203068798	0	1.76625972485677	0	0	0.693174415161172
CT	4.93594077493877	1.03726683646967	12.0446106938582	1.86508037561095	1.03726683646967	4.93594077493877	1.86508037561095	1.03726683646967	1.86508037561095	2.79028134118872	4.93594077493877	4.93594077493877	2.79028134118872	3.81368823275521	2.79028134118872	3.81368823275521	4.93594077493877	3.81368823275521	12.0446106938582	7.47891238128979	10.4221946529351	10.4221946529351	7.47891238128979	13.7678094449469	1.03726683646967	10.4221946529351	7.47891238128979	8.90037086044079	7.47891238128979
