	CCP1	CCP2	CCP3	CCP4	CCP5	CCP6	CCP7	CCP8	CCP9	CCP10	CCP11	CCP12	CCP13	CCP14	CCP15	CCP16	CCP17	CCP18	CCP19	CCP20	CCP21	CCP22	CCP23	CCP24	CCP25	CCP26	CCP27	CCP28	CCP29	CCP30
Brain	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Colon	0	4.76412621308003	9.08726691816191	0.262678444675543	1.50255784781858	0	13.7507269319485	1.16845522246355	5.24612721955418	5.74476113500683	10.984882533418	7.90614969340041	0	3.84989853568392	0	19.2410763181214	3.41760218609586	0	1.50255784781858	0.850498149082863	2.60244379805226	5.24612721955418	13.7507269319485	0	2.60244379805226	6.26005579382217	0.262678444675543	1.50255784781858	5.24612721955418	3.84989853568392
Intestine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kidney	0	0	0	0	2.51751037902548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver	2.14879233572922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lung	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.34420755779946	0	0	0
Pancreas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spleen	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
stomach	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBC	1.75153646803607	0	0.484586946248092	1.5230081077511	0	0	0.879200844634268	0.678451158340466	0.484586946248092	0	0	0.297580751402214	0	1.5230081077511	0	1.08686144540756	0.678451158340466	0.678451158340466	1.75153646803607	0	1.5230081077511	1.08686144540756	0.879200844634268	0	0.297580751402214	0.484586946248092	0.678451158340466	0	0.297580751402214	1.30145656037216
CT	13.7530861881262	15.5772288870932	8.88564760362008	8.88564760362008	13.7530861881262	10.4074713961144	7.46418912446909	8.88564760362008	2.77555808436801	7.46418912446909	7.46418912446909	13.7530861881262	3.7989649759345	3.7989649759345	1.02254357964897	7.46418912446909	7.46418912446909	12.0298874370375	6.142823001596	2.77555808436801	7.46418912446909	10.4074713961144	7.46418912446909	0	7.46418912446909	15.5772288870932	3.7989649759345	3.7989649759345	12.0298874370375	4.92121751811807
