"c1"	"c2"	"c3"
"1"	0.112244897959184	0.484848484848485	1
"2"	0.0238095238095238	0	0
"3"	0.00340136054421769	0.383838383838384	0.571428571428571
"4"	0.0136054421768707	0	0
"5"	0.0306122448979592	0	0
"6"	0.0442176870748299	0	0
"7"	0	0	0
"8"	0.0170068027210884	0	0
"9"	0	0	0
"10"	0.00340136054421769	0	0
"11"	0.00340136054421769	0	0
"12"	0	0	0
"13"	0.0374149659863946	0.0202020202020202	0
"14"	0.0612244897959184	0.484848484848485	1
"15"	0.0714285714285714	0.0707070707070707	0.714285714285714
"16"	0.00340136054421769	0	0
"17"	0.00680272108843537	0	0
"18"	0.159863945578231	0.0101010101010101	0
"19"	0.00340136054421769	0	0
"20"	0	0	0
"21"	0.41156462585034	0.898989898989899	1
"22"	0.0136054421768707	0	0
"23"	0	0	0
"24"	0.0918367346938776	0.484848484848485	0.857142857142857
"25"	0.112244897959184	0.494949494949495	0.857142857142857
"26"	0	0	0
"27"	0	0	0
"28"	0.00680272108843537	0	0
"29"	0.00340136054421769	0	0
"30"	0.0714285714285714	0.101010101010101	0
"31"	0.982993197278912	1	1
"32"	0	0	0
"33"	0.0340136054421769	0	0
"34"	0.0102040816326531	0	0
"35"	0.0340136054421769	0	0
"36"	0.0306122448979592	0.0101010101010101	0
"37"	0.0612244897959184	0	0
"38"	0.0952380952380952	0.434343434343434	0.857142857142857
"39"	0.0102040816326531	0.272727272727273	0.571428571428571
"40"	0.0612244897959184	0.0404040404040404	0
"41"	0.173469387755102	0.494949494949495	1
"42"	0	0	0
"43"	0.187074829931973	0.626262626262626	1
"44"	0.0340136054421769	0.383838383838384	0.714285714285714
"45"	0	0	0
"46"	0	0	0
"47"	0.0272108843537415	0	0
"48"	0.105442176870748	0.454545454545455	0.571428571428571
"49"	0.0884353741496599	0.474747474747475	0.857142857142857
"50"	0	0	0
"51"	0.0408163265306122	0	0
"52"	0	0	0
"53"	0	0	0
"54"	0.00680272108843537	0	0
"55"	0.0170068027210884	0	0
"56"	0.0374149659863946	0	0
"57"	0.0102040816326531	0	0
"58"	0	0	0
"59"	0	0	0
"60"	0.153061224489796	0.525252525252525	0.857142857142857
"61"	0.0170068027210884	0.272727272727273	0.714285714285714
"62"	0	0	0
"63"	0.302721088435374	0.696969696969697	0.714285714285714
"64"	0.00680272108843537	0	0
"65"	0.850340136054422	1	1
"66"	0	0	0
"67"	0.108843537414966	0.484848484848485	0.857142857142857
"68"	0	0	0
"69"	0	0	0
"70"	0.00340136054421769	0	0
"71"	0.102040816326531	0.434343434343434	0.714285714285714
"72"	0.153061224489796	0.484848484848485	1
"73"	0	0	0
"74"	0.108843537414966	0.484848484848485	1
"75"	0.0986394557823129	0.454545454545455	0.428571428571429
"76"	0	0	0
"77"	0.00340136054421769	0	0
"78"	0.0816326530612245	0.414141414141414	0.571428571428571
"79"	0.054421768707483	0	0
"80"	0.00340136054421769	0	0
"81"	0.054421768707483	0.474747474747475	1
"82"	0.0136054421768707	0	0
"83"	0.0204081632653061	0	0
"84"	0	0	0
"85"	0.513605442176871	0.707070707070707	1
"86"	0	0	0
"87"	0.0102040816326531	0	0
"88"	0	0	0
"89"	0.0578231292517007	0	0
"90"	0.0952380952380952	0.373737373737374	0.714285714285714
"91"	0.0646258503401361	0.393939393939394	0.714285714285714
"92"	0.0714285714285714	0	0
"93"	0	0	0
"94"	0.472789115646259	0.484848484848485	1
"95"	0	0	0
"96"	0	0	0
"97"	0	0	0
"98"	0.0884353741496599	0.404040404040404	0.857142857142857
"99"	0.00680272108843537	0	0
"100"	0	0	0
"101"	0.0476190476190476	0.414141414141414	0.857142857142857
"102"	0.00340136054421769	0	0
"103"	0.054421768707483	0.141414141414141	0.142857142857143
"104"	0.0986394557823129	0.464646464646465	1
"105"	0	0	0
"106"	0	0	0
"107"	0.0476190476190476	0.434343434343434	0.714285714285714
"108"	0.102040816326531	0.484848484848485	1
"109"	0.00680272108843537	0	0
"110"	0.0238095238095238	0.454545454545455	0.714285714285714
"111"	0.00340136054421769	0	0
"112"	0	0	0
