chr1:6245079-6263679	18600	18600	46503	2.50016	2.50016
chr1:11166587-11326608	160021	160021	239120	1.4943	1.4943
chr1:16450831-16486604	35773	35773	84331	2.35739	2.35739
chr1:27018523-27108601	90078	90078	126436	1.40363	1.40363
chr1:36686012-36770957	84945	84945	161720	1.90382	1.90382
chr1:37936118-37949978	13860	13860	17534	1.26508	1.26508
chr1:39545838-39952810	406972	406972	605360	1.48747	1.48747
chr1:51430366-51440309	9943	9943	6591	0.662878	0.662878
chr1:65298905-65537429	238524	238524	339731	1.42431	1.42431
chr1:78409735-78448889	39154	39154	42840	1.09414	1.09414
chr1:93293542-93307482	13940	13940	16598	1.19067	1.19067
chr1:115247084-115263515	16431	16431	14840	0.903171	0.903171
chr1:120454175-120616317	162142	162142	235760	1.45403	1.45403
chr1:198604097-198726605	122508	122508	81618	0.666226	0.666226
chr1:201969178-201986315	17137	17137	37954	2.21474	2.21474
chr1:209958967-209983520	24553	24553	23635	0.962611	0.962611
chr1:226246407-226259703	13296	13296	14840	1.11613	1.11613
chr10:8092412-8117164	24752	24752	51174	2.06747	2.06747
chr10:89619194-89731687	112493	112493	97357	0.865449	0.865449
chr10:123237843-123361972	124129	124129	194775	1.56913	1.56913
chr10:131261504-131569247	307743	307743	742000	2.4111	2.4111
chr11:532241-539567	7326	7326	11955	1.63186	1.63186
chr11:32409320-32480316	70996	70996	109213	1.5383	1.5383
chr11:57475994-57586653	110659	110659	183960	1.6624	1.6624
chr11:64532075-64550316	18241	18241	32935	1.80555	1.80555
chr11:69451872-69469242	17370	17370	35795	2.06074	2.06074
chr11:71931881-71950188	18307	18307	31360	1.71301	1.71301
chr11:100900354-101030002	129648	129648	73846	0.569588	0.569588
chr11:108089558-108239826	150268	150268	182000	1.21117	1.21117
chr11:118303204-118397539	94335	94335	141120	1.49595	1.49595
chr12:6679247-6720642	41395	41395	92888	2.24394	2.24394
chr12:12866203-12875316	9113	9113	3291	0.361132	0.361132
chr12:14514565-14655869	141304	141304	142736	1.01013	1.01013
chr12:25357722-25407865	50143	50143	53021	1.0574	1.0574
chr12:31943175-31949175	6000	6000	30875	5.14583	5.14583
chr12:46119491-46301823	182332	182332	198240	1.08725	1.08725
chr12:49412757-49453107	40350	40350	99680	2.47038	2.47038
chr12:52341450-52390863	49413	49413	97579	1.97476	1.97476
chr12:56469808-56497291	27483	27483	46892	1.70622	1.70622
chr12:58141509-58150230	8721	8721	11103	1.27313	1.27313
chr12:112852701-112947722	95021	95021	148515	1.56297	1.56297
chr12:115108058-115125969	17911	17911	26049	1.45436	1.45436
chr12:133200347-133268110	67763	67763	226344	3.34023	3.34023
chr13:32885616-32973809	88193	88193	126633	1.43586	1.43586
chr13:48870648-49056026	185378	185378	197680	1.06636	1.06636
chr13:73625113-73651680	26567	26567	28369	1.06783	1.06783
chr14:21853352-21909457	56105	56105	99960	1.78166	1.78166
chr14:23440382-23455851	15469	15469	16635	1.07538	1.07538
chr14:38058756-38068325	9569	9569	3929	0.410597	0.410597
chr14:92524895-92576965	52070	52070	106960	2.05416	2.05416
chr14:103239815-103377837	138022	138022	307137	2.22528	2.22528
chr14:105235686-105266080	30394	30394	75728	2.49154	2.49154
chr15:41948609-42062141	113532	113532	167720	1.47729	1.47729
chr15:44999714-45011075	11361	11361	3920	0.34504	0.34504
chr15:57206287-57583459	377172	377172	311192	0.825067	0.825067
chr15:59275786-59389618	113832	113832	149800	1.31597	1.31597
chr15:66675210-66783882	108672	108672	169680	1.5614	1.5614
chr15:75661719-75752124	90405	90405	162960	1.80256	1.80256
chr15:90627210-90676805	49595	49595	85593	1.72584	1.72584
chr16:337439-406676	69237	69237	246139	3.55502	3.55502
chr16:3775055-3934121	159066	159066	318519	2.00243	2.00243
chr16:50352928-50406845	53917	53917	50600	0.93848	0.93848
chr16:67059049-67134958	75909	75909	117320	1.54553	1.54553
chr16:67592309-67673088	80779	80779	218695	2.70732	2.70732
chr16:68767192-68869445	102253	102253	165110	1.61472	1.61472
chr17:7215977-7222658	6681	6681	18900	2.82892	2.82892
chr17:7571719-7594868	23149	23149	67609	2.9206	2.9206
chr17:7784122-7816075	31953	31953	75848	2.37374	2.37374
chr17:11920134-12047148	127014	127014	116387	0.916332	0.916332
chr17:15933407-16122874	189467	189467	308575	1.62865	1.62865
chr17:29417944-29704695	286751	286751	329661	1.14964	1.14964
chr17:37613763-37690818	77055	77055	158564	2.0578	2.0578
chr17:37840336-37884916	44580	44580	96277	2.15965	2.15965
chr17:38461422-38513895	52473	52473	71027	1.35359	1.35359
chr17:38811871-38825416	13545	13545	11200	0.826873	0.826873
chr17:41196311-41281500	85189	85189	202257	2.37421	2.37421
chr17:44107281-44306740	199459	199459	254725	1.27708	1.27708
chr17:47676245-47759525	83280	83280	137307	1.64874	1.64874
chr17:56429860-56498943	69083	69083	95200	1.37805	1.37805
chr17:63524682-63561766	37084	37084	76160	2.05372	2.05372
chr17:70067182-70122560	55378	55378	51903	0.937249	0.937249
chr17:80787309-80801931	14622	14622	54090	3.69922	3.69922
