	Brain	Colon	Intestine	Kidney	Liver	Lung	Pancreas	Spleen	stomach	WB
Brain	2.532	0.05	0.038	0.06	0.062	0.038	0.046	0.04	0.048	0.04
Colon	0.044	3.298	0.362	0.05	0.036	0.03	0.046	0.05	0.028	0.058
Intestine	0.044	0.368	3.256	0.044	0.032	0.046	0.042	0.046	0.048	0.06
Kidney	0.042	0.05	0.056	3.582	0.05	0.048	0.046	0.044	0.058	0.048
Liver	0.054	0.03	0.04	0.036	4.588	0.042	0.064	0.048	0.056	0.044
Lung	0.066	0.038	0.046	0.042	0.038	4.602	0.034	0.054	0.042	0.048
Pancreas	0.06	0.048	0.044	0.052	0.054	0.04	2.582	0.038	0.068	0.042
Spleen	0.05	0.048	0.052	0.042	0.042	0.048	0.052	5.586	0.046	0.046
stomach	0.056	0.04	0.05	0.048	0.056	0.046	0.048	0.048	4.556	0.046
WB	0.052	0.03	0.056	0.044	0.042	0.06	0.04	0.046	0.05	3.568
