ID	Lung_N1	Lung_N10	Lung_N11	Lung_N12	Lung_N14	Lung_T15	Lung_T16	Lung_T17	Lung_T18	Lung_N19	Lung_N2	Lung_N20	Lung_N21	Lung_N22	Lung_N23	Lung_N24	Lung_N25	Lung_N3	Lung_N4	Lung_N5	Lung_N7	Lung_N8	Lung_N9	Lung_T1	Lung_T10	Lung_T11	Lung_T12	Lung_T13	Lung_T14	Lung_N15	Lung_N16	Lung_N17	Lung_N18	Lung_T19	Lung_T2	Lung_T20	Lung_T21	Lung_T22	Lung_T23	Lung_T24	Lung_T25	Lung_T3	Lung_T4	Lung_T5	Lung_T7	Lung_T8	Lung_T9
cg00032774	0.780319996304937	0.796437006738807	0.810698226240941	0.721875625724048	0.69573551705373	0.639151995432138	0.81235668359842	0.692454620345764	0.869611519712087	0.693709549150429	0.703382231964071	0.719262674442314	0.608974512568087	0.64520604523455	0.715137685030765	0.67976650642166	0.713367830321613	0.766630375328534	0.644304425241273	0.770093463938321	0.763341863037152	0.710462037363412	0.597783785784647	0.880285816817157	0.834205360239906	0.85721303160351	0.749409195642196	0.690925502823044	0.63462964367206	0.652420654986763	0.722496513037279	0.729855508002543	0.769317929071303	0.779109913065227	0.654864425006887	0.728870307399576	0.369423842193979	0.923318705226572	0.782936242974725	0.582575952809771	0.768175837517134	0.562865047546689	0.92050800666263	0.678392010558119	0.761937885891127	0.72694271096385	0.768763351718982
cg00044871	0.373582207645516	0.334908551987457	0.338781914790654	0.197063878862006	0.25079891711307	0.476622905022308	0.311848902141544	0.746923413432335	0.761707030266143	0.271185710167724	0.268931547783319	0.330108254277494	0.202608782586915	0.213048574915626	0.164856775225556	0.238999382361014	0.370756681821526	0.318778035422432	0.226804524486099	0.273173043589141	0.303698240885165	0.292265679537283	0.262501815095649	0.608258325426081	0.381431950903053	0.414396507325097	0.206186037511037	0.31145641508703	0.318461338910789	0.272490708325168	0.292753772811838	0.251350152366399	0.307844447393154	0.696364302433213	0.173366563638465	0.337076808815204	0.465008549741479	0.111518173114824	0.174769990379197	0.398669931658021	0.573462317353778	0.407500043994078	0.0126534276434855	0.710474907750118	0.205052323267978	0.462852642949817	0.450819194864551
cg00131470	0.617317201730838	0.483561625172165	0.552707658603301	0.528592256542983	0.476869285845566	0.471943419394759	0.451981434981588	0.378295606955079	0.509842093516215	0.679247348957547	0.673805524915258	0.499803603247753	0.545187525953835	0.60277000143219	0.577686388340768	0.558747644886278	0.57525512435235	0.580120440758085	0.609252115087865	0.579479542040329	0.536521318471163	0.62881046063352	0.642158460553276	0.278452860915761	0.358302642426135	0.449152538460097	0.602826842645131	0.381007783388839	0.497018733606071	0.530281955272149	0.496519422807438	0.556683850894495	0.650201550483164	0.402512087192971	0.444074266749081	0.522651614194731	0.352053894310725	0.14728847913035	0.663944087412183	0.664504876448256	0.655148528732516	0.762917061126422	0.828808264584405	0.364640365729968	0.435932305289682	0.487743655912536	0.272465706895689
cg00205286	0.0455143574253576	0.0221649481381865	0.0223919849749144	0.0245513797680951	0.0359399312760771	0.0346696500110368	0.0256857646099082	0.0345619912077145	0.069417616501464	0.0407605394907923	0.0292673857693189	0.0263280929912516	0.054472518725795	0.0266469055110372	0.0368283162959797	0.0353370562503818	0.0465338878184247	0.0425439883500527	0.0368534718496009	0.0424331851184393	0.0421509896874719	0.0291740688810443	0.0373311992472611	0.0642235397312731	0.0337190365062585	0.034007934159552	0.0186142367439334	0.0310093070821243	0.0334405526422409	0.0314954615843489	0.0242357394546818	0.0248206560811181	0.0321070788065822	0.0465873049731694	0.0286875224438591	0.0250536135184245	0.106858113009259	0.0366273568601759	0.031395332344882	0.0547963834363732	0.0505333102541763	0.0946920042275293	0.0585414724818734	0.396379231758118	0.0433401052533351	0.0622802179186483	0.0947969517227381
cg00248810	0.626692714317312	0.675149426675516	0.677212559743844	0.636304930998275	0.650235005239879	0.547042338371691	0.323311252679485	0.703619283679763	0.256865993829125	0.675389462980909	0.686570169046391	0.671175789379915	0.665505205857376	0.726637369072222	0.672756642464264	0.667853512175136	0.656706129834945	0.490689305339126	0.521391869743627	0.663308508475388	0.633126874570881	0.669023911728578	0.718100806722464	0.708614760583387	0.496964906988731	0.376311190971898	0.623299477953696	0.547402992044029	0.454108367816126	0.645378551379703	0.653756894954598	0.57521208438816	0.658879432810691	0.410824379180051	0.425305330504469	0.639290990504031	0.327774631220701	0.798535344219558	0.694826406529422	0.474305922340521	0.586628213154352	0.458516308477593	0.578041968626236	0.59357868425595	0.381440965717912	0.403642297348037	0.317739986990057
cg00249369	0.948044793635991	0.934472924341059	0.951129704083712	0.935199967200296	0.931146596418783	0.915271562900658	0.799449879271224	0.807723336044765	0.520210858092762	0.952381616580893	0.925330275606851	0.935258583890014	0.939644318978519	0.939494344353329	0.942419273963959	0.959523118555844	0.942951042004544	0.925136781647284	0.923715895214446	0.943870668492403	0.91724618600996	0.938935815696665	0.947873160405511	0.736947621293931	0.829586104916727	0.850032167410262	0.883270004307271	0.877256807001223	0.908474243674318	0.937132052687503	0.923593419867342	0.929635645668487	0.93231007783732	0.75484134011408	0.936681115154155	0.916119511571234	0.66551474835393	0.755709086098796	0.846316282646247	0.80846603748845	0.927897833702067	0.873620857211697	0.976596420673842	0.674859667910736	0.870044282863863	0.844888353597718	0.84378978890745
cg00384027	0.964361288101744	0.956394158424758	0.960838339519481	0.959280157329878	0.937414369044199	0.927997144390979	0.940670606038006	0.962379412619205	0.740162436770636	0.963881399629917	0.968335436679966	0.958706504217334	0.969374791773768	0.968830336799362	0.966155326614923	0.968135567391004	0.967020117142293	0.964359073852122	0.953626581992086	0.962186045334647	0.950460088875968	0.959693532504485	0.960250923208213	0.873531380750081	0.945674577110808	0.951616576359639	0.870004812875941	0.945353390601785	0.718426743686011	0.956138629466165	0.96000064917006	0.957291788366283	0.965739928030523	0.678468808668016	0.960301430430607	0.944043999653684	0.790858339442869	0.972771707915872	0.91631530773909	0.858072548432427	0.931075191242263	0.963692041742742	0.821120910991256	0.761013631062649	0.930095853204617	0.883504109398316	0.94643426791669
cg00491911	0.911530997630838	0.904037984920595	0.91059873021908	0.918034807497467	0.899311720245205	0.897855725066752	0.904735633449758	0.568911652250539	0.595002533803625	0.849042167318016	0.912396266484819	0.898875440147217	0.895594939436582	0.875914923958501	0.910892697386244	0.922283625280027	0.921339281349776	0.889851558004733	0.899448334496031	0.91772977964775	0.909019150993061	0.918589334375018	0.902723476497347	0.90045974291542	0.871146461255504	0.736444177635065	0.750123702635926	0.895711038870459	0.93079872536268	0.932324403180797	0.909653816352815	0.923651855743002	0.909034209991345	0.888871388174261	0.813305128657822	0.878344178247075	0.635280875017096	0.940123583799865	0.936124205922096	0.867375780231269	0.87459986241313	0.861208244032438	0.919343555668506	0.75704428251229	0.816939846237955	0.851950818374998	0.862834791762086
cg00541282	0.849929839734645	0.872105488529707	0.856007560842768	0.85792432291788	0.81209368013689	0.895329319041757	0.945152260493106	0.961554857228254	0.785665572874343	0.882232139508549	0.876098788564287	0.836737376874678	0.860466404915519	0.802386105046803	0.824462373545671	0.826231463853684	0.855677541538346	0.853953671937479	0.807304716487855	0.869190051029176	0.868044456460849	0.858692339501612	0.822986248563341	0.958368011307695	0.833934860416366	0.58895373903412	0.893179135545537	0.847047023806292	0.908194091459868	0.845232725689105	0.827780121862899	0.882810650682252	0.83956906278816	0.957908999381149	0.805912437442001	0.929950580207424	0.934007095124858	0.577566353231834	0.952610786338523	0.750569465696237	0.912295787154042	0.919624416768753	0.732365028635706	0.88438057792652	0.832783832202983	0.872729271575686	0.93096799829897
cg00541956	0.834643335368985	0.875299435936469	0.804477500118046	0.829943782022552	0.87455907866417	0.828336586130235	0.611581569115816	0.824364673286849	0.471736301715105	0.881541328285814	0.889653563783618	0.885822874618774	0.87840015871605	0.881979681165642	0.887285569454427	0.886223742721792	0.872197235959175	0.826721044240739	0.823783701991498	0.839533657734893	0.859692776106058	0.864691242461278	0.784148074282023	0.895031318519593	0.917079524207195	0.884041619874873	0.85370586458868	0.805722023723873	0.852778317350324	0.856712730423173	0.867065337382297	0.857784549882799	0.884114348234252	0.517368950076129	0.770741992649679	0.688900318513374	0.860855822360635	0.931365549113683	0.936960099460041	0.668955345735177	0.789632666603132	0.821527463266698	0.924572949467533	0.840323655004145	0.917661151811131	0.759815291251347	0.856186255956214
