Type	MHL	Yield
CCP	0.000008	14.0
CCP	0.007813	8.4
CCP	0.000015	31.7
CCP	0.000977	48.5
CCP	0.000122	22.0
CCP	0.000001	11.5
CCP	0.015625	10.6
CCP	0.000488	9.8
CCP	0.000122	23.5
CCP	0.001953	14.3
CCP	0.000977	32.0
CCP	0.125000	14.0
CCP	0.031250	45.3
CCP	0.015625	24.4
CCP	0.062500	9.5
CCP	0.015625	18.1
CCP	0.125000	16.6
CCP	0.003906	22.3
CCP	0.007813	18.2
CCP	0.015625	61.1
CCP	0.125000	17.0
CCP	0.125000	84.0
CCP	0.015625	29.3
CCP	0.015625	15.1
CCP	0.000061	46.4
CCP	0.015625	17.9
CCP	0.062500	92.7
CCP	0.000977	130.2
CCP	0.007813	10.0
CCP	0.015625	214.1
LCP	0.003906	43.7
LCP	0.000004	174.9
LCP	0.015625	18.7
LCP	0.062500	75.7
LCP	0.000015	20.3
LCP	0.000031	21.5
LCP	0.000008	16.5
LCP	0.003906	21.0
LCP	0.031250	12.2
LCP	0.003906	21.3
LCP	0.062500	8.8
LCP	0.015625	15.3
LCP	0.000015	18.5
LCP	0.000001	21.2
LCP	0.031250	14.0
LCP	0.000004	91.8
LCP	0.000061	65.7
LCP	0.500000	17.4
LCP	0.031250	40.7
LCP	0.007813	17.8
LCP	0.015625	59.8
LCP	0.062500	88.9
LCP	0.031250	6189.8
LCP	0.000031	12.5
LCP	0.031250	11.5
LCP	0.000015	23.57
LCP	0.125000	40.77
LCP	0.000061	12
LCP	0.007813	15.6
NP	0.000122	12.3
NP	0.000977	13.7
NP	0.000061	22.6
NP	0.031250	6.6
NP	0.000008	6.2
NP	0.000244	10.3
NP	0.000031	5.9
NP	0.007813	8.6
NP	0.000977	8.2
NP	0.031250	8.4
NP	0.000015	7.9
NP	0.000244	5.9
NP	0.000244	7.0
NP	0.000061	6.3
NP	0.000004	9.5
NP	0.003906	5.3
NP	0.007813	6.4
NP	0.000977	10.3
NP	0.000977	9.0
NP	0.007813	7.7
NP	0.007813	7.0
NP	0.000061	4.2
NP	0.000244	3.6
NP	0.000031	6.2
NP	0.000015	5.5
NP	0.000488	5.0
NP	0.000097	24.3
NP	0.000126	31.5
NP	0.000193	48.5
NP	0.000199	50.0
NP	0.000164	41.1
NP	0.000033	8.2
NP	0.000282	70.8
NP	0.000103	25.8
NP	0.000038	9.5
NP	0.000032	8.1
NP	0.000064	16.0
NP	0.000053	13.3
NP	0.000097	24.4
NP	0.000098	24.7
NP	0.000069	17.4
NP	0.002807	70.4
NP	0.000043	10.7
NP	0.000043	10.7
NP	0.000045	11.3
NP	0.000056	14.0
NP	0.000586	14.7
NP	0.000046	11.6
NP	0.000055	13.8
NP	0.000698	175.0
NP	0.000051	12.7
NP	0.000618	15.5
NP	0.000055	13.8
NP	0.000142	35.7
NP	0.000082	20.6
NP	0.000062	15.6
NP	0.000133	33.3
NP	0.000128	32.0
NP	0.000038	9.6
NP	0.000084	21.0
NP	0.000476	119.3
NP	0.000049	12.3
NP	0.000099	24.8
NP	0.000110	27.7
NP	0.000061	15.4
NP	0.000076	19.0
NP	0.000060	15.1
NP	0.000066	16.6
NP	0.000093	23.4
NP	0.011243	28.2
NP	0.000079	19.7
NP	0.000189	47.3
NP	0.000297	74.5
NP	0.001306	327.7
NP	0.000049	12.3
