ID	Sample ID	Type	MHL	Prediction	Yield
UCSD.CRC.P.001	6-P-1	CCP	0.000008	Colon	14.0
UCSD.CRC.P.002	6-P-2	CCP	0.007813	Spleen	8.4
UCSD.CRC.P.003	6-P-3	CCP	0.000015	Colon	31.7
UCSD.CRC.P.004	6-P-4	CCP	0.000977	Liver	48.5
UCSD.CRC.P.005	6-P-5	CCP	0.000122	Lung	22.0
UCSD.CRC.P.006	6-P-6	CCP	0.000001	Colon	11.5
UCSD.CRC.P.007	6-P-7	CCP	0.015625	Colon	10.6
UCSD.CRC.P.008	6-P-8	CCP	0.000488	Spleen	9.8
UCSD.CRC.P.009	6-P-9	CCP	0.000122	Colon	23.5
UCSD.CRC.P.010	6-P-10	CCP	0.001953	Colon	14.3
UCSD.CRC.P.011	6-P-11	CCP	0.000977	Colon	32.0
UCSD.CRC.P.012	6-P-12	CCP	0.125000	Colon	14.0
UCSD.CRC.P.013	6-P-13	CCP	0.031250	Colon	45.3
UCSD.CRC.P.014	6-P-14	CCP	0.015625	Colon	24.4
UCSD.CRC.P.015	6-P-15	CCP	0.062500	Colon	9.5
UCSD.CRC.P.016	6-P-16	CCP	0.015625	Colon	18.1
UCSD.CRC.P.017	6-P-17	CCP	0.125000	Colon	16.6
UCSD.CRC.P.018	6-P-18	CCP	0.003906	Colon	22.3
UCSD.CRC.P.019	6-P-19	CCP	0.007813	Colon	18.2
UCSD.CRC.P.020	6-P-20	CCP	0.015625	Colon	61.1
UCSD.CRC.P.021	6-P-21	CCP	0.125000	Colon	17.0
UCSD.CRC.P.022	6-P-22	CCP	0.125000	Liver	84.0
UCSD.CRC.P.023	6-P-23	CCP	0.015625	Colon	29.3
UCSD.CRC.P.024	6-P-24	CCP	0.015625	Colon	15.1
UCSD.CRC.P.025	6-P-25	CCP	0.000061	Colon	46.4
UCSD.CRC.P.026	6-P-26	CCP	0.015625	Colon	17.9
UCSD.CRC.P.027	6-P-27	CCP	0.062500	Colon	92.7
UCSD.CRC.P.028	6-P-28	CCP	0.000977	Colon	130.2
UCSD.CRC.P.029	6-P-29	CCP	0.007813	Colon	10.0
UCSD.CRC.P.030	6-P-30	CCP	0.015625	Colon	214.1
UCSD.LC.P.001	7-P-1	LCP	0.003906	Lung	43.7
UCSD.LC.P.003	7-P-30	LCP	0.000004	Lung	174.9
UCSD.LC.P.003	7-P-3	LCP	0.015625	WBC	18.7
UCSD.LC.P.004	7-P-4	LCP	0.062500	Lung	75.7
UCSD.LC.P.005	7-P-5	LCP	0.000015	Lung	20.3
UCSD.LC.P.006	7-P-6	LCP	0.000031	Lung	21.5
UCSD.LC.P.007	7-P-7	LCP	0.000008	Lung	16.5
UCSD.LC.P.008	7-P-8	LCP	0.003906	Lung	21.0
UCSD.LC.P.009	7-P-9	LCP	0.031250	Lung	12.2
UCSD.LC.P.010	7-P-10	LCP	0.003906	Lung	21.3
UCSD.LC.P.011	7-P-11	LCP	0.062500	Lung	8.8
UCSD.LC.P.012	7-P-12	LCP	0.015625	Lung	15.3
UCSD.LC.P.013	7-P-13	LCP	0.000015	Lung	18.5
UCSD.LC.P.014	7-P-14	LCP	0.000001	Lung	21.2
UCSD.LC.P.015	7-P-15	LCP	0.031250	Liver	14.0
UCSD.LC.P.016	7-P-16	LCP	0.000004	Lung	91.8
UCSD.LC.P.017	7-P-17	LCP	0.000061	WBC	65.7
UCSD.LC.P.018	7-P-18	LCP	0.500000	Lung	17.4
UCSD.LC.P.019	7-P-19	LCP	0.031250	Lung	40.7
UCSD.LC.P.020	7-P-2	LCP	0.007813	Lung	17.8
UCSD.LC.P.021	7-P-20	LCP	0.015625	Lung	59.8
UCSD.LC.P.022	7-P-21	LCP	0.062500	Lung	88.9
UCSD.LC.P.023	7-P-22	LCP	0.031250	Lung	6189.8
UCSD.LC.P.024	7-P-23	LCP	0.000031	Lung	12.5
UCSD.LC.P.025	7-P-25	LCP	0.031250	Lung	11.5
UCSD.LC.P.026	7-P-26	LCP	0.000015	Lung	23.57
UCSD.LC.P.027	7-P-27	LCP	0.125000	Lung	40.77
UCSD.LC.P.028	7-P-28	LCP	0.000061	Lung	12
UCSD.LC.P.029	7-P-29	LCP	0.007813	Lung	15.6
UCSD.NC.P.001	NC-P-1	NP	0.000122	WBC	12.3
UCSD.NC.P.002	NC-P-2	NP	0.000977	WBC	13.7
UCSD.NC.P.003	NC-P-3	NP	0.000061	WBC	22.6
UCSD.NC.P.005	NC-P-5	NP	0.031250	WBC	6.6
UCSD.NC.P.006	NC-P-6	NP	0.000008	Liver	6.2
UCSD.NC.P.007	NC-P-7	NP	0.000244	WBC	10.3
UCSD.NC.P.008	NC-P-8	NP	0.000031	Lung	5.9
UCSD.NC.P.009	NC-P-9	NP	0.007813	Lung	8.6
UCSD.NC.P.012	NC-P-12	NP	0.000977	WBC	8.2
UCSD.NC.P.013	NC-P-13	NP	0.031250	WBC	8.4
UCSD.NC.P.014	NC-P-14	NP	0.000015	WBC	7.9
UCSD.NC.P.015	NC-P-15	NP	0.000244	WBC	5.9
UCSD.NC.P.016	NC-P-16	NP	0.000244	WBC	7.0
UCSD.NC.P.017	NC-P-17	NP	0.000061	WBC	6.3
UCSD.NC.P.018	NC-P-18	NP	0.000004	WBC	9.5
UCSD.NC.P.019	NC-P-19	NP	0.003906	WBC	5.3
UCSD.NC.P.020	NC-P-20	NP	0.007813	WBC	6.4
UCSD.NC.P.021	NC-P-21	NP	0.000977	WBC	10.3
UCSD.NC.P.022	NC-P-22	NP	0.000977	Spleen	9.0
UCSD.NC.P.023	NC-P-23	NP	0.007813	WBC	7.7
UCSD.NC.P.024	NC-P-24	NP	0.007813	WBC	7.0
UCSD.NC.P.025	NC-P-25	NP	0.000061	WBC	4.2
UCSD.NC.P.026	NC-P-26	NP	0.000244	Liver	3.6
UCSD.NC.P.027	NC-P-27	NP	0.000031	Spleen	6.2
UCSD.NC.P.029	NC-P-29	NP	0.000015	WBC	5.5
UCSD.NC.P.030	NC-P-30	NP	0.000488	WBC	5.0
UCSD.NC.P.031	NC-P-31	NP	0.009688	WBC	24.3
UCSD.NC.P.032	NC-P-32	NP	0.012558	WBC	31.5
UCSD.NC.P.033	NC-P-33	NP	0.019336	WBC	48.5
UCSD.NC.P.034	NC-P-34	NP	0.019934	WBC	50.0
UCSD.NC.P.035	NC-P-35	NP	0.016386	WBC	41.1
UCSD.NC.P.036	NC-P-36	NP	0.003269	WBC	8.2
UCSD.NC.P.037	NC-P-37	NP	0.028227	WBC	70.8
UCSD.NC.P.038	NC-P-38	NP	0.010286	WBC	25.8
UCSD.NC.P.039	NC-P-39	NP	0.003787	WBC	9.5
UCSD.NC.P.040	NC-P-40	NP	0.003229	WBC	8.1
UCSD.NC.P.041	NC-P-41	NP	0.006379	WBC	16.0
UCSD.NC.P.042	NC-P-43	NP	0.005302	WBC	13.3
UCSD.NC.P.043	NC-P-44	NP	0.009728	WBC	24.4
UCSD.NC.P.044	NC-P-45	NP	0.009847	WBC	24.7
UCSD.NC.P.045	NC-P-46	NP	0.006937	WBC	17.4
UCSD.NC.P.046	NC-P-47	NP	0.280671	WBC	70.4
UCSD.NC.P.047	NC-P-48	NP	0.004266	WBC	10.7
UCSD.NC.P.048	NC-P-49	NP	0.004266	WBC	10.7
UCSD.NC.P.049	NC-P-50	NP	0.004505	WBC	11.3
UCSD.NC.P.050	NC-P-51	NP	0.005582	WBC	14.0
UCSD.NC.P.051	NC-P-52	NP	0.058606	WBC	14.7
UCSD.NC.P.052	NC-P-53	NP	0.004625	WBC	11.6
UCSD.NC.P.053	NC-P-54	NP	0.005502	WBC	13.8
UCSD.NC.P.054	NC-P-55	NP	0.069769	WBC	175.0
UCSD.NC.P.055	NC-P-56	NP	0.005063	WBC	12.7
UCSD.NC.P.056	NC-P-57	NP	0.061796	WBC	15.5
UCSD.NC.P.057	NC-P-58	NP	0.005502	WBC	13.8
UCSD.NC.P.058	NC-P-59	NP	0.014233	WBC	35.7
UCSD.NC.P.059	NC-P-60	NP	0.008213	WBC	20.6
UCSD.NC.P.060	NC-P-61	NP	0.006219	WBC	15.6
UCSD.NC.P.061	NC-P-62	NP	0.013276	WBC	33.3
UCSD.NC.P.062	NC-P-63	NP	0.012758	WBC	32.0
UCSD.NC.P.063	NC-P-64	NP	0.003827	WBC	9.6
UCSD.NC.P.064	NC-P-65	NP	0.008372	WBC	21.0
UCSD.NC.P.065	NC-P-66	NP	0.047563	WBC	119.3
UCSD.NC.P.066	NC-P-67	NP	0.004904	WBC	12.3
UCSD.NC.P.067	NC-P-68	NP	0.009887	WBC	24.8
UCSD.NC.P.068	NC-P-69	NP	0.011043	WBC	27.7
UCSD.NC.P.069	NC-P-70	NP	0.006140	WBC	15.4
UCSD.NC.P.070	NC-P-71	NP	0.007575	WBC	19.0
UCSD.NC.P.071	NC-P-72	NP	0.006020	WBC	15.1
UCSD.NC.P.072	NC-P-73	NP	0.006618	WBC	16.6
UCSD.NC.P.073	NC-P-74	NP	0.009329	WBC	23.4
UCSD.NC.P.074	NC-P-75	NP	0.112428	Lung	28.2
UCSD.NC.P.075	NC-P-76	NP	0.007854	WBC	19.7
UCSD.NC.P.076	NC-P-77	NP	0.018858	WBC	47.3
UCSD.NC.P.077	NC-P-78	NP	0.029702	WBC	74.5
UCSD.NC.P.078	NC-P-79	NP	0.130648	WBC	327.7
UCSD.NC.P.079	NC-P-80	NP	0.004904	WBC	12.3
