	LCP1	LCP2	LCP3	LCP4	LCP5	LCP6	LCP7	LCP8	LCP9	LCP10	LCP11	LCP12	LCP13	LCP14	LCP15	LCP16	LCP17	LCP18	LCP19	LCP20	LCP21	LCP22	LCP23	LCP24	LCP25	LCP26	LCP27	LCP28	LCP29
Brain	14	21	15	21	11	17	12	15	14	16	20	35	17	23	13	15	24	23	17	19	22	21	16	20	20	19	15	13	25
Colon	14	21	17	15	18	15	18	10	15	16	11	18	22	15	17	21	17	17	25	22	23	23	19	11	12	17	12	17	19
Intestine	21	11	13	17	25	14	20	24	22	20	17	12	15	15	11	17	16	12	15	16	14	14	17	14	17	15	13	17	19
Kidney	21	12	15	18	25	22	16	15	17	22	22	21	12	22	25	15	23	19	26	12	19	20	11	14	19	21	18	21	12
Liver	15	23	12	16	18	10	14	12	16	21	19	21	20	14	23	15	16	16	15	17	16	10	12	16	22	17	11	19	18
Lung	26	41	41	36	52	47	35	38	38	45	34	37	34	38	29	33	34	56	31	34	42	38	36	30	62	36	43	46	45
Pancreas	20	12	10	19	20	23	19	20	18	22	10	10	14	26	27	19	20	16	18	19	14	20	19	13	14	23	15	16	20
Spleen	22	17	24	13	23	19	11	22	18	19	17	12	13	13	19	16	19	18	12	12	12	14	16	14	17	16	23	11	15
stomach	13	18	12	15	19	11	24	19	16	15	13	21	19	11	19	25	14	15	19	11	23	22	21	15	15	16	21	19	17
WBC	15	14	12	11	12	18	9	16	19	15	27	23	14	24	12	14	18	30	15	16	14	20	11	16	42	10	30	31	15
CT	19	15	24	16	15	19	16	15	16	17	19	19	17	18	17	18	19	18	24	21	23	23	21	25	15	23	21	22	21
