	X6.P.1.sorted.clipped.bam.hapInfo.txt.hap	X6.P.10.sorted.clipped.bam.hapInfo.txt.hap	X6.P.2.sorted.clipped.bam.hapInfo.txt.hap	X6.P.3.sorted.clipped.bam.hapInfo.txt.hap	X6.P.4.sorted.clipped.bam.hapInfo.txt.hap	X6.P.5.sorted.clipped.bam.hapInfo.txt.hap	X6.P.6.sorted.clipped.bam.hapInfo.txt.hap	X6.P.7.sorted.clipped.bam.hapInfo.txt.hap	X6.P.8.sorted.clipped.bam.hapInfo.txt.hap	X6.P.9.sorted.clipped.bam.hapInfo.txt.hap	RRBS.6P11.sorted.clipped.bam.hapInfo.txt.hap	RRBS.6P12.sorted.clipped.bam.hapInfo.txt.hap	RRBS.6P13.sorted.clipped.bam.hapInfo.txt.hap	RRBS.6P14.sorted.clipped.bam.hapInfo.txt.hap	RRBS.6P15.sorted.clipped.bam.hapInfo.txt.hap	RRBS.6P16.sorted.clipped.bam.hapInfo.txt.hap	RRBS.6P17.sorted.clipped.bam.hapInfo.txt.hap	RRBS.6P18.sorted.clipped.bam.hapInfo.txt.hap	RRBS.6P19.sorted.clipped.bam.hapInfo.txt.hap	RRBS.6P20.sorted.clipped.bam.hapInfo.txt.hap	RRBS.6P21.sorted.clipped.bam.hapInfo.txt.hap	RRBS.6P22.sorted.clipped.bam.hapInfo.txt.hap	RRBS.6P23.sorted.clipped.bam.hapInfo.txt.hap	RRBS.6P24.sorted.clipped.bam.hapInfo.txt.hap	RRBS.6P25.sorted.clipped.bam.hapInfo.txt.hap	RRBS.6P26.sorted.clipped.bam.hapInfo.txt.hap	RRBS.6P27.sorted.clipped.bam.hapInfo.txt.hap	RRBS.6P28.sorted.clipped.bam.hapInfo.txt.hap	RRBS.6P29.sorted.clipped.bam.hapInfo.txt.hap	RRBS.6P30.sorted.clipped.bam.hapInfo.txt.hap
Brain	8	12	11	13	16	10	11	18	14	9	15	12	17	15	9	14	19	10	10	11	22	19	11	14	13	12	13	13	10	14
Colon	23	34	25	26	33	20	19	34	19	21	30	74	34	31	51	44	90	37	28	34	99	62	51	41	25	32	53	33	44	18
CT	5	0	1	4	3	1	0	5	1	2	3	3	5	3	4	3	10	1	1	3	5	3	1	3	3	2	4	0	1	2
Intestine	20	38	31	34	30	26	15	22	22	29	20	54	33	28	18	23	40	24	18	18	46	46	23	26	16	13	45	24	16	16
Kidney	17	21	28	23	25	24	21	22	20	25	25	23	17	25	17	18	39	18	13	14	26	45	29	31	23	16	27	18	20	20
Liver	27	17	16	15	70	24	20	48	24	34	18	45	28	33	32	25	32	21	19	18	59	110	27	25	13	14	26	17	18	22
Lung	26	29	23	28	27	18	10	25	24	20	18	30	22	14	21	19	33	10	15	16	39	34	31	21	28	15	22	22	19	18
Pancreas	9	16	10	21	19	11	8	26	13	17	12	43	24	17	18	20	33	10	13	20	54	37	15	21	10	17	14	19	14	19
Spleen	23	32	28	42	38	28	24	31	26	24	21	42	36	23	30	22	40	24	26	26	57	48	41	26	23	20	35	38	27	21
Stomach	13	19	14	18	15	17	14	17	10	20	17	35	21	17	17	16	39	11	14	15	39	38	25	21	12	15	26	8	18	12
WBC	24	30	29	38	32	31	20	32	23	29	33	22	44	26	18	23	31	22	23	23	40	46	43	23	20	17	30	32	26	21
