	LCP1	LCP2	LCP3	LCP4	LCP5	LCP6	LCP7	LCP8	LCP9	LCP10	LCP11	LCP12	LCP13	LCP14	LCP15	LCP16	LCP17	LCP18	LCP19	LCP20	LCP21	LCP22	LCP23	LCP24	LCP25	LCP26	LCP27	LCP28	LCP29
Brain	-0.435434943622064	0.736889904591185	-0.267959965305886	0.736889904591185	-0.9378598785706	0.0669899913264712	-0.770384900254422	-0.267959965305886	-0.435434943622064	-0.100484986989707	0.569414926275007	3.08153960101769	0.0669899913264712	1.07183986122354	-0.602909921938243	-0.267959965305886	1.23931483953972	1.07183986122354	0.0669899913264712	0.401939947958828	0.904364882907364	0.736889904591185	-0.100484986989707	0.569414926275007	0.569414926275007	0.401939947958828	-0.267959965305886	-0.602909921938243	1.4067898178559
Colon	-0.635107348829956	0.754189976735573	-0.0396942093018721	-0.436636302320594	0.158776837207489	-0.436636302320594	0.158776837207489	-1.4289915348674	-0.436636302320594	-0.238165255811233	-1.23052048835804	0.158776837207489	0.952661023244934	-0.436636302320594	-0.0396942093018721	0.754189976735573	-0.0396942093018721	-0.0396942093018721	1.54807416277302	0.952661023244934	1.15113206975429	1.15113206975429	0.35724788371685	-1.23052048835804	-1.03204944184868	-0.0396942093018721	-1.03204944184868	-0.0396942093018721	0.35724788371685
Intestine	0.805005814227978	-1.2555892733863	-0.843470255863444	-0.0192322208177333	1.62924384927369	-0.637410747102017	0.59894630546655	1.42318434051226	1.01106532298941	0.59894630546655	-0.0192322208177333	-1.04952976462487	-0.431351238340589	-0.431351238340589	-1.2555892733863	-0.0192322208177333	-0.225291729579161	-1.04952976462487	-0.431351238340589	-0.225291729579161	-0.637410747102017	-0.637410747102017	-0.0192322208177333	-0.637410747102017	-0.0192322208177333	-0.431351238340589	-0.843470255863444	-0.0192322208177333	0.392886796705122
Kidney	0.826562303755006	-1.24752526142949	-0.556162739701324	0.135199782026841	1.74837899939256	1.05701647766439	-0.325708565791936	-0.556162739701324	-0.0952543918825473	1.05701647766439	1.05701647766439	0.826562303755006	-1.24752526142949	1.05701647766439	1.74837899939256	-0.556162739701324	1.28747065157378	0.365653955936229	1.97883317330195	-1.24752526142949	0.365653955936229	0.596108129845618	-1.47797943533888	-0.786616913610713	0.365653955936229	0.826562303755006	0.135199782026841	0.826562303755006	-1.24752526142949
Liver	-0.563032454914018	0.81582253671215	-1.08010307677383	-0.390675580960747	-0.0459618330542054	-1.42481682468037	-0.735389328867289	-1.08010307677383	-0.390675580960747	0.471108788805608	0.126395040899066	0.471108788805608	0.298751914852337	-0.735389328867289	0.81582253671215	-0.563032454914018	-0.390675580960747	-0.390675580960747	-0.563032454914018	-0.218318707007476	-0.390675580960747	-1.42481682468037	-1.08010307677383	-0.390675580960747	0.643465662758879	-0.218318707007476	-1.2524599507271	0.126395040899066	-0.0459618330542054
Lung	1.70991276177838	4.60262232117789	4.60262232117789	3.63838580137805	6.72394266473753	5.7597061449377	3.44553849741809	4.02408040929799	4.02408040929799	5.37401153701776	3.25269119345812	3.83123310533802	3.25269119345812	4.02408040929799	2.28845467365828	3.05984388949815	3.25269119345812	7.4953318805774	2.67414928157822	3.25269119345812	4.79546962513786	4.02408040929799	3.63838580137805	2.48130197761825	8.65241570433721	3.63838580137805	4.98831692909783	5.56685884097773	5.37401153701776
Pancreas	0.658533753079165	-1.0372613192277	-1.46121008730441	0.446559369040807	0.658533753079165	1.29445690519424	0.446559369040807	0.658533753079165	0.234584985002449	1.08248252115588	-1.46121008730441	-1.46121008730441	-0.613312551150982	1.93038005730931	2.14235444134767	0.446559369040807	0.658533753079165	-0.189363783074267	0.234584985002449	0.446559369040807	-0.613312551150982	0.658533753079165	0.446559369040807	-0.82528693518934	-0.613312551150982	1.29445690519424	-0.401338167112624	-0.189363783074267	0.658533753079165
Spleen	1.06588457087056	0.00845940135611539	1.48885463867634	-0.837480734255442	1.27736960477345	0.431429469161894	-1.26045080206122	1.06588457087056	0.219944435259005	0.431429469161894	0.00845940135611539	-1.04896576815833	-0.837480734255442	-0.837480734255442	0.431429469161894	-0.203025632546774	0.431429469161894	0.219944435259005	-1.04896576815833	-1.04896576815833	-1.04896576815833	-0.625995700352553	-0.203025632546774	-0.625995700352553	0.00845940135611539	-0.203025632546774	1.27736960477345	-1.26045080206122	-0.414510666449663
stomach	-0.728728558815754	0.268618921315297	-0.928198054841964	-0.329789566763334	0.468088417341507	-1.12766755086817	1.46543589747256	0.468088417341507	-0.130320070737124	-0.329789566763334	-0.728728558815754	0.867027409393927	0.468088417341507	-1.12766755086817	0.468088417341507	1.66490539349877	-0.529259062789544	-0.329789566763334	0.468088417341507	-1.12766755086817	1.26596640144635	1.06649690542014	0.867027409393927	-0.329789566763334	-0.329789566763334	-0.130320070737124	0.867027409393927	0.468088417341507	0.0691494252890864
WBC	-3.22250172996562	-3.35265123440688	-3.6129502432894	-3.74309974773066	-3.6129502432894	-2.83205321664184	-4.00339875661318	-3.09235222552436	-2.70190371220058	-3.22250172996562	-1.66070767667049	-2.18130569443553	-3.35265123440688	-2.05115618999427	-3.6129502432894	-3.35265123440688	-2.83205321664184	-1.27025916334671	-3.22250172996562	-3.09235222552436	-3.35265123440688	-2.57175420775931	-3.74309974773066	-3.09235222552436	0.291534889948425	-3.87324925217192	-1.27025916334671	-1.14010965890544	-3.22250172996562
CT	5.38446478758585	3.4429510420621	7.81135696949052	3.92832947844304	3.4429510420621	5.38446478758585	3.92832947844304	3.4429510420621	3.92832947844304	4.41370791482397	5.38446478758585	5.38446478758585	4.41370791482397	4.89908635120491	4.41370791482397	4.89908635120491	5.38446478758585	4.89908635120491	7.81135696949052	6.35522166034772	7.32597853310959	7.32597853310959	6.35522166034772	8.29673540587146	3.4429510420621	7.32597853310959	6.35522166034772	6.84060009672865	6.35522166034772
