	X7.P.1.sorted.clipped.bam.hapInfo.txt.hap	X7.P.10.sorted.clipped.bam.hapInfo.txt.hap	X7.P.2.sorted.clipped.bam.hapInfo.txt.hap	X7.P.3.sorted.clipped.bam.hapInfo.txt.hap	X7.P.4.sorted.clipped.bam.hapInfo.txt.hap	X7.P.5.sorted.clipped.bam.hapInfo.txt.hap	X7.P.6.sorted.clipped.bam.hapInfo.txt.hap	X7.P.7.sorted.clipped.bam.hapInfo.txt.hap	X7.P.8.sorted.clipped.bam.hapInfo.txt.hap	X7.P.9.sorted.clipped.bam.hapInfo.txt.hap	RRBS.7P11.sorted.clipped.bam.hapInfo.txt.hap	RRBS.7P12.sorted.clipped.bam.hapInfo.txt.hap	RRBS.7P13.sorted.clipped.bam.hapInfo.txt.hap	RRBS.7P14.sorted.clipped.bam.hapInfo.txt.hap	RRBS.7P15.sorted.clipped.bam.hapInfo.txt.hap	RRBS.7P16.sorted.clipped.bam.hapInfo.txt.hap	RRBS.7P17.sorted.clipped.bam.hapInfo.txt.hap	RRBS.7P18.sorted.clipped.bam.hapInfo.txt.hap	RRBS.7P19.sorted.clipped.bam.hapInfo.txt.hap	RRBS.7P20.sorted.clipped.bam.hapInfo.txt.hap	RRBS.7P21.sorted.clipped.bam.hapInfo.txt.hap	RRBS.7P22.sorted.clipped.bam.hapInfo.txt.hap	RRBS.7P23.sorted.clipped.bam.hapInfo.txt.hap	RRBS.7P25.sorted.clipped.bam.hapInfo.txt.hap	RRBS.7P26.sorted.clipped.bam.hapInfo.txt.hap	RRBS.7P27.sorted.clipped.bam.hapInfo.txt.hap	RRBS.7P28.sorted.clipped.bam.hapInfo.txt.hap	RRBS.7P29.sorted.clipped.bam.hapInfo.txt.hap	RRBS.7P30.sorted.clipped.bam.hapInfo.txt.hap
Brain	13	14	12	8	21	17	18	15	18	14	17	13	7	17	16	11	11	36	19	13	7	18	17	15	14	16	6	10	28
Colon	20	21	27	25	42	22	20	13	26	17	27	19	16	25	31	23	34	51	25	24	17	43	28	19	17	33	16	14	42
CT	5	8	3	0	2	3	2	8	6	1	3	7	5	3	6	5	3	5	8	2	2	2	6	1	5	2	3	2	6
Intestine	34	27	20	23	54	23	27	21	30	25	25	21	27	25	12	23	34	68	34	32	19	59	28	21	17	32	11	20	55
Kidney	25	18	16	16	37	20	21	26	23	16	30	21	17	27	16	17	27	54	23	30	24	41	27	15	17	27	14	14	41
Liver	18	49	40	17	53	18	24	26	22	36	30	29	17	24	27	35	22	43	28	27	15	32	26	23	9	31	25	18	44
Lung	35	32	34	16	41	28	34	21	28	27	43	43	23	29	37	40	27	59	37	37	28	50	43	24	20	58	36	30	46
Pancreas	14	13	16	14	35	15	13	14	21	10	23	23	13	19	17	20	19	65	18	26	11	19	20	12	5	32	14	12	35
Spleen	38	29	35	32	50	41	36	24	42	19	41	31	18	20	22	32	44	51	31	26	20	56	46	29	17	38	20	17	77
Stomach	24	13	13	19	42	13	17	16	21	17	25	9	10	20	9	21	22	53	19	32	15	37	20	13	22	27	14	11	37
WBC	47	28	31	28	47	27	26	38	36	26	38	33	12	33	15	24	53	41	39	44	21	39	49	22	12	20	20	16	67
