	X7.P.1.sorted.clipped.bam.hapInfo.txt.hap	X7.P.10.sorted.clipped.bam.hapInfo.txt.hap	X7.P.2.sorted.clipped.bam.hapInfo.txt.hap	X7.P.3.sorted.clipped.bam.hapInfo.txt.hap	X7.P.4.sorted.clipped.bam.hapInfo.txt.hap	X7.P.5.sorted.clipped.bam.hapInfo.txt.hap	X7.P.6.sorted.clipped.bam.hapInfo.txt.hap	X7.P.7.sorted.clipped.bam.hapInfo.txt.hap	X7.P.8.sorted.clipped.bam.hapInfo.txt.hap	X7.P.9.sorted.clipped.bam.hapInfo.txt.hap	RRBS.7P11.sorted.clipped.bam.hapInfo.txt.hap	RRBS.7P12.sorted.clipped.bam.hapInfo.txt.hap	RRBS.7P13.sorted.clipped.bam.hapInfo.txt.hap	RRBS.7P14.sorted.clipped.bam.hapInfo.txt.hap	RRBS.7P15.sorted.clipped.bam.hapInfo.txt.hap	RRBS.7P16.sorted.clipped.bam.hapInfo.txt.hap	RRBS.7P17.sorted.clipped.bam.hapInfo.txt.hap	RRBS.7P18.sorted.clipped.bam.hapInfo.txt.hap	RRBS.7P19.sorted.clipped.bam.hapInfo.txt.hap	RRBS.7P20.sorted.clipped.bam.hapInfo.txt.hap	RRBS.7P21.sorted.clipped.bam.hapInfo.txt.hap	RRBS.7P22.sorted.clipped.bam.hapInfo.txt.hap	RRBS.7P23.sorted.clipped.bam.hapInfo.txt.hap	RRBS.7P25.sorted.clipped.bam.hapInfo.txt.hap	RRBS.7P26.sorted.clipped.bam.hapInfo.txt.hap	RRBS.7P27.sorted.clipped.bam.hapInfo.txt.hap	RRBS.7P28.sorted.clipped.bam.hapInfo.txt.hap	RRBS.7P29.sorted.clipped.bam.hapInfo.txt.hap	RRBS.7P30.sorted.clipped.bam.hapInfo.txt.hap
Brain	-1.71302843411341	-2.19242071977948	-2.19242071977948	-2.43211686261252	-1.47333229128038	-1.95272457694645	-1.47333229128038	-2.91150914827858	-1.95272457694645	-1.47333229128038	-1.71302843411341	-1.47333229128038	-2.43211686261252	-2.43211686261252	-2.19242071977948	-2.43211686261252	-1.95272457694645	1.88241370838209	-1.71302843411341	-2.19242071977948	-2.43211686261252	-1.47333229128038	-1.95272457694645	-2.19242071977948	-1.95272457694645	-1.47333229128038	-1.71302843411341	-2.67181300544555	-1.47333229128038
Colon	-2.37627076353883	-2.08671705555278	-1.21805593159464	-1.79716334756673	-1.21805593159464	-1.65238649357371	-1.79716334756673	-2.37627076353883	-2.2314939095458	-2.37627076353883	-0.928502223608591	-2.2314939095458	-2.52104761753185	-1.36283278558766	-1.50760963958069	-2.08671705555278	-2.2314939095458	0.519266316321645	-1.65238649357371	-1.94194020155976	-2.08671705555278	-1.21805593159464	-2.08671705555278	-2.37627076353883	-2.2314939095458	-0.783725369615568	-2.2314939095458	-2.52104761753185	-1.07327907760162
CT	0.166232338752212	2.79095347694503	0.166232338752212	0.166232338752212	4.75949433058963	2.13477319239682	0.166232338752212	-0.489947945795992	1.47859290784862	0.822412623300415	3.44713376149323	1.47859290784862	-1.1461282303442	2.79095347694503	0.166232338752212	3.44713376149323	0.166232338752212	38.8808691270962	2.13477319239682	2.79095347694503	0.822412623300415	11.3212971760717	2.79095347694503	-1.1461282303442	0.166232338752212	12.6336577451681	1.47859290784862	0.166232338752212	5.41567461513784
Intestine	-2.10755034482453	-1.9802828119245	-2.3620854106246	-2.61662047642466	-0.453072417124114	-1.9802828119245	-1.72574774612444	-2.23481787772457	-1.21667761452431	-1.47121268032437	-1.5984802132244	-2.3620854106246	-1.9802828119245	-2.3620854106246	-2.61662047642466	-2.23481787772457	-1.9802828119245	2.98315097117675	-1.5984802132244	-1.47121268032437	-2.48935294352463	-0.962142548724243	-1.85301527902447	-2.3620854106246	-2.23481787772457	-0.834875015824211	-2.3620854106246	-1.9802828119245	-1.9802828119245
Kidney	-2.08537228344036	-1.81594433984341	-2.08537228344036	-2.3548002270373	-1.81594433984341	-2.08537228344036	-2.08537228344036	-1.95065831164188	-2.08537228344036	-2.22008625523883	-1.14237448085105	-1.95065831164188	-2.3548002270373	-1.81594433984341	-2.08537228344036	-2.22008625523883	-1.41180242444799	1.14776303972299	-1.81594433984341	-1.81594433984341	-1.41180242444799	-0.73823256545563	-1.95065831164188	-2.22008625523883	-2.3548002270373	-1.41180242444799	-1.95065831164188	-1.95065831164188	-1.00766050905257
Liver	-1.72028861565618	-0.314352823313536	-1.17954408013978	-2.15288424406931	-0.0980550091069744	-1.93658642986274	-1.82843752275946	-1.72028861565618	-1.28769298724306	-0.422501730416816	-0.963246265933219	-1.28769298724306	-1.93658642986274	-1.6121397085529	-1.17954408013978	-1.0713951730365	-1.72028861565618	-0.206203916210255	-1.0713951730365	-1.17954408013978	-1.50399080144962	-0.746948451726658	-1.50399080144962	-1.39584189434634	-2.26103315117259	-0.530650637520097	-0.855097358829939	-1.6121397085529	-0.422501730416816
Lung	-0.312460280549152	-1.66445187907914	-0.312460280549152	-1.96489445653025	-0.763124146725814	-1.06356672417692	-1.21378801290248	-2.1151157452558	-1.51423059035358	-1.51423059035358	0.88931002925528	0.88931002925528	-0.462681569274706	-0.763124146725814	0.13820358562751	-0.162238991823598	-1.51423059035358	2.54174420523637	-0.162238991823598	-1.06356672417692	-0.913345435451368	0.13820358562751	0.739088740529726	-1.06356672417692	-1.06356672417692	2.24130162778527	-0.162238991823598	-0.61290285800026	-0.312460280549152
Pancreas	-2.45803618345339	-2.62670289320545	-1.78336934444514	-2.12070276394927	-1.61470263469308	-2.12070276394927	-2.28936947370133	-2.12070276394927	-2.12070276394927	-2.28936947370133	-1.61470263469308	-0.940035795684829	-2.12070276394927	-2.12070276394927	-1.61470263469308	-1.61470263469308	-2.62670289320545	3.78263207737292	-2.12070276394927	-2.28936947370133	-1.9520360541972	-1.44603592494102	-2.28936947370133	-2.28936947370133	-2.45803618345339	-0.096702246924516	-1.9520360541972	-1.27736921518895	-1.44603592494102
Spleen	-1.78193249745785	-1.87718904578952	-1.87718904578952	-1.78193249745785	-1.2103932074678	-1.2103932074678	-1.40090630413115	-1.87718904578952	-1.5914194007945	-2.06770214245287	-1.49616285246282	-1.49616285246282	-2.35347178744789	-2.16295869078454	-2.25821523911622	-1.5914194007945	-1.11513665913613	-0.257827724151064	-1.40090630413115	-1.68667594912617	-2.25821523911622	-1.11513665913613	-1.40090630413115	-1.68667594912617	-2.54398488411124	-1.2103932074678	-1.68667594912617	-2.06770214245287	-1.11513665913613
Stomach	-1.83309626364401	-2.15965735574211	-1.66981571759496	-1.66981571759496	-0.363571349202552	-2.32293790179116	-1.83309626364401	-2.48621844784021	-1.83309626364401	-2.15965735574211	-1.34325462549685	-2.15965735574211	-2.48621844784021	-1.83309626364401	-2.15965735574211	-1.99637680969306	-2.15965735574211	1.59579520338605	-1.34325462549685	-1.83309626364401	-2.32293790179116	-0.526851895251603	-1.99637680969306	-2.32293790179116	-1.50653517154591	-1.34325462549685	-1.99637680969306	-2.15965735574211	-1.83309626364401
