id	filename	md5	size	state
38b48833-d9a0-48ea-8eae-1523a52af740	jhu-usc.edu_PAAD.HumanMethylation450.12.lvl-3.TCGA-2J-AABI-01A-12D-A40Y-05.txt	acd0db7f4c39a94b3910bc7f00854cac	21208220	live
54545178-6d94-4364-ba9c-6d48277c7ccf	jhu-usc.edu_PAAD.HumanMethylation450.2.lvl-3.TCGA-IB-7888-01A-11D-2157-05.txt	bf5ace27094beb01639776fa3b41371b	21271737	live
289ef562-41d8-48e3-b69d-cbae5a97a759	jhu-usc.edu_PAAD.HumanMethylation450.7.lvl-3.TCGA-FB-A7DR-01A-21D-A33U-05.txt	17a909bb8464b225e99dfaa63f467024	21272450	live
0f608233-751f-4412-b2b2-0fa953d73e06	jhu-usc.edu_PAAD.HumanMethylation450.11.lvl-3.TCGA-HV-AA8X-01A-11D-A398-05.txt	e72146cc739ff7dcb59219975fa9d7a8	21281082	live
160a278e-53ca-45d5-9670-5f80371d30e4	jhu-usc.edu_PAAD.HumanMethylation450.6.lvl-3.TCGA-IB-A5SS-01A-11D-A32S-05.txt	a0f14f14b299e290092ba9bab3444c7c	21288132	live
2b0a3004-b436-4ed1-8637-a8aa45dfa511	jhu-usc.edu_PAAD.HumanMethylation450.11.lvl-3.TCGA-3A-A9IU-01A-11D-A398-05.txt	067f3795906f04bb3b6f9c0668f72433	21296108	live
71b1bdac-7a97-4b2a-b986-1b6772dc4a16	jhu-usc.edu_PAAD.HumanMethylation450.2.lvl-3.TCGA-HZ-7289-01A-11D-2157-05.txt	e6a001aca4002e70324604311ea413e1	21290710	live
9353465c-a7cd-494e-8e36-4ed543001ee6	jhu-usc.edu_PAAD.HumanMethylation450.3.lvl-3.TCGA-HZ-8001-01A-11D-2202-05.txt	e608d5cfd1ae647f57eac11af9f1d02d	21277193	live
da91875d-5403-4202-b9f1-d81500e6a6d0	jhu-usc.edu_PAAD.HumanMethylation450.8.lvl-3.TCGA-YB-A89D-01A-12D-A368-05.txt	2dd51b54386366c02eea002b530dc2d1	21284537	live
964ac96d-cdd8-4a37-8867-f7a5516a3d46	jhu-usc.edu_PAAD.HumanMethylation450.10.lvl-3.TCGA-3E-AAAZ-01A-11D-A38H-05.txt	9688a7d3a592d4c97dabe5a80daf5aef	21281299	live
88b1ee6d-bedd-4c8d-8c75-42a5f3b741df	jhu-usc.edu_PAAD.HumanMethylation450.4.lvl-3.TCGA-HZ-8315-01A-11D-2399-05.txt	35b15c265d0b785441f1ff625ec6fdb5	21283954	live
676d0022-687e-479c-a9d3-c64d71bd1705	jhu-usc.edu_PAAD.HumanMethylation450.12.lvl-3.TCGA-3A-A9IX-01A-11D-A40Y-05.txt	761abac5b56c02819faccb33b792347b	21281052	live
