	Coefficient	ci.lb	ci.ub	pvalue	tau2	QE	QE.P-value
sampletype	0.18	-1.14	1.49	0.793769562719437	0.9	52.84	1.92204415639195e-07
age	-0.15	-0.3	0	0.0521515699174238	0.94	40.03	3.16050585931573e-06
stage1	-3.92	-7.89	0.05	0.0529209203340343	0.76	35.74	8.12706044202243e-06
stage2	-3.98	-6.83	-1.14	0.00608981099600674	0.32	17.07	0.0293742384361632
genderatio	-5.38	-18.19	7.44	0.411212741236946	1.03	46.81	4.26209051643183e-07
methods	0.33	-1.14	1.81	0.656529472560795	0.85	53.51	1.44942682528052e-07
aim	1.45	0.15	2.74	0.028296162332094	0.88	51.44	3.44165144842883e-07
Multipletarget	0.36	-1.23	1.95	0.655877829920174	1.08	55.52	6.21874508729699e-08
controldesign	0.18	-1.14	1.49	0.793769562719437	0.9	52.84	1.92204415639195e-07
Ad2Sc	1.04	-0.74	2.82	0.251307549025923	0.92	51.41	1.46561556743915e-07
race	-0.3	-1.7	1.1	0.673079985338188	0.93	48.4	5.24574310797904e-07
