mean.A	mean.B	delta	Pvalue.ttest	p.adjust.BH	Pvalue.wilcox	a.shapiro.pvalue	b.shapiro.pvalue
?|100130426	0.0241472166540012	0.00836196799443373	0.0157852486595675	0.10497184815582	0.148356647242179	0.356990457511066	5.86671533529807e-41	5.43867823053409e-16
?|100133144	11.9524372289382	9.01980240381601	2.9326348251222	0.000532648888855264	0.00123470863013294	0.0436679144737384	1.92570887336359e-15	0.101548502914954
?|100134869	17.4449755421872	12.3071533679146	5.13782217427259	0.000144664060692984	0.000373644210603554	0.00270440175906067	5.47498346086436e-21	1.16780527578854e-07
?|10357	101.986439159222	149.405341980409	-47.4189028211865	1.04076432907851e-12	1.15656856822852e-11	1.73072041847682e-15	0.0138644204954328	0.621345952572939
?|10431	927.792327972113	844.011196032629	83.7811319394839	0.0105887186594515	0.0190115420023785	0.0271539576669386	5.39779507241119e-12	0.0023328056117464
?|136542	0.000102746267308678	8.75625287343157e-05	1.51837385743628e-05	0.300511327917679	0.370714298712844	0.413238842606357	0.182184395010193	0.866017725112927
?|155060	287.568568506172	137.162510926093	150.406057580079	5.71357010613461e-18	1.53742212121952e-16	1.49064866579807e-12	1.9828085117361e-22	8.9550128288684e-07
?|26823	0.483629634354079	0.19792334765498	0.285706286699099	1.74486445802957e-08	9.3145637513794e-08	0.00710938006003185	3.25722839508637e-27	3.3979886025307e-08
?|280660	0.00366836885573866	0.000110740431248895	0.00355762842448977	0.126782972400411	0.175337044907016	0.249428692790131	5.36729325550608e-44	0.196993942424488
?|317712	0.00290796808523414	0.000104670971704142	0.00280329711353	0.318316694717419	0.388275264777729	0.958597850693021	2.50572851244237e-44	0.519708749923955
?|340602	0.92439204118852	1.34375032492968	-0.419358283741164	0.026049404836173	0.0429023207678058	0.000201540623900548	6.59263242043203e-29	1.1593534164738e-07
?|388795	1.11340783546648	0.634641376265354	0.478766459201126	0.0104307068362086	0.0187458720285538	0.00641705224526731	1.35404414882147e-40	8.04423405328358e-09
?|390284	7.03010828461679	10.1342796940971	-3.10417140948036	3.15339698135514e-05	9.20028327756179e-05	2.5069565670931e-06	1.58140528786019e-13	0.0075110320515239
?|391343	0.216628135897199	0.275889207436914	-0.0592610715397152	0.794728545609745	0.831671938932345	0.125264141483301	1.98623245496736e-41	1.17549325394986e-15
?|391714	0.188260635815472	0.138168447211075	0.0500921886043975	0.288431640450933	0.357725625836541	0.106947605667294	8.99461434321666e-39	2.63918846909252e-11
?|404770	0.00175687421137869	0.000105475316401332	0.00165139889497736	0.198147800059097	0.258690861186145	0.856001409603021	3.7844585368813e-44	0.445044299083646
?|441362	0.00206243206833481	8.26260601451106e-05	0.0019798060081897	0.155274596108582	0.209196320802237	0.241954893748402	4.36598599657019e-44	0.00497829855018197
?|442388	0.104918637414313	0.0199159857277028	0.0850026516866104	0.00153232500149925	0.00325136054214356	0.30930952627355	1.40673725284496e-41	8.44061435494563e-15
?|553137	0.572782381314829	9.69517045259691	-9.12238807128208	0.0417448307707902	0.0651610370679764	0.0336061246965191	3.87282923665482e-36	7.6244935988e-14
?|57714	292.385824456162	371.681631041897	-79.2958065857351	0.00797458288592068	0.0147129907648129	0.000266013831305206	4.23721598764614e-22	0.00504112878020732
?|645851	7.56026188304648	4.57506977637581	2.98519210667067	2.00988706816028e-08	1.06106946249418e-07	0.000110668492427557	7.60723318357138e-18	0.0010261283546105
?|652919	17.3236755262122	23.6701033362157	-6.34642781000354	0.125723755919332	0.174019715012459	0.0350908312259188	8.99087810861265e-29	7.27345733081419e-07
?|653553	369.309026118924	654.347334384525	-285.038308265601	0.00127981402657195	0.00275543852553993	1.55137262468293e-08	1.66939242475436e-29	1.43619669038903e-09
?|728045	9.77488529525354e-05	0.00010446995153865	-6.72109858611489e-06	0.686525362828741	0.736226284890932	0.676909643937596	0.45742917412592	0.235987989496193
?|728603	0.330554754337556	0.367018427466822	-0.0364636731292664	0.77362538806923	0.813735480426731	0.708776757546511	2.90740505706853e-36	4.12916403123389e-12
?|728788	0.939650287926092	1.13150434643876	-0.191854058512664	0.283077165907851	0.352041752574601	0.327125999303102	4.7208948978954e-27	7.10953860313136e-06
?|729884	74.6631704615394	144.302339736435	-69.639169274896	0.140020167872248	0.191216846254166	0.000793468288818196	7.9800056500247e-42	1.03102353626692e-12
?|8225	977.427593857514	659.557630965668	317.869962891846	1.9723866311949e-26	2.11034731577924e-24	1.57809714883902e-13	8.1706146436997e-27	0.0245329183939986
?|90288	153.094638632406	88.4021575012856	64.6924811311203	5.72697628328443e-08	2.77640023783029e-07	8.80433176847904e-08	1.0962361272572e-24	0.000130576558512364
A1BG|1	59.6614907350346	113.979624072047	-54.318133337012	0.000573247606881199	0.00131943347722846	1.71858642260488e-09	2.88612367204736e-32	1.02865197934635e-08
