#node1	node2	node1_string_id	node2_string_id	node1_external_id	node2_external_id	neighborhood	fusion	cooccurence	homology	coexpression	experimental	knowledge	textmining	combined_score
RAB11B	HNRNPUL2	1851595	1848337	ENSP00000333547	ENSP00000301785	0.000	0.000	0.000	0.000	0.000	0.818	0.000	0.000	0.818
PEX5	PEX12	1860660	1843058	ENSP00000407401	ENSP00000225873	0.000	0.000	0.000	0.000	0.180	0.996	0.000	0.880	0.999
GLO1	PGM1	1855892	1855399	ENSP00000362463	ENSP00000360124	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.725	0.725
EZR	PRKCG	1852156	1845356	ENSP00000338934	ENSP00000263431	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.059	0.803
TBCD	TUBA1A	1853205	1848244	ENSP00000347719	ENSP00000301071	0.000	0.000	0.000	0.000	0.000	0.381	0.900	0.201	0.946
RPL34	SMG6	1858216	1845276	ENSP00000378160	ENSP00000263073	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
PNPLA1	PNPLA8	1858207	1844528	ENSP00000378072	ENSP00000257694	0.000	0.000	0.000	0.000	0.092	0.000	0.000	0.801	0.811
GPR17	KALRN	1846273	1843581	ENSP00000272644	ENSP00000240874	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
HNRNPUL1	RNPS1	1857971	1848328	ENSP00000375863	ENSP00000301730	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
GNAS	PRKACB	1855402	1855328	ENSP00000360141	ENSP00000359719	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.201	0.916
PPARG	SETDB1	1847090	1846207	ENSP00000287820	ENSP00000271640	0.000	0.000	0.000	0.000	0.000	0.566	0.900	0.181	0.961
IFITM3	IFITM1	1858761	1851288	ENSP00000382707	ENSP00000330825	0.000	0.000	0.000	0.972	0.000	0.000	0.900	0.811	0.902
ATP6V0E1	ATP6V0A2	1861726	1851449	ENSP00000427941	ENSP00000332247	0.000	0.000	0.000	0.000	0.000	0.227	0.900	0.892	0.991
DCC	TRIO	1859404	1852198	ENSP00000389140	ENSP00000339299	0.000	0.000	0.000	0.609	0.000	0.323	0.900	0.547	0.943
AGPAT1	AGPAT4	1852006	1849676	ENSP00000337463	ENSP00000314036	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.771	0.771
RHOT2	CDC42	1850404	1849707	ENSP00000321971	ENSP00000314458	0.000	0.000	0.000	0.707	0.000	0.089	0.900	0.193	0.909
FKBP5	ESR1	1852076	1842435	ENSP00000338160	ENSP00000206249	0.000	0.000	0.000	0.000	0.000	0.573	0.000	0.329	0.701
KPNA1	CSE1L	1852732	1845260	ENSP00000343701	ENSP00000262982	0.000	0.000	0.000	0.000	0.112	0.839	0.000	0.846	0.976
ITPR3	EXOC4	1856094	1844259	ENSP00000363435	ENSP00000253861	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.817	0.817
DUT	DTYMK	1857313	1848672	ENSP00000370376	ENSP00000304802	0.066	0.000	0.000	0.000	0.432	0.000	0.900	0.662	0.979
TOLLIP	PELI2	1849729	1845946	ENSP00000314733	ENSP00000267460	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.081	0.904
NUP93	RNPS1	1849329	1848328	ENSP00000310668	ENSP00000301730	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
RPL34	PABPC1	1858216	1849591	ENSP00000378160	ENSP00000313007	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.084	0.904
PIWIL2	MOV10L1	1853409	1845215	ENSP00000349208	ENSP00000262794	0.000	0.000	0.000	0.000	0.000	0.343	0.000	0.884	0.920
YBX1	HNRNPA2B1	1855704	1853084	ENSP00000361626	ENSP00000346694	0.000	0.000	0.000	0.000	0.105	0.843	0.900	0.391	0.990
HTR2A	TGFB1	1856916	1842869	ENSP00000367959	ENSP00000221930	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.812	0.812
COL18A1	COL9A3	1853197	1852483	ENSP00000347665	ENSP00000341640	0.000	0.000	0.000	0.624	0.000	0.000	0.900	0.177	0.905
ITPA	POLR3E	1857158	1848107	ENSP00000369456	ENSP00000299853	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
PPARG	FOXA1	1847090	1844009	ENSP00000287820	ENSP00000250448	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.854	0.854
CALM1	CCNE1	1853445	1845190	ENSP00000349467	ENSP00000262643	0.000	0.000	0.000	0.000	0.000	0.812	0.000	0.114	0.826
TEK	CSF1	1857139	1850929	ENSP00000369375	ENSP00000327513	0.000	0.000	0.000	0.000	0.000	0.064	0.800	0.116	0.820
ITPR3	CALM1	1856094	1853445	ENSP00000363435	ENSP00000349467	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.224	0.919
OBSCN	ARHGAP20	1862970	1844774	ENSP00000455507	ENSP00000260283	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.041	0.900
CNR2	LPAR1	1856124	1853763	ENSP00000363596	ENSP00000351755	0.000	0.000	0.000	0.685	0.000	0.000	0.900	0.000	0.900
NDE1	TUBA1A	1852988	1848244	ENSP00000345892	ENSP00000301071	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.303	0.927
ROR2	WNT4	1856365	1847209	ENSP00000364860	ENSP00000290167	0.000	0.000	0.000	0.000	0.000	0.218	0.000	0.715	0.768
HLA-DRB1	DYNC1H1	1853944	1853378	ENSP00000353099	ENSP00000348965	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
RYR2	CACNA1C	1854400	1845866	ENSP00000355533	ENSP00000266376	0.000	0.000	0.000	0.000	0.093	0.576	0.000	0.977	0.990
GNAS	PDE4A	1855402	1846154	ENSP00000360141	ENSP00000270474	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.231	0.919
PRKACB	EZR	1855328	1852156	ENSP00000359719	ENSP00000338934	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
OBSCN	CALM1	1862970	1853445	ENSP00000455507	ENSP00000349467	0.000	0.000	0.000	0.000	0.000	0.691	0.000	0.724	0.911
DEPTOR	RHEB	1847000	1845084	ENSP00000286234	ENSP00000262187	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.583	0.956
