	Category
X1657.normal_lung.lungnormaltissue.Signal	1
X1686.Nlung.571.lungnormaltissue.Signal	1
X1688.Nlung.593.lungnormaltissue.Signal	1
X10001.LN	1
X10004.LN	1
X10008.LN	1
X10013.LN	1
TCGA.73.4670.11	2
TCGA.18.3410.11	2
TCGA.55.1594.11	2
TCGA.66.2788.11	2
TCGA.73.4666.11	2
TCGA.18.3414.11	2
TCGA.49.4501.11	2
TCGA.18.3416.11	2
TCGA.49.4505.11	2
TCGA.18.3407.11	2
TCGA.38.4628.11	2
TCGA.66.2790.11	2
TCGA.55.1592.11	2
TCGA.73.4675.11	2
TCGA.66.2795.11	2
TCGA.18.3421.11	2
TCGA.18.3415.11	2
TCGA.73.4662.11	2
TCGA.18.3408.11	2
TCGA.66.2744.11	2
TCGA.73.4668.11	2
TCGA.18.3406.11	2
TCGA.44.4112.11	2
TCGA.44.3918.11	2
TCGA.73.4659.11	2
TCGA.49.4510.11	2
TCGA.66.2787.11	2
TCGA.38.4629.11	2
TCGA.66.2754.11	2
TCGA.66.2734.11	2
TCGA.66.2727.11	2
TCGA.66.2742.11	2
TCGA.66.2753.11	2
TCGA.49.4506.11	2
TCGA.49.4486.11	2
TCGA.49.4494.11	2
TCGA.44.3919.11	2
TCGA.18.3409.11	2
TCGA.18.3411.11	2
TCGA.66.2792.11	2
TCGA.38.4630.11	2
TCGA.73.4677.11	2
TCGA.18.3419.11	2
TCGA.55.1596.11	2
TCGA.66.2737.11	2
TCGA.18.3412.11	2
TCGA.66.2789.11	2
TCGA.66.2771.11	2
TCGA.55.1595.11	2
TCGA.66.2791.11	2
TCGA.49.4507.11	2
X13.LN	2
X15.LN	2
X21.LN	2
X23.LN	2
X24.LN	2
X44.LN	2
X46.LN	2
X56.LN	2
X68.LN	2
X71.LN	2
X77.LN	2
X100.LN	2
X113.LN	2
X115.LN	2
X116.LN	2
X119.LN	2
X127.LN	2
X140.LN	2
X141.LN	2
X142.LN	2
X146.LN	2
X202.LN	2
X204.LN	2
X205.LN	2
X211.LN	2
X224.LN	2
X226.LN	2
X233.LN	2
X234.LN	2
X244.LN	2
X245.LN	2
X268.LN	2
X286.LN	2
X307.LN	2
X528.LN	2
X554.LN	2
X587.LN	2
X615.LN	2
X621.LN	2
X622.LN	2
X723.LN	2
X759.LN	2
X778.LN	2
X889.LN	2
X900.LN	2
X901.LN	2
X924.LN	2
X986.LN	2
X611.121_mas.lungtumortissue.Signal	3
X612..123.lungtumortissue.Signal	3
X613.132_mas.lungtumortissue.Signal	3
X614.185_mas.lungtumortissue.Signal	3
X615.187_mas.lungtumortissue.Signal	3
