CD8T	CD4T	NK	Bcell	Mono	Gran
200930770011R01C01	0.0832490740715655	0.0712060227836844	0.0615146916975557	0.00140589380315782	0.0922082546449851	0.642507887113285
200930770011R02C01	0.0360134400155947	0.103987496778031	0.037180896093047	0.00186739889900206	0.104530793778437	0.67085906704776
200930770011R03C01	0.0704234406115361	0.0894328075236318	0.055376237285421	0.0010090328441698	0.112558528435502	0.632510583990592
200930770011R04C01	0.054829743154294	0.101825310101942	0.0435029398276577	0.00972492110247698	0.0888168101946238	0.651473901579707
200930770011R05C01	0.0201478433903473	0.109750504833451	0.0574159612282911	0.0237890031771209	0.108955035330528	0.650726790986189
200930770011R06C01	0.0647025936126449	0.0763430164940436	0.0417337584670087	0.00694659138017007	0.0955122526315014	0.681882041062462
200930770011R07C01	0.0176192182694343	0.0855337140006092	0.051432629550413	0.00667092937381327	0.115134020640837	0.685907789613753
200930770011R08C01	0.02915499204871	0.109853789817095	0.0586451741626933	0.0156780768137929	0.0958516592098845	0.669678271906431
200932680132R01C01	0.0772196533819958	0.0609542790547631	0.0664536516915699	-1.73472347597681e-18	0.106653481473032	0.649595915654449
200932680132R02C01	0.0230788198103417	0.0715510844511457	0.0213571432474635	0	0.100877102546203	0.742462844536788
200932680132R03C01	0.0773915054141714	0.0715302663824856	0.0494180074680659	0.00548545660111779	0.104732345636591	0.652580060447203
200932680132R04C01	0.0356795090537355	0.112368066485053	0.0571486265487429	0.0104832829845984	0.0899344971919627	0.653018805727917
200932680132R05C01	0.0563098494923207	0.12672065631452	0.00708119032257851	0.00808683973154526	0.099886909707557	0.664711712438564
200932680132R06C01	0.0342499300289971	0.118250660279536	0.0280053668864297	-8.67361737988404e-19	0.106860554060528	0.663155794966369
200932680132R07C01	0.0141088530523169	0.115042997470649	0.0323171134074905	0.0181825518113913	0.0975786552130856	0.674302235446176
200932680132R08C01	0.0510864056574273	0.150858120880276	0.0286342000229684	0.0138997533015923	0.0936607830837966	0.641505195289554
200932680150R01C01	0.0450976662182352	0.11580572707632	0.0145981377805079	0.0353469693218942	0.104212371367624	0.636896042627422
200932680150R02C01	0.0696808321625513	0.105353733717802	0.0483975240250403	0.00710302748306	0.0928933381966284	0.638606800493069
200932680150R03C01	0.0402050576343991	0.0931354299219637	0.0443513525554773	0.00101799821018383	0.0978710402587078	0.620554527146304
200932680150R04C01	0.0322301659168041	0.124221003003983	0.0356234953044535	0.0105967560380735	0.101511894618077	0.656808986267114
200932680150R05C01	0.0199543834301408	0.140544769636105	0.0485037119878503	0.00686575107680611	0.09595572656534	0.652426130238334
200932680150R06C01	0.0589165724123946	0.0946995011163438	0.0252620772888331	0.0162533119434426	0.108923360354953	0.665434842469878
200932680150R07C01	7.85370460256885e-05	0.135013187946776	0.0772067101320138	0.0295291608794829	0.0970686505737322	0.648558427884801
200932680150R08C01	0.0149670360134074	0.147310125259081	0.0749519043283681	0.00637932710211381	0.080387006613696	0.646500576317193
200932680154R01C01	0.0299679003112722	0.0944920821743446	0.0532867045174078	0.00577039017436588	0.0977782594701403	0.682504060432721
200932680154R02C01	0.043874146858541	0.108402703538896	0.073863401085224	0.00674265351102039	0.0851231700150404	0.646186585436783
200932680154R03C01	0.0506127813820977	0.0835026639944744	0.0700492512342295	0.0525983484814517	0.0977648680160716	0.619825267330371
200932680154R04C01	0.023283843111782	0.154506542571376	0.055884814940119	0.0156969308965257	0.0886866145880862	0.634099934001919
200932680154R05C01	0.00695875612603768	0.0968195518606708	0.084402134447631	0.00886170313427613	0.0939364207248276	0.673865300324331
200932680154R06C01	0.0504202966556512	0.137247080614732	0.0516815933955485	0.0185308575198203	0.103089487743706	0.610873477246398
200932680154R07C01	0.0437886094799168	0.103644400778598	0.0731450406895505	0.0267710740626921	0.105467791832481	0.617587165204499
200932680154R08C01	0.0355349722781589	0.179147642209359	0.046072045964928	0.0285837643566503	0.0930883278773285	0.600361252342978
200932680147R01C01	0.0537908986266481	0.12046870133061	0.00126184164190517	0.0267453507977017	0.123374694517256	0.638961732359455
200932680147R02C01	0.0286885598209651	0.163010699632694	0.020260928452767	0.0233474947931201	0.094512210786229	0.635220530728207
200932680147R03C01	0.0463063260711809	0.119758201544271	0.0442230603004667	0.0323206703578431	0.098720270538055	0.626264648948513
200932680147R04C01	0.0163876742468872	0.110742014240929	0.040696438670408	0.0464823203670559	0.104722169343737	0.664141183623203
200932680147R05C01	0.026826825806568	0.150948314473643	0.056204921964749	0.0141838414030241	0.0901402677276759	0.637076401326505
200932680147R06C01	0.0157457518616416	0.1152462199585	0.0667817038996911	0.0158242102075659	0.0835890777692511	0.68324574746799
200932680147R07C01	0.0484410521957586	0.122136090472864	0.0339695426165076	0.0331555611418901	0.116978471315939	0.637449782498411
200932680147R08C01	0.0572820050952656	0.10173895559504	0.0358230753421575	0.0220031801509113	0.0994585115211944	0.676972382647734
200932680158R01C01	0.0731876661425682	0.122414596779846	0.0359350472350114	0.00313966818976805	0.0895324105954577	0.623733684029714
200932680158R02C01	0.0385097260867195	0.147437928495321	0.008076723857553	0.00938061148667111	0.0867938313753135	0.661083674926902
200932680158R03C01	0.0382104809121233	0.143799593799818	0.0337381156964736	0.00387495110703615	0.111786505904712	0.626932326326402
200932680158R04C01	0.0804300585176021	0.103580264171452	0.0504535738414034	0.0100876343897422	0.0969644234508039	0.615961628136735
200932680158R05C01	0.0319389907134326	0.110906897388152	0.0450569334193591	0.0173833746720824	0.102355802794914	0.655924261530445
200932680158R06C01	0.035214028322217	0.14509472613728	0.0584160721489693	0.0119144597207364	0.0851890898352522	0.625245815162474
200932680158R07C01	0.0353887078136021	0.117182866595195	0.0345481839827966	0.0109587677033444	0.102253516990403	0.667102125988717
200932680158R08C01	0.0297420478495928	0.144492369783541	0.0433667394770736	0.0137659215775872	0.118379842042415	0.634846726078632
