GLB1 (17 genes)
EntrezID	Symbol	stat(DNAm)	P(DNAm)	stat(Int)
2720	GLB1	4.4	6e-05	4.4
1743	DLST	-1.84	0.073	1.84
250	ALPP	0.75	0.458	0.75
55207	ARL8B	-1.3	0.199	1.3
3337	DNAJB1	-1.5	0.14	1.5
1583	CYP11A1	2	0.051	2
2990	GUSB	-2.45	0.018	2.45
9114	ATP6V0D1	-1.26	0.214	1.26
427	ASAH1	1.53	0.134	1.53
1588	CYP19A1	0.84	0.405	0.84
4758	NEU1	-2.08	0.043	2.08
79080	CCDC86	-1.9	0.064	1.9
251	ALPG	1.07	0.288	1.07
1728	NQO1	-1.52	0.136	1.52
1585	CYP11B2	0.46	0.644	0.46
2230	FDX1	-0.69	0.496	0.69
1584	CYP11B1	1.42	0.161	1.42
SYT4 (10 genes)
EntrezID	Symbol	stat(DNAm)	P(DNAm)	stat(Int)
6860	SYT4	3.64	6e-04	3.64
6449	SGTA	-1.59	0.117	1.59
7021	TFAP2B	1.41	0.165	1.41
6809	STX3	-1.5	0.14	1.5
2054	STX2	-1.73	0.09	1.73
10814	CPLX2	-1.14	0.26	1.14
9066	SYT7	-1.7	0.095	1.7
8334	HIST1H2AC	-0.84	0.407	0.84
4832	NME3	-1.02	0.312	1.02
6813	STXBP2	-1.99	0.052	1.99
SERPINF2 (13 genes)
EntrezID	Symbol	stat(DNAm)	P(DNAm)	stat(Int)
5345	SERPINF2	3.55	8e-04	3.55
2160	F11	2.56	0.014	2.56
2162	F13A1	0.06	0.953	0.06
5653	KLK6	1.53	0.133	1.53
1504	CTRB1	0.54	0.593	0.54
5644	PRSS1	1.29	0.204	1.29
26085	KLK13	-1.46	0.152	1.46
7980	TFPI2	-1.65	0.106	1.65
1670	DEFA5	1.22	0.228	1.22
27076	LYPD3	2.24	0.03	2.24
155465	AGR3	-1.1	0.276	1.1
11005	SPINK5	-0.12	0.902	0.12
462	SERPINC1	0.84	0.404	0.84
PEX10 (14 genes)
EntrezID	Symbol	stat(DNAm)	P(DNAm)	stat(Int)
5192	PEX10	-3.17	0.003	3.17
5824	PEX19	-1.57	0.122	1.57
5828	PEX2	-1.75	0.086	1.75
5193	PEX12	-2.57	0.013	2.57
11264	PXMP4	-2.44	0.018	2.44
10478	SLC25A17	-2.3	0.026	2.3
5825	ABCD3	-1.3	0.201	1.3
225	ABCD2	0.05	0.957	0.05
5830	PEX5	-1.4	0.167	1.4
