!Series_title	"Genome-wide profiling of the functional DNA methylation landscape at base-pair resolution in human cancer types"
!Series_geo_accession	"GSE76269"
!Series_status	"Public on Jun 07 2017"
!Series_submission_date	"Dec 22 2015"
!Series_last_update_date	"Jan 10 2019"
!Series_pubmed_id	"28581523"
!Series_summary	"High-resolution DNA methylation array analysis of human cancer samples and normal control tissue types."
!Series_overall_design	"Array based analysis of human cancer samples and normal control tissue types"
!Series_type	"Methylation profiling by genome tiling array"
!Series_contributor	"Manel,,Esteller"
!Series_contributor	"Holger,,Heyn"
