	Spe.train	Sen.train	Accu.train	Spe.test	Sen.test	Acc.test
1	1	1	1	1	1	1
2	1	1	1	1	1	1
3	1	1	1	0.888888888888889	0.5	0.818181818181818
4	1	1	1	1	0	0.818181818181818
5	1	1	1	0.833333333333333	0.5	0.7
6	1	1	1	1	1	1
7	1	1	1	1	0	0.909090909090909
8	1	1	1	1	1	1
9	1	1	1	0.875	0.5	0.8
10	1	1	1	1	1	1
11	1	1	1	1	0	0.818181818181818
12	1	1	1	1	1	1
13	1	1	1	1	1	1
14	1	1	1	0.875	1	0.9
15	1	1	1	1	1	1
16	1	1	1	1	0.666666666666667	0.909090909090909
17	1	1	1	1	0	0.818181818181818
18	1	1	1	1	0.5	0.9
19	1	1	1	1	0	0.818181818181818
20	1	1	1	1	0.5	0.909090909090909
21	1	1	1	1	1	1
22	1	1	1	1	0.5	0.818181818181818
23	1	1	1	1	1	1
24	1	1	1	1	0.666666666666667	0.909090909090909
25	1	1	1	1	1	1
26	1	1	1	1	0.5	0.909090909090909
27	1	1	1	1	1	1
28	1	1	1	0.888888888888889	0	0.727272727272727
29	1	1	1	1	0	0.9
30	1	1	1	1	1	1
31	1	1	1	0.875	1	0.909090909090909
32	1	1	1	1	0.5	0.909090909090909
33	1	1	1	1	0	0.909090909090909
34	1	1	1	1	0.5	0.9
35	1	1	1	0.875	1	0.909090909090909
36	1	1	1	1	0	0.909090909090909
37	1	1	1	1	1	1
38	1	1	1	1	0	0.909090909090909
39	1	1	1	0.875	1	0.9
40	1	1	1	1	0.5	0.909090909090909
41	1	1	1	1	1	1
42	1	1	1	1	0	0.727272727272727
