	Spe.train	Sen.train	Accu.train	Spe.test	Sen.test	Acc.test
1	1	0.714285714285714	0.954545454545455	1	1	1
2	1	0.5	0.953488372093023	1	0.25	0.727272727272727
3	1	0.833333333333333	0.976744186046512	0.888888888888889	0.5	0.818181818181818
4	0.972222222222222	0.571428571428571	0.906976744186046	1	1	1
5	1	0.666666666666667	0.953488372093023	1	0.5	0.909090909090909
6	1	0.833333333333333	0.976744186046512	0.888888888888889	0.5	0.818181818181818
7	0.972972972972973	0.666666666666667	0.930232558139535	1	1	1
8	0.973684210526316	0.4	0.906976744186046	1	1	1
9	1	0.8	0.976744186046512	1	0.333333333333333	0.818181818181818
10	0.972972972972973	0.571428571428571	0.909090909090909	1	1	1
11	1	0.833333333333333	0.976744186046512	0.888888888888889	0.5	0.818181818181818
12	1	0.666666666666667	0.953488372093023	1	0.5	0.909090909090909
13	0.973684210526316	0.8	0.953488372093023	1	0.666666666666667	0.909090909090909
14	1	0.6	0.954545454545455	1	0.333333333333333	0.8
15	0.972972972972973	0.666666666666667	0.930232558139535	1	0.5	0.909090909090909
16	0.972222222222222	0.714285714285714	0.930232558139535	1	1	1
17	0.973684210526316	0.5	0.909090909090909	1	0.5	0.9
18	0.972222222222222	0.714285714285714	0.930232558139535	1	1	1
19	0.973684210526316	0.6	0.930232558139535	1	0.666666666666667	0.909090909090909
20	0.972972972972973	0.714285714285714	0.931818181818182	1	1	1
21	1	0.571428571428571	0.930232558139535	0.9	1	0.909090909090909
22	0.972972972972973	0.5	0.906976744186046	1	1	1
23	1	0.5	0.931818181818182	1	1	1
24	1	0.5	0.953488372093023	1	0.5	0.818181818181818
25	1	0.666666666666667	0.954545454545455	1	0.5	0.9
26	1	0.833333333333333	0.976744186046512	1	0.5	0.909090909090909
27	0.972222222222222	0.571428571428571	0.906976744186046	1	1	1
28	0.973684210526316	0.6	0.930232558139535	1	0.666666666666667	0.909090909090909
29	1	0.75	0.976744186046512	0.857142857142857	0.75	0.818181818181818
