	MFO.0	MFC.1	SD0.0	SD1.1	logOR.ACSS3	Pval.ACSS3	CI_upper.ACSS3	CI_lower.ACSS3	Sen	Spec	AUC
ACSS3	0.110976462252792	0.307349488661347	0.106912453942279	0.197675451442087	3.90439957848744	1.67946091135379e-08	5.39413177443259	2.66587133199188	0.741176470588235	0.837209302325581	0.83296853625171
AKAP12	0.0174110249846479	0.0288453509805608	0.00941336792856395	0.0418676512547332	18.1877196166899	0.00993089490237336	33.7432462588891	6.22327454357415	0.835294117647059	0.488372093023256	0.686320109439124
BCAT1	0.0908739861085881	0.333002938783068	0.135306389747421	0.252871857704084	2.69121434118445	2.82002925724543e-08	3.7425003048824	1.82384488126542	0.714285714285714	0.813953488372093	0.80094130675526
CD200	0.0333566327262215	0.0687010005976558	0.0428740778455988	0.126366857683577	2.31032470731064	0.0358031976078787	4.9840881799085	0.500307671668219	0.223529411764706	0.918604651162791	0.53187414500684
CDO1	0.0558717792565111	0.241458070781156	0.0965639187231363	0.221676471442298	3.61693701523843	5.74405430464131e-07	5.20173312306251	2.34567454135753	0.552941176470588	0.953488372093023	0.780164158686731
CYP2A13	0.0416328261300975	0.100801008003412	0.0253483021901765	0.0755637744588304	13.4782461954962	1.37762868230232e-07	19.0101517598876	8.9313353074505	0.8	0.697674418604651	0.806839945280438
DMRTA2	0.233233585172223	0.43715723030908	0.1566912181498	0.199800160837668	2.5496974998355	3.76574717894626e-09	3.44584275933639	1.74307287781508	0.823529411764706	0.63953488372093	0.8
FEZF2	0.12264336993483	0.316190668165956	0.10309671780466	0.179661978958905	4.30176361287637	4.09651091250491e-09	5.87641283212311	2.99081775893056	0.811764705882353	0.813953488372093	0.85280437756498
FNDC1	0.135218233670378	0.288189650098265	0.108646661053053	0.187775777125573	2.95520510326138	1.5737784685748e-07	4.1395036912803	1.91909265644814	0.529411764705882	0.883720930232558	0.758823529411765
FOXB1	0.0871539601367576	0.261160908255999	0.081256080495341	0.180931165950923	4.66354506877531	4.59116204238661e-08	6.53003725369937	3.15830736070197	0.694117647058824	0.837209302325581	0.822161422708618
FOXE1	0.208468368754449	0.465937912525105	0.223913091781756	0.261612830255706	1.71329121604425	1.12976424336223e-08	2.32954919572392	1.14853318409847	0.823529411764706	0.627906976744186	0.778248974008208
GHSR	0.139216749195762	0.368060321523902	0.124433753174035	0.211793152911284	3.33812337258493	1.20034350774213e-09	4.50507264550629	2.34132366631542	0.823529411764706	0.732558139534884	0.829138166894665
GRIK4	0.101747743911255	0.201378915458492	0.0728989589177925	0.141837438008321	4.55970792694624	1.38379293941006e-05	6.86109822064387	2.72623891666723	0.611764705882353	0.895348837209302	0.744322845417237
GSC	0.0623116631245971	0.160278687856244	0.0685379689906168	0.200340304559336	2.563528711194	0.000672623147649638	4.29057552438697	1.27745321937109	0.376470588235294	0.906976744186046	0.619015047879617
GSX1	0.115455672112478	0.189878804307369	0.0504949288030905	0.154431269967445	3.4998524435116	0.000741471640127303	5.83512621257843	1.73053047315864	0.435294117647059	0.848837209302326	0.656224350205198
HOXD9	0.120179854255116	0.317901975600764	0.14198247069053	0.230199775588578	2.61939529560472	3.29258653933366e-07	3.72440235227724	1.69862195538574	0.658823529411765	0.848837209302326	0.794254445964432
ITGA8	0.0487726956196355	0.22089149071921	0.0612133990982766	0.175214513650588	6.06702167938202	8.9285111553311e-08	8.56576979207829	4.09237761135925	0.788235294117647	0.802325581395349	0.842681258549932
LINC00466	0.139113185091338	0.393649111452718	0.128527911972628	0.215570164517993	3.44019387814641	2.30710534392482e-10	4.60006039864433	2.45806200558275	0.788235294117647	0.837209302325581	0.850478796169631
LINE.1	0.493119153780632	0.318417690900677	0.0845177571163486	0.124095319002308	-5.63964282512556	2.65839104593642e-12	-4.16509258284656	-7.34530125346501	0.788235294117647	0.86046511627907	0.862517099863201
LncRNA	0.180893460132607	0.390975220910908	0.192445796977242	0.221488120154784	1.99268843895918	3.81235641166187e-08	2.73881874641409	1.3128435995302	0.870588235294118	0.604651162790698	0.780984952120383
MIR129.2	0.0921276760502785	0.297871165633467	0.120948411753696	0.222841950319749	3.14651050081978	4.05235174538739e-08	4.37588202820657	2.11503085634644	0.705882352941177	0.837209302325581	0.800683994528044
NKAIN4	0.144805758815717	0.349747883614093	0.129342664481597	0.221700946170058	2.7291628724323	1.84488508059589e-08	3.75654492304261	1.84281004198572	0.670588235294118	0.802325581395349	0.78686730506156
NKX1.2	0.132475807397158	0.424157329176367	0.170925011276093	0.270934024506541	2.28302207424522	5.5922876706835e-10	3.05765642144544	1.60599674110835	0.682352941176471	0.872093023255814	0.799863201094391
NOTO	0.0397858282931552	0.101395337420029	0.0294572456074263	0.119093626222164	6.76797031951001	0.00051473823838477	11.1745447901512	3.50363059852664	0.588235294117647	0.767441860465116	0.677428180574555
NR2E1	0.0690381163005787	0.172255644593174	0.0852565942992295	0.205378035408939	2.28711225757857	0.000593806746506816	3.80533502725329	1.14065340502645	0.345238095238095	0.952941176470588	0.596498599439776
NTM	0.0824198638418464	0.23748951142829	0.106304028912788	0.178591634338156	3.49893431711555	1.03565960449037e-07	4.89692233736458	2.30459228994178	0.705882352941177	0.848837209302326	0.784815321477428
PCDH10	0.0912481027079125	0.332442872775264	0.118083933347337	0.213194928405204	3.75801365963891	2.15780691278038e-09	5.11610836021879	2.63828699288501	0.788235294117647	0.837209302325581	0.858002735978112
PDE4B	0.0613163524138658	0.223697312452167	0.0875793733948966	0.177365542363061	3.95379059464981	6.27828977304374e-08	5.54297782899131	2.65103429445552	0.678571428571429	0.837209302325581	0.805509413067553
