	genesymbol	McaM	McoM	Pvalue	OR	CI.upper	CI.lower	Logistic.P	Sens	Spec	AUC
LINE.1_32	LINE.1	0.366101881480413	0.544880153101224	2.40918058127832e-14	-5.71579955854217	-4.21644471772891	-7.4617448220613	3.13047841152298e-10	0.811764705882353	0.837209302325581	0.86812585499316
LINE.1_58	LINE.1	0.264089471292334	0.40028317301654	3.45472923176546e-14	-7.16471375136478	-5.27574764920246	-9.35043175594179	3.13047841152298e-10	0.823529411764706	0.825581395348837	0.856908344733242
LINE.1_78	LINE.1	0.278652362138192	0.428754882084973	2.40918058127832e-14	-6.65709578028395	-4.90591580557218	-8.69228323149734	3.13047841152298e-10	0.823529411764706	0.825581395348837	0.864705882352941
LINE.1_82	LINE.1	0.283789791161598	0.445487221652663	2.40918058127832e-14	-6.22831567465724	-4.60148168029608	-8.11756867238281	3.13047841152298e-10	0.811764705882353	0.825581395348837	0.862927496580027
LINE.1_96	LINE.1	0.333835206024131	0.537915834987671	2.44466280961923e-14	-4.94090426709175	-3.65472538211129	-6.43312130626282	3.13047841152298e-10	0.870588235294118	0.755813953488372	0.861696306429549
LINE.1_111	LINE.1	0.326719057846775	0.514004237291249	2.40918058127832e-14	-5.42821591230533	-4.02003933242072	-7.06002115744749	3.13047841152298e-10	0.8	0.848837209302326	0.864705882352941
LINE.1_120	LINE.1	0.398182513955308	0.591913526263762	2.40918058127832e-14	-5.26081924627393	-3.88128512581521	-6.86393195691312	3.13047841152298e-10	0.8	0.837209302325581	0.865389876880985
LINE.1_132	LINE.1	0.260984381059958	0.390985359675556	6.49372010722219e-14	-7.25591908053916	-5.31901799154525	-9.49219416539449	4.22059250270377e-10	0.8	0.837209302325581	0.848290013679891
LINE.1_144	LINE.1	0.334485995087731	0.51563917008013	5.36693493211868e-14	-5.13749585630031	-3.77270018315349	-6.70922885933529	3.67038388194111e-10	0.811764705882353	0.813953488372093	0.849794801641587
LINE.1_147	LINE.1	0.384133500963421	0.576047914715352	2.40918058127832e-14	-5.25015719962759	-3.87433338470355	-6.8461390431953	3.13047841152298e-10	0.8	0.837209302325581	0.863885088919289
LINE.1_154	LINE.1	0.276745677210623	0.455103803188009	2.44466280961923e-14	-5.44335843868647	-4.02975809833943	-7.07029266953529	3.13047841152298e-10	0.788235294117647	0.848837209302326	0.861149110807114
LINE.1_190	LINE.1	0.310327665846419	0.499317326889928	4.72268704477571e-14	-4.91225659405624	-3.61610116549927	-6.40636330161663	3.13047841152298e-10	0.741176470588235	0.872093023255814	0.851299589603283
LINE.1_196	LINE.1	0.321382477641896	0.510216396201156	1.34546870809187e-13	-4.65794164275214	-3.41062126166457	-6.0899389765588	4.22059250270377e-10	0.776470588235294	0.837209302325581	0.841450068399453
SHOX2_157821285	SHOX2	0.376238745498053	0.130066978370457	3.98304444586256e-13	3.7514406103042	5.19774176340674	2.58190568998508	4.49670712787097e-08	0.642857142857143	0.927710843373494	0.836345381526104
SHOX2_157821291	SHOX2	0.40998996851327	0.159072457678423	7.38302777493287e-13	3.58071606395063	4.90482515819468	2.49432040215342	1.90651373467022e-08	0.69047619047619	0.91566265060241	0.831683878370625
SHOX2_157821297	SHOX2	0.31450373390013	0.0817558104326475	7.2760871715797e-13	4.21194448531385	5.91137164117749	2.86613556521337	1.04157081556119e-07	0.726190476190476	0.891566265060241	0.831899024670109
SHOX2_157821304	SHOX2	0.32875301877759	0.0914809539158413	4.65590855157626e-13	4.0615142578635	5.69422764095248	2.76155498410113	1.01998592634239e-07	0.666666666666667	0.91566265060241	0.835126219162364
SHOX2_157821319	SHOX2	0.250431187239801	0.0569574197424731	3.62864810211638e-12	5.37064455284063	7.67808850233762	3.56132491095052	4.55855978660846e-07	0.714285714285714	0.867469879518072	0.819850831899025
SHOX2_157821364	SHOX2	0.339757181364601	0.0988022685392744	7.63944194004462e-13	3.76841598683087	5.2124780637862	2.60142827400303	3.72558250065172e-08	0.702380952380952	0.879518072289157	0.83139701663798
SHOX2_157821369	SHOX2	0.318036874575907	0.0848294804520056	1.15590846670181e-12	3.61173652954817	5.03362347777763	2.46161177321778	7.04076892718114e-08	0.619047619047619	0.91566265060241	0.828169822145726
SHOX2_157821377	SHOX2	0.303680400817501	0.0734280267299754	9.99831737664352e-14	4.02380875840346	5.63081833386835	2.74402868728826	8.45431375675415e-08	0.75	0.819277108433735	0.848250143430866
SHOX2_157821381	SHOX2	0.314755609195429	0.0798115817173735	1.34546870809187e-13	3.99510318534782	5.60149326830307	2.72461987681717	8.8346621739433e-08	0.75	0.843373493975904	0.84552495697074
SHOX2_157821387	SHOX2	0.308819141087277	0.0663307633605381	9.97125161609818e-14	4.28845808137471	6.02822556065976	2.9184501912165	1.09382540869459e-07	0.678571428571429	0.91566265060241	0.84846528973035
SHOX2_157821391	SHOX2	0.306448375543733	0.0739161686086493	4.50713975760582e-13	3.82735415127574	5.38509801783212	2.59691605206556	1.15648045684691e-07	0.702380952380952	0.831325301204819	0.835413080895009
SHOX2_157821401	SHOX2	0.248487074836843	0.0595762753807545	3.98304444586256e-13	4.81399015384571	6.85857821800441	3.22420258287419	2.73455716659656e-07	0.666666666666667	0.927710843373494	0.836417096959266
SHOX2_157821407	SHOX2	0.24593128904559	0.0772597855280894	1.56275015648426e-11	4.85585751242511	6.79459735582399	3.28927594549373	9.46991347084931e-08	0.714285714285714	0.867469879518072	0.809165232358003
SHOX2_157821432	SHOX2	0.335459905570768	0.161879258470368	5.81014912133369e-09	3.64179459892935	5.09645027612073	2.43001890179239	1.40181233425471e-07	0.583333333333333	0.951807228915663	0.76412794033276
SHOX2_157821435	SHOX2	0.348432615050255	0.159903855311032	9.36585274408790e-11	3.76106024404589	5.19280853985559	2.5606588830945	5.0365714282434e-08	0.535714285714286	0.963855421686747	0.795539300057372
SHOX2_157821444	SHOX2	0.314590663536391	0.0943670538556486	1.86586215270188e-13	4.25948403489621	5.91204461569903	2.93731314090404	4.46076988775739e-08	0.773809523809524	0.843373493975904	0.842943201376936
SHOX2_157821463	SHOX2	0.411852402982205	0.22545922672946	2.74743098127841e-09	3.21856709703705	4.46288493424818	2.16440353637119	7.64751065959381e-08	0.535714285714286	0.939759036144578	0.769793459552496
SHOX2_157821478	SHOX2	0.375518906391511	0.151095696164321	1.67821751410327e-11	3.44331215129816	4.7268545599154	2.37548823598336	2.68775970767152e-08	0.678571428571429	0.857142857142857	0.807681405895692
SHOX2_157821484	SHOX2	0.393603194964664	0.199948095806443	9.38244600080673e-09	3.0253893052676	4.2029900441426	2.02652245012985	9.14912492758132e-08	0.642857142857143	0.892857142857143	0.759637188208617
SHOX2_157821488	SHOX2	0.377972864996829	0.163293234216176	1.73431304658119e-10	3.20905829164888	4.4024218771494	2.20125563777311	2.98460014119528e-08	0.595238095238095	0.928571428571429	0.789965986394558
SHOX2_157821498	SHOX2	0.377925723376498	0.146358731927462	8.36912808963764e-11	3.21456004414674	4.41750909266836	2.21269202488858	2.9616152240505e-08	0.678571428571429	0.869047619047619	0.795564058956916
SHOX2_157821518	SHOX2	0.380502243265112	0.158392377369333	3.09636529984949e-11	3.55084584937397	4.86878349270319	2.45687591284605	2.35415424702949e-08	0.678571428571429	0.891566265060241	0.804073436603557
SOX11_5832804	SOX11	0.352638996726651	0.1245267314814	2.38799214676624e-13	3.26289594859861	4.41967587413163	2.27486257812603	1.07359121166955e-08	0.752941176470588	0.848837209302326	0.836662106703146
SOX11_5832808	SOX11	0.26151565678474	0.0785559635657148	1.46940369188202e-12	3.76451511713959	5.21173631324163	2.54501921056599	6.52311105579639e-08	0.705882352941177	0.825581395348837	0.822571819425445
SOX11_5832818	SOX11	0.372988069217273	0.1317203716956	1.00798234564297e-13	3.20561186817591	4.30386253134016	2.26248256863225	5.67237851974451e-09	0.776470588235294	0.813953488372093	0.84391244870041
SOX11_5832823	SOX11	0.250786323168744	0.0823507111903445	3.29164592486552e-12	3.73181530490738	5.13551004713586	2.53129506120978	4.82320029785508e-08	0.717647058823529	0.837209302325581	0.816826265389877
SOX11_5832833	SOX11	0.327699411012076	0.11054569035671	2.69794594324087e-13	3.4395742261278	4.63154967301927	2.41468443657345	6.7488450726579e-09	0.752941176470588	0.825581395348837	0.835841313269494
SOX11_5832848	SOX11	0.396580867971443	0.151305570800926	8.42345424667124e-14	3.25319086683286	4.3542490721099	2.31082702626007	4.71457336510005e-09	0.8	0.813953488372093	0.845690834473324
