Sample_Name,Sample_Well,Sample_Plate,Sample_Group,Pool_ID,Sentrix_ID,Sentrix_Position,ID,Case_Control,Young_Old
GSM3684001,GSM3684001,GSM3684001,Sample1,Sample1,GSM3684001,450K_rep1,GSM3684001_450K_rep1,rep1,Grn
GSM3684001,GSM3684001,GSM3684001,Sample1,Sample1,GSM3684001,450K_rep1,GSM3684001_450K_rep1,rep1,Red
GSM3684002,GSM3684002,GSM3684002,Sample1,Sample1,GSM3684002,450K_rep2,GSM3684002_450K_rep2,rep2,Grn
GSM3684002,GSM3684002,GSM3684002,Sample1,Sample1,GSM3684002,450K_rep2,GSM3684002_450K_rep2,rep2,Red
GSM3684003,GSM3684003,GSM3684003,Sample2,Sample2,GSM3684003,450K_rep1,GSM3684003_450K_rep1,rep1,Grn
GSM3684003,GSM3684003,GSM3684003,Sample2,Sample2,GSM3684003,450K_rep1,GSM3684003_450K_rep1,rep1,Red
GSM3684004,GSM3684004,GSM3684004,Sample2,Sample2,GSM3684004,450K_rep2,GSM3684004_450K_rep2,rep2,Grn
GSM3684004,GSM3684004,GSM3684004,Sample2,Sample2,GSM3684004,450K_rep2,GSM3684004_450K_rep2,rep2,Red
GSM3684005,GSM3684005,GSM3684005,Sample3,Sample3,GSM3684005,450K_rep1,GSM3684005_450K_rep1,rep1,Grn
GSM3684005,GSM3684005,GSM3684005,Sample3,Sample3,GSM3684005,450K_rep1,GSM3684005_450K_rep1,rep1,Red
GSM3684006,GSM3684006,GSM3684006,Sample3,Sample3,GSM3684006,450K_rep2,GSM3684006_450K_rep2,rep2,Grn
GSM3684006,GSM3684006,GSM3684006,Sample3,Sample3,GSM3684006,450K_rep2,GSM3684006_450K_rep2,rep2,Red
GSM3684007,GSM3684007,GSM3684007,Sample4,Sample4,GSM3684007,450K_rep1,GSM3684007_450K_rep1,rep1,Grn
GSM3684007,GSM3684007,GSM3684007,Sample4,Sample4,GSM3684007,450K_rep1,GSM3684007_450K_rep1,rep1,Red
GSM3684008,GSM3684008,GSM3684008,Sample4,Sample4,GSM3684008,450K_rep2,GSM3684008_450K_rep2,rep2,Grn
GSM3684008,GSM3684008,GSM3684008,Sample4,Sample4,GSM3684008,450K_rep2,GSM3684008_450K_rep2,rep2,Red
