	value	Group
1	0	HNT
2	0	HNT
3	0	HNT
4	0	HNT
5	0	HNT
6	NA	HNT
7	0	HNT
8	NA	HNT
9	NA	HNT
10	0	HNT
11	0	HNT
12	0	HNT
13	NA	HNT
14	0	HNT
15	NA	HNT
16	0	HNT
17	0	HNT
18	0	HNT
19	NA	HNT
20	NA	HNT
21	0	HNT
22	NA	HNT
23	NA	HNT
24	0.0488888888888889	HNT
25	NA	HNT
26	0	HNT
27	0	HNT
28	NA	HNT
29	NA	HNT
30	NA	HNT
31	0.02	HNT
32	0	HNT
33	0	HNT
34	0	HNT
35	0	HNT
36	0.0555555555555556	HNT
37	0	HNT
38	0	HNT
39	0.292577030812325	HNT
40	NA	HNT
41	NA	HNT
42	0	HNT
43	0	HNT
44	0	HNT
45	0	HNT
46	0	HNT
47	0	HNT
48	0	HNT
49	NA	HNT
50	NA	HNT
51	0	HNT
52	0.0166666666666667	HNT
53	NA	HNT
54	NA	HNT
55	0	HNT
56	NA	HNT
57	0	HNT
58	0	HNT
59	0	HNT
60	NA	HNT
61	NA	HNT
62	NA	HNT
63	NA	HNT
64	0	HNT
65	0	HNT
66	NA	HNT
67	NA	HNT
68	0.0833333333333333	HNT
69	0	HNT
70	0	HNT
71	NA	HNT
72	0	HNT
73	NA	HNT
74	NA	HNT
75	NA	HNT
76	0	HNT
77	NA	HNT
78	0	HNT
79	0	HNT
80	0.00714285714285714	HNT
81	0	HNT
82	0	HNT
83	0	HNT
84	0	HNT
85	0	HNT
86	0.000277777777777778	HNT
87	0	HNT
88	NA	HNT
89	NA	HNT
90	NA	HNT
91	NA	HNT
92	0	HNT
93	NA	HNT
94	NA	HNT
95	0	HNT
96	NA	HNT
97	0	HNT
98	NA	HNT
99	0	HNT
100	0	HNT
101	NA	HNT
102	NA	HNT
103	NA	HNT
104	NA	HNT
105	NA	HNT
106	0	HNT
107	NA	HNT
108	0	HNT
109	0.0733333333333333	HNT
110	NA	HNT
111	NA	HNT
112	NA	HNT
113	0	HNT
114	0	HNT
115	NA	HNT
116	0	HNT
117	NA	HNT
118	NA	HNT
119	NA	HNT
120	NA	HNT
121	0	HNT
122	NA	HNT
123	NA	HNT
124	0	HNT
125	NA	HNT
126	0.00183150183150183	HNT
127	0	HNT
128	0	HNT
129	0	HNT
130	NA	HNT
131	NA	HNT
132	0	HNT
133	0	HNT
134	0.0555555555555556	HNT
135	NA	HNT
136	0.0714285714285714	HNT
137	0	HNT
138	0	HNT
139	NA	HNT
140	0	HNT
141	0	HNT
142	NA	HNT
143	NA	HNT
144	0	HNT
145	NA	HNT
146	0	HNT
147	0	HNT
148	NA	HNT
149	0	HNT
150	0	HNT
151	NA	HNT
152	NA	HNT
153	0	HNT
154	0.00512820512820513	HNT
155	0	HNT
156	NA	HNT
157	0	HNT
158	0	HNT
159	0	HNT
160	0	HNT
161	0	HNT
162	0	HNT
163	NA	HNT
164	NA	HNT
165	0	HNT
166	0	HNT
167	0	HNT
168	0.000555555555555556	HNT
169	0	HNT
170	0	HNT
171	NA	HNT
172	0	HNT
173	0	HNT
174	0	HNT
175	NA	HNT
176	NA	HNT
177	0.182539682539683	HNT
178	NA	HNT
179	NA	HNT
180	0	HNT
181	0	HNT
182	0	HNT
183	NA	HNT
184	NA	HNT
185	0.116666666666667	HNT
186	NA	HNT
187	0	HNT
188	0	HNT
189	NA	HNT
190	0	HNT
191	0	HNT
192	0	HNT
193	NA	HNT
194	0	HNT
195	0	HNT
196	0	HNT
197	NA	HNT
198	0	HNT
199	0	HNT
200	NA	HNT
201	0	HNT
202	0	HNT
203	0.0142857142857143	HNT
204	0	HNT
205	0	HNT
206	0.00625	HNT
207	0	HNT
208	0	HNT
209	0	HNT
210	0	HNT
211	NA	HNT
212	NA	HNT
213	0	HNT
214	0	HNT
215	0	HNT
216	0	HNT
217	0	HNT
218	0.666666666666667	HNT
219	0	HNT
220	0	HNT
221	0	HNT
222	0	HNT
223	0	HNT
224	NA	HNT
225	0	HNT
226	0	HNT
227	NA	HNT
228	0	HNT
229	0	HNT
230	NA	HNT
231	0	HNT
232	0	HNT
233	NA	HNT
234	NA	HNT
235	0	HNT
236	0.00512820512820513	HNT
237	0	HNT
238	NA	HNT
239	0	HNT
240	0	HNT
241	NA	HNT
242	0	HNT
243	0	HNT
244	0	HNT
245	NA	HNT
246	NA	HNT
247	0	HNT
248	0	HNT
249	0	HNT
250	0	HNT
251	0	HNT
252	NA	HNT
253	NA	HNT
254	NA	HNT
255	0	HNT
256	0	HNT
257	0	HNT
258	NA	HNT
259	0.888888888888889	HNT
260	0	HNT
261	0	HNT
262	NA	HNT
263	0	HNT
264	0	HNT
265	NA	HNT
266	0	HNT
267	0	HNT
268	NA	HNT
269	0	HNT
270	0	HNT
271	NA	HNT
272	NA	HNT
273	0	HNT
274	0	HNT
275	NA	HNT
276	NA	HNT
277	0	HNT
278	0	HNT
279	0	HNT
280	0	HNT
281	0	HNT
282	0	HNT
283	0	HNT
284	0	HNT
285	0.0990476190476191	HNT
286	0	HNT
287	0	HNT
288	0	HNT
289	0	HNT
290	0	HNT
291	0	HNT
292	0	HNT
293	NA	HNT
294	0	HNT
295	NA	HNT
296	0	HNT
297	0	HNT
298	0.0416666666666667	HNT
299	0	HNT
300	0	HNT
301	0	HNT
302	NA	HNT
303	0	HNT
304	0	HNT
305	0	HNT
306	NA	HNT
307	NA	HNT
308	NA	HNT
309	NA	HNT
310	0	HNT
311	0.331944444444444	HNT
312	NA	HNT
313	NA	HNT
314	0	HNT
315	0	HNT
316	NA	HNT
317	NA	HNT
318	0	HNT
319	0	HNT
320	0	HNT
321	0	HNT
322	0	HNT
323	0	HNT
324	0	HNT
325	0	HNT
326	0	HNT
327	0	HNT
328	0	HNT
329	0	HNT
330	0	HNT
331	0	HNT
332	0.000322061191626409	HNT
333	0	HNT
334	0	HNT
335	NA	HNT
336	NA	HNT
337	0	HNT
338	0	HNT
339	0	HNT
340	0	HNT
341	0.0185185185185185	HNT
342	0	HNT
343	0	HNT
344	0	HNT
345	0	HNT
346	0	HNT
347	NA	HNT
348	0	HNT
349	0.00434782608695652	HNT
350	NA	HNT
351	0	HNT
352	0	HNT
353	NA	HNT
354	0	HNT
355	0	HNT
356	0	HNT
357	NA	HNT
358	0	HNT
359	0	HNT
360	0	HNT
361	NA	HNT
362	0	HNT
363	0	HNT
364	0	HNT
365	0	HNT
366	0.037037037037037	HNT
367	0.100274495763218	HNT
368	0	HNT
369	0	HNT
370	0	HNT
371	0	HNT
372	0	HNT
373	0	HNT
374	0	HNT
375	0	HNT
376	NA	HNT
377	NA	HNT
378	0	HNT
379	0	HNT
380	0	HNT
381	NA	HNT
382	NA	HNT
383	0	HNT
384	NA	HNT
385	NA	HNT
386	0	HNT
387	0	HNT
388	NA	HNT
389	NA	HNT
390	NA	HNT
391	NA	HNT
392	NA	HNT
393	0	HNT
394	NA	HNT
395	NA	HNT
396	0	HNT
397	NA	HNT
398	NA	HNT
399	NA	HNT
400	0	HNT
401	0	HNT
402	NA	HNT
403	0	HNT
404	0	HNT
405	0	HNT
406	0	HNT
407	0.0666666666666667	HNT
408	0	HNT
409	NA	HNT
410	NA	HNT
411	0	HNT
412	0	HNT
413	0	HNT
414	0	HNT
415	0.000945626477541371	HNT
416	NA	HNT
417	0	HNT
418	NA	HNT
419	NA	HNT
420	0	HNT
421	0.0277777777777778	HNT
422	NA	HNT
423	0	HNT
424	NA	HNT
425	NA	HNT
426	0	HNT
427	0	HNT
428	0	HNT
429	NA	HNT
430	NA	HNT
431	0	HNT
432	NA	HNT
433	NA	HNT
434	0	HNT
435	NA	HNT
436	0	HNT
437	0.0833333333333333	HNT
438	0.0416666666666667	HNT
439	NA	HNT
440	0	HNT
441	0.0125	HNT
442	0	HNT
443	0	HNT
444	0	HNT
445	0	HNT
446	0	HNT
447	0	HNT
448	0	HNT
449	0	HNT
450	NA	HNT
451	NA	HNT
452	0	HNT
453	NA	HNT
454	0	HNT
455	0	HNT
456	0	HNT
457	NA	HNT
458	NA	HNT
459	NA	HNT
460	NA	HNT
461	0.00357142857142857	HNT
462	0	HNT
463	NA	HNT
464	0.166666666666667	HNT
465	0	HNT
466	NA	HNT
467	0	HNT
468	0	HNT
469	0	HNT
470	NA	HNT
471	NA	HNT
472	NA	HNT
473	NA	HNT
474	0	HNT
475	0	HNT
476	NA	HNT
477	NA	HNT
478	0	HNT
479	0	HNT
480	NA	HNT
481	NA	HNT
482	0	HNT
483	0	HNT
484	0	HNT
485	0	HNT
486	0	HNT
487	0	HNT
488	0	HNT
489	0	HNT
490	0	HNT
491	NA	HNT
492	NA	HNT
493	0	HNT
494	NA	HNT
495	0	HNT
496	0	HNT
497	0	HNT
498	NA	HNT
499	0	HNT
500	NA	HNT
501	NA	HNT
502	0	HNT
503	0.0333333333333333	HNT
504	0	HNT
505	0	HNT
506	0	HNT
507	NA	HNT
508	0	HNT
509	0	HNT
510	0	HNT
511	NA	HNT
512	NA	HNT
513	0	HNT
514	NA	HNT
515	0	HNT
516	0	HNT
517	NA	HNT
518	NA	HNT
519	0.0125	HNT
520	0	HNT
521	NA	HNT
522	NA	HNT
523	0.01	HNT
524	0	HNT
525	0	HNT
526	0	HNT
527	0	HNT
528	0	HNT
529	0	HNT
530	0	HNT
531	0	HNT
532	0	HNT
533	0.0555555555555556	HNT
534	0	HNT
535	NA	HNT
536	0	HNT
537	0	HNT
538	0	HNT
539	NA	HNT
540	0	HNT
