	MHL	Idx	c(r1, r2)
1	7.62939453125e-06	NP	NC-P-1
2	0.0001220703125	NP	NC-P-12
3	3.0517578125e-05	NP	NC-P-13
4	0.001953125	NP	NC-P-14
5	0.03125	NP	NC-P-15
6	1.52587890625e-05	NP	NC-P-16
7	7.62939453125e-06	NP	NC-P-17
8	1.52587890625e-05	NP	NC-P-18
9	0.0078125	NP	NC-P-19
10	0.0078125	NP	NC-P-2
11	1.52587890625e-05	NP	NC-P-20
12	0.03125	NP	NC-P-21
13	0.00390625	NP	NC-P-22
14	0.00390625	NP	NC-P-23
15	0.03125	NP	NC-P-24
16	0.00390625	NP	NC-P-25
17	0.001953125	NP	NC-P-26
18	6.103515625e-05	NP	NC-P-27
19	0.001953125	NP	NC-P-29
20	7.62939453125e-06	NP	NC-P-3
21	0.001953125	NP	NC-P-30
22	1.52587890625e-05	NP	NC-P-5
23	0.03125	NP	NC-P-6
24	0.03125	NP	NC-P-7
25	1.52587890625e-05	NP	NC-P-8
26	6.103515625e-05	NP	NC-P-9
27	0.00390625	CP	7-P-1
28	0.00390625	CP	7-P-10
29	0.0625	CP	7-P-11
30	0.0078125	CP	7-P-12
31	6.103515625e-05	CP	7-P-13
32	1.9073486328125e-06	CP	7-P-14
33	0.03125	CP	7-P-15
34	1.52587890625e-05	CP	7-P-16
35	1.52587890625e-05	CP	7-P-17
36	0.5	CP	7-P-18
37	0.03125	CP	7-P-19
38	0.0078125	CP	7-P-2
39	0.015625	CP	7-P-20
40	0.0625	CP	7-P-21
41	0.03125	CP	7-P-22
42	6.103515625e-05	CP	7-P-23
43	0.015625	CP	7-P-25
44	1.52587890625e-05	CP	7-P-26
45	0.125	CP	7-P-27
46	0.000244140625	CP	7-P-28
47	0.00390625	CP	7-P-29
48	0.015625	CP	7-P-3
49	1.52587890625e-05	CP	7-P-30
50	0.0625	CP	7-P-4
51	6.103515625e-05	CP	7-P-5
52	NA	CP	7-P-6
53	0.000244140625	CP	7-P-7
54	0.00390625	CP	7-P-8
55	0.03125	CP	7-P-9
