	value	Group
1	0	NLT
2	NA	NLT
3	NA	NLT
4	0	NLT
5	NA	NLT
6	NA	NLT
7	NA	NLT
8	NA	NLT
9	NA	NLT
10	NA	NLT
11	0	NLT
12	NA	NLT
13	NA	NLT
14	NA	NLT
15	NA	NLT
16	NA	NLT
17	0	NLT
18	NA	NLT
19	NA	NLT
20	NA	NLT
21	NA	NLT
22	NA	NLT
23	0.0125	NLT
24	0	NLT
25	NA	NLT
26	NA	NLT
27	NA	NLT
28	NA	NLT
29	0	NLT
30	NA	NLT
31	0	NLT
32	NA	NLT
33	NA	NLT
34	NA	NLT
35	0	NLT
36	NA	NLT
37	0	NLT
38	NA	NLT
39	NA	NLT
40	0	NLT
41	0	NLT
42	0	NLT
43	NA	NLT
44	0.0555555555555556	NLT
45	NA	NLT
46	NA	NLT
47	NA	NLT
48	0.0555555555555556	NLT
49	NA	NLT
50	0	NLT
51	0	NLT
52	0	NLT
53	0	NLT
54	NA	NLT
55	0	NLT
56	NA	NLT
57	NA	NLT
58	0	NLT
59	0.05	NLT
60	NA	NLT
61	NA	NLT
62	NA	NLT
63	NA	NLT
64	NA	NLT
65	NA	NLT
66	0	NLT
67	NA	NLT
68	0	NLT
69	NA	NLT
70	NA	NLT
71	NA	NLT
72	NA	NLT
73	0	NLT
74	0.0136363636363636	NLT
75	0	NLT
76	0.166666666666667	NLT
77	NA	NLT
78	0	NLT
79	NA	NLT
80	0	NLT
81	NA	NLT
82	NA	NLT
83	NA	NLT
84	NA	NLT
85	0.0133333333333333	NLT
86	0	NLT
87	NA	NLT
88	0	NLT
89	NA	NLT
90	0	NLT
91	0	NLT
92	NA	NLT
93	0	NLT
94	NA	NLT
95	0	NLT
96	0	NLT
97	NA	NLT
98	0	NLT
99	0	NLT
100	NA	NLT
101	NA	NLT
102	0	NLT
103	0	NLT
104	0	NLT
105	NA	NLT
106	NA	NLT
107	NA	NLT
108	NA	NLT
109	0	NLT
110	NA	NLT
111	NA	NLT
112	NA	NLT
113	0	NLT
114	0	NLT
115	NA	NLT
116	NA	NLT
117	NA	NLT
118	NA	NLT
119	0	NLT
120	NA	NLT
121	0	NLT
122	0	NLT
123	0	NLT
124	NA	NLT
125	0	NLT
126	0	NLT
127	0.25	NLT
128	NA	NLT
129	NA	NLT
130	0	NLT
131	NA	NLT
132	0	NLT
133	NA	NLT
134	0	NLT
135	0.0107142857142857	NLT
136	0.0125	NLT
137	NA	NLT
138	0	NLT
139	0	NLT
140	0	NLT
141	0	NLT
142	NA	NLT
143	NA	NLT
144	NA	NLT
145	NA	NLT
146	NA	NLT
147	0	NLT
148	0	NLT
149	0	NLT
150	0	NLT
151	0	NLT
152	NA	NLT
153	0	NLT
154	NA	NLT
155	0.00662768031189084	NLT
156	NA	NLT
157	0	NLT
158	0	NLT
159	NA	NLT
160	NA	NLT
161	NA	NLT
162	NA	NLT
163	NA	NLT
164	0.05	NLT
165	NA	NLT
166	0	NLT
167	NA	NLT
168	0.0333333333333333	NLT
169	0	NLT
170	NA	NLT
171	NA	NLT
172	NA	NLT
173	NA	NLT
174	0	NLT
175	NA	NLT
176	NA	NLT
177	0	NLT
178	0	NLT
179	NA	NLT
180	0	NLT
181	NA	NLT
182	NA	NLT
183	0	NLT
184	NA	NLT
185	0	NLT
186	NA	NLT
187	0	NLT
188	NA	NLT
189	NA	NLT
190	NA	NLT
191	NA	NLT
192	NA	NLT
193	0	NLT
194	NA	NLT
195	NA	NLT
196	NA	NLT
197	NA	NLT
198	NA	NLT
199	NA	NLT
200	NA	NLT
201	NA	NLT
202	NA	NLT
203	0	NLT
204	NA	NLT
205	NA	NLT
206	0	NLT
207	NA	NLT
208	NA	NLT
209	NA	NLT
210	NA	NLT
211	NA	NLT
212	0	NLT
213	0	NLT
214	NA	NLT
215	NA	NLT
216	NA	NLT
217	0	NLT
218	0	NLT
219	0	NLT
220	0	NLT
221	NA	NLT
222	NA	NLT
223	0	NLT
224	NA	NLT
225	NA	NLT
226	0	NLT
227	NA	NLT
228	0	NLT
229	0.0476190476190476	NLT
230	NA	NLT
231	NA	NLT
232	NA	NLT
233	NA	NLT
234	0	NLT
235	0	NLT
236	NA	NLT
237	NA	NLT
238	NA	NLT
239	NA	NLT
240	NA	NLT
241	0	NLT
242	NA	NLT
243	0.161508505297325	NLT
244	0.0555555555555556	NLT
245	NA	NLT
246	0	NLT
247	0	NLT
248	0	NLT
249	NA	NLT
250	NA	NLT
251	NA	NLT
252	NA	NLT
253	0	NLT
254	NA	NLT
255	0.00625	NLT
256	NA	NLT
257	0	NLT
258	NA	NLT
259	NA	NLT
260	NA	NLT
261	0	NLT
262	0	NLT
263	NA	NLT
264	NA	NLT
265	0	NLT
266	NA	NLT
267	NA	NLT
268	NA	NLT
269	0.167671614100186	NLT
270	0	NLT
271	0	NLT
272	0	NLT
273	0.0166666666666667	NLT
274	0	NLT
275	NA	NLT
276	NA	NLT
277	0	NLT
278	NA	NLT
279	0	NLT
280	0	NLT
281	NA	NLT
