	V1
NP.Kun	1.9073486328125e-06
NP.Kun.1	0.01171875
NP.Kun.2	1.52587890625e-05
NP.Kun.3	3.814697265625e-06
NP.Kun.4	7.62939453125e-06
NP.Kun.5	7.62939453125e-06
NP.Kun.6	1.9073486328125e-06
NP.Kun.7	1.52587890625e-05
NP.Kun.8	0.01171875
NP.Kun.9	0.01171875
NP.Kun.10	0.0234375
NP.Kun.11	0.01171875
NP.Kun.12	7.62939453125e-06
NP.Kun.13	1.52587890625e-05
NP.Kun.14	0.0234375
NP.Kun.15	3.814697265625e-06
NP.Kun.16	1.52587890625e-05
NP.Kun.17	1.52587890625e-05
NP.Kun.18	1.52587890625e-05
NP.Kun.19	3.814697265625e-06
NP.Kun.20	1.52587890625e-05
NP.Kun.21	0.09375
NP.Kun.22	0.0001220703125
NP.Kun.23	0.0003662109375
NP.Kun.24	3.814697265625e-06
NP.Kun.25	1.9073486328125e-06
