	MHL	Idx	c(r1, r2)
1	0.0078125	NP	NC-P-1
2	0.0078125	NP	NC-P-12
3	0.0009765625	NP	NC-P-13
4	0.0078125	NP	NC-P-14
5	3.0517578125e-05	NP	NC-P-15
6	3.814697265625e-06	NP	NC-P-16
7	9.5367431640625e-07	NP	NC-P-17
8	0.00048828125	NP	NC-P-18
9	0.00048828125	NP	NC-P-19
10	0.000244140625	NP	NC-P-2
11	0.0078125	NP	NC-P-20
12	0.03125	NP	NC-P-21
13	0.0009765625	NP	NC-P-22
14	0.0078125	NP	NC-P-23
15	0.0078125	NP	NC-P-24
16	1.9073486328125e-06	NP	NC-P-25
17	0.0009765625	NP	NC-P-26
18	7.62939453125e-06	NP	NC-P-27
19	0.0078125	NP	NC-P-29
20	0.001953125	NP	NC-P-3
21	0.001953125	NP	NC-P-30
22	0.03125	NP	NC-P-5
23	1.52587890625e-05	NP	NC-P-6
24	0.03125	NP	NC-P-7
25	0.0625	NP	NC-P-8
26	0.00390625	NP	NC-P-9
27	0.0078125	CP	PC-P-1
28	0.0625	CP	PC-P-10
29	0.03125	CP	PC-P-2
30	0.0001220703125	CP	PC-P-3
31	0.03125	CP	PC-P-4
32	3.814697265625e-06	CP	PC-P-5
33	0.0001220703125	CP	PC-P-6
34	7.62939453125e-06	CP	PC-P-7
35	0.015625	CP	PC-P-8
36	0.03125	CP	PC-P-9
